Ra,Ek,time_min,time_max,sample_count,late_window,two_pi_Lm_mean,stability_category,included_in_fit
8000000.0,0.001,346.3,846.3,5001,500.0,0.8517061563583541,newly stable,True
8000000.0,0.003,1900.0,2400.0,5001,500.0,1.8395023060326283,stable,True
8000000.0,0.005,1900.0,2400.0,5001,500.0,2.471496964093327,stable,True
8000000.0,0.007,1700.0,2200.0,5001,500.0,3.2312495390266536,stable,True
8000000.0,0.01,1390.0,2390.0,10001,1000.0,3.363415431766729,statistical steady,True
