time,kinetic_energy,convective_wavelength_z05_2pi,convective_wavelength_z_weighted_2pi
0.1,2.22194218e-12,0.047222790345006406,0.04770386343336026
0.2,3.59463408e-12,0.05879408536244519,0.05961050606214645
0.3,4.199768655e-12,0.0725458642734921,0.0737374885882361
0.4,4.597173455e-12,0.08685117302337748,0.08834268057814403
0.5,4.9403669e-12,0.10037347687514891,0.10206799289055336
0.6,5.2594112e-12,0.11255589648671256,0.11438822600368909
0.7,5.5571092e-12,0.12340189200821705,0.1253414830382095
0.8,5.8323855e-12,0.13312214555451599,0.13515876844352573
0.9,6.08469135e-12,0.14194093165523794,0.1440734020228346
1.0,6.3142691e-12,0.15003688692353281,0.15226762442437816
1.1,6.52180965e-12,0.15754039373770987,0.1598735069466763
1.2,6.7081848e-12,0.16454524497476058,0.16698610098873745
1.3,6.8743066e-12,0.17112015229256722,0.17367536039417916
1.4,7.0210673e-12,0.17731711470441344,0.17999446353016724
1.5,7.14932055e-12,0.18317698171125535,0.1859851784993497
1.6,7.25988015e-12,0.18873305733681367,0.19168125920151527
1.7,7.353526e-12,0.19401343558755238,0.19711061240420572
1.8,7.4310115e-12,0.19904253417821224,0.2022967177425955
1.9,7.49307035e-12,0.2038420910450005,0.20725958025038413
2.0,7.5404224e-12,0.20843181716854428,0.21201638066947553
2.1,7.57377775e-12,0.21282980498093568,0.21658194291896501
2.2,7.59383955e-12,0.21705277026836584,0.2209690696172344
2.3,7.6013058e-12,0.22111617406492018,0.22518879403768313
2.4,7.59686995e-12,0.22503426286496422,0.22925058179897648
2.5,7.58122095e-12,0.22882004977358764,0.23316249359954502
2.6,7.5550426e-12,0.23248526109952922,0.2369313341290764
2.7,7.51901275e-12,0.2360402622135902,0.2405627859003625
2.8,7.47380155e-12,0.2394939840353662,0.24406154308114628
2.9,7.4200703e-12,0.24285385894475714,0.24743144344101334
3.0,7.3584696e-12,0.24612577742798844,0.25067560281155754
3.1,7.2896377e-12,0.24931407990947035,0.2537965539447762
3.2,7.2141994e-12,0.2524215950792281,0.25679638599978394
