time,kinetic_energy,lc_w_z05,lc_w_z_weighted,convective_wavelength_z05_2pi_lc,convective_wavelength_z_weighted_2pi_lc
0.1,2.22194218e-12,0.00751574051,0.00759230567,0.047222790345006406,0.04770386343336026
0.2,3.59463408e-12,0.00935736931,0.0094873067,0.05879408536244519,0.05961050606214645
0.3,4.199768655e-12,0.0115460329,0.0117356858,0.0725458642734921,0.0737374885882361
0.4,4.597173455e-12,0.0138227935,0.0140601743,0.08685117302337748,0.08834268057814403
0.5,4.9403669e-12,0.015974935,0.0162446256,0.10037347687514891,0.10206799289055336
0.6,5.2594112e-12,0.0179138273,0.0182054516,0.11255589648671256,0.11438822600368909
0.7,5.5571092e-12,0.0196400211,0.0199487166,0.12340189200821705,0.1253414830382095
0.8,5.8323855e-12,0.0211870475,0.0215111861,0.13312214555451599,0.13515876844352573
0.9,6.08469135e-12,0.0225906009,0.0229299941,0.14194093165523794,0.1440734020228346
1.0,6.3142691e-12,0.0238791122,0.0242341451,0.15003688692353281,0.15226762442437816
1.1,6.52180965e-12,0.0250733324,0.0254446589,0.15754039373770987,0.1598735069466763
1.2,6.7081848e-12,0.0261881891,0.0265766634,0.16454524497476058,0.16698610098873745
1.3,6.8743066e-12,0.0272346181,0.0276412921,0.17112015229256722,0.17367536039417916
1.4,7.0210673e-12,0.0282208953,0.0286470086,0.17731711470441344,0.17999446353016724
1.5,7.14932055e-12,0.0291535221,0.0296004605,0.18317698171125535,0.1859851784993497
1.6,7.25988015e-12,0.030037799,0.0305070199,0.18873305733681367,0.19168125920151527
1.7,7.353526e-12,0.0308781973,0.0313711283,0.19401343558755238,0.19711061240420572
1.8,7.4310115e-12,0.0316786032,0.0321965226,0.19904253417821224,0.2022967177425955
1.9,7.49307035e-12,0.0324424764,0.0329863867,0.2038420910450005,0.20725958025038413
2.0,7.5404224e-12,0.033172954,0.033743455,0.20843181716854428,0.21201638066947553
2.1,7.57377775e-12,0.0338729155,0.0344700868,0.21282980498093568,0.21658194291896501
2.2,7.59383955e-12,0.0345450213,0.0351683197,0.21705277026836584,0.2209690696172344
2.3,7.6013058e-12,0.0351917321,0.0358399097,0.22111617406492018,0.22518879403768313
2.4,7.59686995e-12,0.0358153153,0.0364863633,0.22503426286496422,0.22925058179897648
2.5,7.58122095e-12,0.036417842,0.0371089634,0.22882004977358764,0.23316249359954502
2.6,7.5550426e-12,0.0370011785,0.037708793,0.23248526109952922,0.2369313341290764
2.7,7.51901275e-12,0.0375669745,0.0382867565,0.2360402622135902,0.2405627859003625
2.8,7.47380155e-12,0.0381166514,0.038843601,0.2394939840353662,0.24406154308114628
2.9,7.4200703e-12,0.0386513921,0.0393799373,0.24285385894475714,0.24743144344101334
3.0,7.3584696e-12,0.0391721341,0.0398962613,0.24612577742798844,0.25067560281155754
3.1,7.2896377e-12,0.0396795682,0.0403929761,0.24931407990947035,0.2537965539447762
3.2,7.2141994e-12,0.0401741446,0.0408704142,0.2524215950792281,0.25679638599978394
3.3,7.1406426e-12,0.0406641016,0.0413328282,0.25550008570277793,0.25970181885041804
3.4,7.08136035e-12,0.0411661164,0.0417845405,0.2586543377181246,0.26254001093685037
3.5,7.0255676e-12,0.0416680917,0.0422244889,0.26180834154765165,0.2653042882596475
3.6,6.9711152e-12,0.0421662298,0.0426508814,0.26493823553851803,0.2679833913507391
3.7,6.91844965e-12,0.042661169,0.0430639528,0.26804803024790524,0.2705787955020352
3.8,6.86795215e-12,0.0431526706,0.0434635356,0.2711362258794805,0.27308944827999687
3.9,6.82032225e-12,0.0436415681,0.0438497941,0.2742080594681973,0.2755163820119701
4.0,6.77801045e-12,0.0441323477,0.044224797,0.2772917186399808,0.27787259472339987
4.1,6.74602425e-12,0.0446335277,0.0445902013,0.2804407254522331,0.2801684976523401
4.2,6.7192763e-12,0.0451343957,0.0449451554,0.28358777191066953,0.2823987400381832
4.3,6.69802855e-12,0.0456346328,0.0452901966,0.2867308543074956,0.2845666978363948
4.4,6.6826954e-12,0.0461340325,0.0456264778,0.2898686751649455,0.2866796149313156
4.5,6.67348065e-12,0.0466311454,0.0459543859,0.29299212763423493,0.28873992228734074
4.6,6.6708466e-12,0.0471251299,0.0462749306,0.2960959237866094,0.29075396403667503
4.7,6.67498235e-12,0.0476146729,0.0465889589,0.29917181317144204,0.2927270620372736
4.8,6.6859069e-12,0.0480970845,0.0468969447,0.302202894648575,0.29466219389065357
4.9,6.7040388e-12,0.0485713057,0.0472002623,0.30518251432476806,0.2965679945783825
5.0,6.7296549e-12,0.04903403,0.0474984712,0.308089896847803,0.29844169635733275
5.1,6.7628633e-12,0.0494830958,0.0477933343,0.3109114604843199,0.3002943758548821
5.2,6.80377905e-12,0.0499148955,0.0480841701,0.31362453801500445,0.30212175108024397
5.3,6.85231705e-12,0.0503263536,0.0483710349,0.31620980550344446,0.30392417577675096
5.4,6.9085458e-12,0.0507145719,0.0486540945,0.3186490530219827,0.30570269169652714
5.5,6.9728203e-12,0.0510778743,0.0489335589,0.3209317493237258,0.30745861830848686
5.6,7.04496835e-12,0.0514128868,0.04920819,0.3230366949414473,0.30918417640090146
5.7,7.125116e-12,0.0517184959,0.0494779365,0.3249568935483077,0.31087904364636454
5.8,7.2132391e-12,0.0519932728,0.0497418264,0.32668336772914003,0.3125371127887577
5.9,7.3092093e-12,0.0522366323,0.0499993357,0.3282124405639026,0.31415509143897974
6.0,7.4133141e-12,0.0524482925,0.0502495799,0.32954234082265726,0.3157274221196267
6.1,7.5251248e-12,0.0526290205,0.0504915607,0.33067788833685324,0.3172478323268062
6.2,7.64504585e-12,0.0527792696,0.0507244692,0.33162193127439016,0.31871123959192343
6.3,7.77362945e-12,0.0529011284,0.05094793,0.33238759269610074,0.32011528520721405
6.4,7.91204075e-12,0.0529967289,0.0511615316,0.3329882683530597,0.3214573836419241
6.5,8.0611773e-12,0.0530678329,0.0513649175,0.33343502796114144,0.32273529494049163
6.6,8.2214184e-12,0.0531164144,0.0515574225,0.3337402745281422,0.3239448395280502
6.7,8.3922843e-12,0.0531447513,0.0517386146,0.3339183205218732,0.32508330306854727
6.8,8.5731526e-12,0.0531544672,0.051908209,0.33397936732199923,0.32614889611080716
6.9,8.7637254e-12,0.0531476007,0.0520660049,0.3339362238300875,0.32714035699122035
7.0,8.9636184e-12,0.0531262216,0.0522121372,0.33380189498308677,0.3280585333114847
7.1,9.1729711e-12,0.0530926552,0.0523469755,0.33359099107179185,0.32890574733688976
7.2,9.39148575e-12,0.0530485817,0.052471017,0.3333140691041559,0.3296851230671703
7.3,9.6194339e-12,0.0529954529,0.0525848257,0.3329802510086078,0.3304002042188395
7.4,9.8568834e-12,0.0529356889,0.052689719,0.3326047427219095,0.3310592682602211
7.5,1.010348535e-11,0.0528698617,0.0527860866,0.3321911382260567,0.33166476374862924
7.6,1.03595377e-11,0.0528001235,0.0528757579,0.3317529601924676,0.3322281851432649
7.7,1.06249644e-11,0.0527276277,0.0529599055,0.33129745564707536,0.33275690010721937
7.8,1.090005185e-11,0.052652867,0.0530395029,0.3308277203152809,0.33325702532138907
7.9,1.11847103e-11,0.0525774435,0.0531166669,0.33035382048826484,0.33374186103243225
8.0,1.14789223e-11,0.0525017968,0.053192358,0.3298785182542882,0.3342174422398365
8.1,1.17826767e-11,0.0524268341,0.0532683301,0.3294075137190617,0.3346947890223121
8.2,1.20964543e-11,0.0523528066,0.0533458545,0.3289423852187345,0.33518188919334
8.3,1.24202376e-11,0.0522804116,0.053426366,0.3284875140184212,0.335687757867199
8.4,1.275373925e-11,0.052209758,0.0535107046,0.32804358435700187,0.3362176729195471
8.5,1.30976347e-11,0.0521413799,0.0535998196,0.327613952083749,0.3367775989781964
8.6,1.34513973e-11,0.0520756506,0.0536944791,0.3272009627117378,0.3373723621577814
8.7,1.38157134e-11,0.0520126579,0.0537947227,0.32680516790463826,0.3380022112724402
8.8,1.4190397e-11,0.0519528023,0.0539007371,0.32642908407816584,0.3386683193928696
8.9,1.45758597e-11,0.0518957603,0.0540115925,0.3260706786218737,0.3393648444133711
9.0,1.497207645e-11,0.0518420479,0.054126718,0.3257331936593803,0.3400881992634528
9.1,1.537913945e-11,0.0517910131,0.0542444025,0.3254125325538655,0.3408276327847356
9.2,1.579728125e-11,0.0517430742,0.0543634241,0.32511132356174316,0.34157546755309265
9.3,1.622654275e-11,0.0516979772,0.0544818041,0.32482797075394526,0.34231927102975657
9.4,1.666720555e-11,0.051655743,0.0545976278,0.32456260544904475,0.3430470127998197
9.5,1.711931855e-11,0.051616324,0.05470905,0.32431492856742106,0.3437470991297534
9.6,1.758332675e-11,0.0515793669,0.0548140398,0.3240827202597051,0.34440676949851706
9.7,1.80593564e-11,0.0515450199,0.0549110428,0.3238669116939594,0.3450162573228694
9.8,1.85474956e-11,0.0515127029,0.0549983624,0.32366385799438724,0.3455649025506182
9.9,1.904807285e-11,0.0514825332,0.055074771,0.3234742961786252,0.3460449919434804
10.0,1.956130745e-11,0.0514541702,0.0551393895,0.3232960861937577,0.34645100195325235
10.1,2.008712875e-11,0.0514273199,0.0551914332,0.32312738078330433,0.3467780021644236
10.2,2.062607345e-11,0.0514018309,0.0552305905,0.32296722867300964,0.34702403473645244
10.3,2.11782105e-11,0.0513775458,0.0552567616,0.3228146408895063,0.3471884726074452
10.4,2.17437803e-11,0.0513543323,0.0552700532,0.32266878616737804,0.3472719861932741
10.5,2.23235523e-11,0.0513321226,0.055270987,0.3225292385066612,0.3472778534317139
10.6,2.29173761e-11,0.0513105562,0.055259889,0.3223937328190524,0.34720812264117484
10.7,2.352568235e-11,0.0512894873,0.0552374165,0.32226135301613396,0.3470669237593592
10.8,2.414845985e-11,0.0512689086,0.0552043566,0.32213205323065314,0.3468592022814224
10.9,2.47862915e-11,0.0512486522,0.0551616065,0.3220047785157968,0.34659059548122195
11.0,2.54396108e-11,0.0512284711,0.0551098888,0.32187797692479403,0.34626564358846085
11.1,2.610867095e-11,0.0512085915,0.0550502862,0.32175306971416145,0.34589114940787113
11.2,2.67939407e-11,0.0511888754,0.0549836844,0.3216291898043266,0.34547267795667946
11.3,2.749555055e-11,0.0511690653,0.0549109085,0.3215047192750728,0.34501541349108267
11.4,2.821418035e-11,0.0511491249,0.0548327784,0.32137943004677355,0.34452450759471415
11.5,2.895003975e-11,0.0511291927,0.0547503215,0.32125419234059377,0.3440064156121586
11.6,2.970413505e-11,0.0511092831,0.05466441,0.3211290966344019,0.3434666177376408
11.7,3.047589365e-11,0.0510893222,0.0545758064,0.32100367860080387,0.34290990489995765
11.8,3.126672315e-11,0.0510690579,0.0544850068,0.3208763542487836,0.34233939418733983
11.9,3.20765749e-11,0.0510487698,0.0543929498,0.320748880356953,0.34176098299751684
12.0,3.29062138e-11,0.0510283862,0.0543002267,0.32062080642092555,0.3411783865779607
12.1,3.37561514e-11,0.0510079077,0.05420729,0.3204921362106125,0.3405944480700229
12.2,3.462675275e-11,0.0509872428,0.0541146779,0.32036229481455814,0.34001254908403583
12.3,3.55187618e-11,0.0509665765,0.0540228071,0.32023244462204437,0.33943530782331705
12.4,3.64328641e-11,0.0509458649,0.053932005,0.3201023098012362,0.33886478140273596
12.5,3.736933525e-11,0.0509251266,0.0538426437,0.31997200721938035,0.3383033077955455
12.6,3.83288912e-11,0.0509041907,0.0537548195,0.3198404630801077,0.3377514920724907
12.7,3.931189075e-11,0.0508832876,0.0536688442,0.31970912502931326,0.3372112933307504
12.8,4.031951745e-11,0.0508624656,0.0535849144,0.3195782965448471,0.3366839468445558
12.9,4.13524286e-11,0.0508415981,0.0535030284,0.3194471821754496,0.3361694419324921
13.0,4.24110808e-11,0.050820685,0.053423213,0.31931578129280197,0.33566794698392544
13.1,4.349628845e-11,0.0507997792,0.0533455109,0.3191844262774072,0.33517973029086845
13.2,4.46085326e-11,0.0507789367,0.0532699842,0.31905346898764225,0.33470518203912875
13.3,4.57490483e-11,0.0507582177,0.0531966384,0.31892328767126277,0.3342443367862254
13.4,4.69187308e-11,0.0507375396,0.0531253528,0.3187933633371624,0.33379643615169186
13.5,4.811756225e-11,0.0507168597,0.0530560981,0.31866342769332845,0.33336129603819875
13.6,4.934704635e-11,0.0506964028,0.0529888964,0.31853489319981804,0.33293905530414125
13.7,5.06072475e-11,0.0506759627,0.0529235892,0.31840646426382074,0.33252871806464823
13.8,5.1899775e-11,0.0506556292,0.0528601633,0.31827870511537726,0.3321302013816736
13.9,5.32249075e-11,0.0506354684,0.0527985518,0.31815203107303625,0.33174308491012033
14.0,5.4584321e-11,0.0506154655,0.0527387089,0.31802634914565525,0.3313670808801013
14.1,5.5978626e-11,0.0505955875,0.0526805326,0.3179014519881191,0.33100154840671525
14.2,5.7408678e-11,0.0505758697,0.0526239772,0.3177775613968692,0.33064620034839354
14.3,5.88755135e-11,0.0505563715,0.0525690599,0.3176550505931128,0.33030114477592354
14.4,6.0380423e-11,0.0505370284,0.0525156862,0.3175335143113975,0.3299657879282938
14.5,6.19240955e-11,0.0505178982,0.0524638473,0.31741331571983405,0.3296400745134734
14.6,6.350804e-11,0.0504988626,0.0524134098,0.3172937115176007,0.3293231663545425
14.7,6.51323815e-11,0.0504802319,0.0523645621,0.3171766513770982,0.329016247203613
14.8,6.6799137e-11,0.0504617946,0.0523171208,0.3170608064046342,0.3287181647244995
14.9,6.8509302e-11,0.0504436069,0.0522710537,0.3169465297152228,0.32842871659863515
15.0,7.02637385e-11,0.0504257092,0.052226409,0.3168340751495505,0.3281482056755517
15.1,7.2063907e-11,0.0504080714,0.0521831605,0.3167232535837395,0.3278764673357941
15.2,7.3911793e-11,0.0503907536,0.0521412978,0.3166144426372268,0.3276134362342353
15.3,7.5807187e-11,0.050373655,0.0521007729,0.3165070089649335,0.32735881077798035
15.4,7.7752197e-11,0.050356906,0.052061638,0.3164017718942235,0.32711291894930244
15.5,7.97484035e-11,0.0503405073,0.0520238201,0.3162987358233267,0.32687530207567406
15.6,8.17968745e-11,0.0503243934,0.0519872925,0.31619748920360535,0.32664579239604746
15.7,8.3899554e-11,0.0503085467,0.0519520183,0.316097921450998,0.326424158060885
15.8,8.6056588e-11,0.0502929965,0.0519179786,0.31600021666283434,0.32621028031798416
15.9,8.82702435e-11,0.050277802,0.0518851949,0.3159047468036844,0.3260042942558292
16.0,9.0542219e-11,0.0502629336,0.0518535999,0.31581132589126315,0.32580577701604885
16.1,9.287355e-11,0.0502483379,0.0518231306,0.3157196184034752,0.32561433275796886
16.2,9.52672035e-11,0.0502340377,0.0517937269,0.3156297675969454,0.3254295838621521
16.3,9.77238165e-11,0.0502200299,0.0517653889,0.31554175399379947,0.3252515309569172
16.4,1.00244943e-10,0.0502063566,0.0517380866,0.31545584211613886,0.32507998554670503
16.5,1.02832308e-10,0.0501929402,0.0517117278,0.3153715443887836,0.3249143683218302
16.6,1.05487841e-10,0.0501797776,0.0516862729,0.3152888413338593,0.32475443046815444
16.7,1.082141115e-10,0.0501669329,0.0516617003,0.3152081357035442,0.32460003626887524
16.8,1.11012063e-10,0.0501543893,0.0516379271,0.31512932194032506,0.3244506648479306
16.9,1.138838195e-10,0.0501420337,0.0516148401,0.31505168941594364,0.3243056049487437
17.0,1.16831903e-10,0.0501299834,0.0515924497,0.31497597514803655,0.32416492191644186
17.1,1.198575005e-10,0.0501181854,0.0515707076,0.31490184612778244,0.32402831227317463
17.2,1.229631155e-10,0.050106669,0.0515495765,0.31482948645251085,0.3238955416561301
17.3,1.26151354e-10,0.0500953593,0.0515289655,0.31475842551164224,0.3237660389237638
17.4,1.294239615e-10,0.0500843219,0.0515088677,0.31468907548213276,0.32363976072209716
17.5,1.32782629e-10,0.0500735677,0.0514892693,0.31462150485070234,0.32351662034317297
17.6,1.362298105e-10,0.0500630961,0.0514701417,0.31455570984743964,0.3233964380878913
17.7,1.397685255e-10,0.0500529147,0.0514514471,0.3144917382245531,0.3232789764518477
17.8,1.43400884e-10,0.0500429711,0.0514331372,0.31442926074313265,0.3231639319571918
17.9,1.47129735e-10,0.0500333661,0.0514152674,0.3143689107482572,0.32305165269238956
18.0,1.50955871e-10,0.0500240286,0.0513977889,0.3143102415054514,0.32294183203799803
18.1,1.5488392e-10,0.0500149793,0.0513806934,0.3142533830766511,0.32283441784357914
18.2,1.589157375e-10,0.0500062624,0.0513640154,0.314198613178647,0.32272962687902595
18.3,1.63054402e-10,0.0499978916,0.0513477529,0.31414601789107766,0.322627446577968
18.4,1.67302028e-10,0.0499898253,0.0513318865,0.31409533583343435,0.32252775504661013
18.5,1.71662614e-10,0.0499820677,0.0513164203,0.3140465933950954,0.3224305780460123
18.6,1.76137792e-10,0.0499746197,0.0513013613,0.3139997962309275,0.32233595955847144
18.7,1.80731387e-10,0.049967472,0.0512867008,0.31395488590730736,0.3222438449202755
18.8,1.854462695e-10,0.0499606192,0.05127242,0.31391182849503435,0.32215411600754074
18.9,1.90285745e-10,0.0499540602,0.05125854,0.31387061708260455,0.3220669053954771
19.0,1.95252425e-10,0.0499477823,0.051245052,0.3138311718735646,0.32198215779205386
19.1,2.003497295e-10,0.0499418096,0.0512319768,0.3137936442926804,0.32190000388752543
19.2,2.055819445e-10,0.0499360772,0.0512192582,0.3137576265612255,0.32182009056687755
19.3,2.109524395e-10,0.0499306169,0.0512069126,0.31372331848449275,0.32174252087434924
19.4,2.16463605e-10,0.049925364,0.051194908,0.3136903135403927,0.3216670937480106
19.5,2.22120156e-10,0.0499203368,0.0511832396,0.3136587267112164,0.32159377902857234
19.6,2.279253905e-10,0.0499155729,0.0511719155,0.31362879424473156,0.3215226276098353
19.7,2.33882521e-10,0.0499109904,0.0511608965,0.3136000015480614,0.3214533931909355
19.8,2.39996099e-10,0.0499066028,0.0511501761,0.3135724334442076,0.3213860349311684
19.9,2.46270601e-10,0.0499023843,0.051139714,0.31354592782698926,0.3213202996181662
20.0,2.52709731e-10,0.0498983218,0.0511295067,0.31352040238667883,0.3212561652607802
20.1,2.593172825e-10,0.0498943917,0.0511195198,0.3134957088401031,0.3211934157174359
20.2,2.66098048e-10,0.0498906263,0.0511097802,0.3134720501341474,0.32113222000581815
20.3,2.730570595e-10,0.0498869755,0.0511002579,0.313449111481228,0.3210723896303676
20.4,2.801972515e-10,0.0498834555,0.0510909384,0.31342699466894675,0.3210138334848973
20.5,2.875251325e-10,0.0498800336,0.0510817946,0.3134054942371441,0.3209563812950855
20.6,2.95044765e-10,0.0498766835,0.0510728048,0.3133844449380465,0.32089989671581104
20.7,3.02761403e-10,0.0498734562,0.0510640161,0.31336416721410465,0.32084467568510183
20.8,3.106785235e-10,0.0498702817,0.05105537,0.313344221242347,0.3207903506366174
20.9,3.18803294e-10,0.0498671785,0.0510468784,0.31332472326170174,0.320736996340263
21.0,3.27141067e-10,0.049864156,0.0510385472,0.3133057323341108,0.3206846498668318
21.1,3.356961885e-10,0.049861184,0.0510303848,0.3132870587073779,0.3206333639950805
21.2,3.444748305e-10,0.0498582458,0.0510223478,0.3132685974523083,0.32058286603476666
21.3,3.534821235e-10,0.0498553742,0.0510144624,0.3132505546573802,0.32053332060534545
21.4,3.627242465e-10,0.0498525354,0.0510067179,0.3132327179509302,0.32048466047673396
21.5,3.722081005e-10,0.0498497419,0.0509991061,0.3132151658727746,0.3204368341268128
21.6,3.819383535e-10,0.0498469804,0.0509916097,0.3131978148565488,0.3203897328564761
21.7,3.919225275e-10,0.0498442357,0.0509842251,0.31318056939783623,0.3203433340462567
21.8,4.02166767e-10,0.049841502,0.0509769406,0.31316339305416196,0.3202975641828865
21.9,4.12676826e-10,0.0498387979,0.0509697495,0.31314640269277283,0.32025238116902405
22.0,4.234617495e-10,0.049836119,0.0509626552,0.3131295706676534,0.32020780636749935
22.1,4.34525877e-10,0.0498334392,0.05095562,0.31311273298766723,0.3201636029022263
22.2,4.45877535e-10,0.0498307733,0.0509486551,0.3130959826439568,0.3201198411448803
22.3,4.57525009e-10,0.049828109,0.050941732,0.31307924235334295,0.32007634202468016
22.4,4.69475658e-10,0.0498254512,0.0509348473,0.3130625429034335,0.32003308417879583
22.5,4.81735084e-10,0.0498227756,0.0509279768,0.3130457316128256,0.3199899155541428
22.6,4.94313674e-10,0.0498201017,0.0509211203,0.3130289310036327,0.31994683489408415
22.7,5.0721877e-10,0.0498174161,0.0509142536,0.31301205688117173,0.3199036901455354
22.8,5.20458715e-10,0.0498147299,0.0509073887,0.31299517898879964,0.3198605567067201
22.9,5.3404321e-10,0.049812032,0.0509004969,0.31297822758315935,0.31981725425022006
23.0,5.4798133e-10,0.0498093395,0.0508935897,0.3129613101067198,0.3197738550326663
23.1,5.6228135e-10,0.0498066451,0.050886652,0.31294438069222813,0.3197302641779607
23.2,5.76951005e-10,0.0498039263,0.0508796822,0.312927297968015,0.31968647163300673
