time,frame,F_P_3d_bulk
1980.0,198,0.014219887655162524
1990.0,199,0.014361535835957928
2000.0,200,0.014127974856703345
2010.0,201,0.013198528026976918
2020.0,202,0.012733602568493999
2030.0,203,0.011667776630364255
2040.0,204,0.011722229774834702
2050.0,205,0.011276077732109736
2060.0,206,0.011614953042789016
2070.0,207,0.012401830246502165
2080.0,208,0.012592769992971748
2090.0,209,0.012677243947602421
2100.0,210,0.012958957805918431
2110.0,211,0.013218675598287235
2120.0,212,0.01338860102233521
2130.0,213,0.013158767806910776
2140.0,214,0.013148803030408659
2150.0,215,0.014155570163399864
2160.0,216,0.014202387374732135
2170.0,217,0.01467167909321749
2180.0,218,0.014187451403467999
2190.0,219,0.01328318517409852
2200.0,220,0.012602432832458585
2210.0,221,0.012905379294755754
2220.0,222,0.011720076499845999
2230.0,223,0.012291476434718621
2240.0,224,0.012365567667956752
2250.0,225,0.012447143437228933
2260.0,226,0.012034807618678988
2270.0,227,0.01109379150985171
2280.0,228,0.01041776342211423
2290.0,229,0.010551370473939174
2300.0,230,0.010545094264549136
2310.0,231,0.010554711958398797
2320.0,232,0.010571443315722738
2330.0,233,0.010809766920759923
2340.0,234,0.011362557829689193
2350.0,235,0.01164630960577195
2360.0,236,0.012105055383448325
2370.0,237,0.01146547707820536
2380.0,238,0.01128315149017083
2390.0,239,0.011556740716691714
2400.0,240,0.012246947153666105
2410.0,241,0.01235410146620031
2420.0,242,0.012860994542131809
2430.0,243,0.012486422561119872
2440.0,244,0.012545838148370158
2450.0,245,0.012320269323004179
2460.0,246,0.012252750557194662
2470.0,247,0.012195994164927853
