case,Ek,time_start,time_end,n_samples,mean,std
Ek1e-3,0.001,1240.0,1740.0,5001,0.8815724843322807,0.0019598886527244066
Ek3e-3,0.003,2761.8,3261.8,5001,1.9992889563477794,0.01983239017676873
Ek5e-3,0.005,2400.0,2900.0,5001,2.3762347731393847,0.0628730259308741
Ek7e-3,0.007,2200.0,2700.0,5001,3.3446886480852154,0.1601499760002295
Ek1e-2,0.01,2390.0,2890.0,5001,3.374313994212368,0.11789926960440528
