case,Ek,k_c,ell,Pi_m,P_m_resolved,chi_m_resolved,V_m_resolved,dV_m_dt,closure_residual
Ek2e-4,0.00020000000000066313,1.5707963267948966,0.6366197723675814,7.758218340971857e-12,2.7347754611127073e-11,6.46491407320532e-10,5.673070106406007e-08,-6.047191349914131e-10,-2.2182736058963758e-11
Ek2e-4,0.00020000000000066313,1.730574642202341,0.5778427440306148,9.509334349425164e-12,4.359123073127989e-11,8.174918885250873e-10,7.030834157631536e-08,-7.556837395361059e-10,-2.7726252607126787e-11
Ek2e-4,0.00020000000000066313,1.9066052938541225,0.5244924071193268,1.1318041835491402e-11,6.892764319905114e-11,1.0233743189735774e-09,8.562861313774363e-08,-9.316339997849532e-10,-3.413071782506451e-11
Ek2e-4,0.00020000000000066313,2.1005414374536637,0.4760677329042499,1.3162993586197576e-11,1.0607672510686456e-10,1.2735112496256458e-09,1.030052967563114e-07,-1.1389338294352305e-09,-4.166368866974834e-11
Ek2e-4,0.00020000000000066313,2.314204384453731,0.4321139510052612,1.5029993220767702e-11,1.5710060351680295e-10,1.5758223828446705e-09,1.226619759687886e-07,-1.3831153194402867e-09,-5.0636453108348543e-11
Ek2e-4,0.00020000000000066313,2.5496007065287944,0.3922182785089789,1.6900565676077857e-11,2.2302220680282978e-10,1.9348044607243654e-09,1.4463451090901172e-07,-1.667331429527907e-09,-6.13513900697065e-11
Ek2e-4,0.00020000000000066313,2.808941079880707,0.3560060434028289,1.8741941336391107e-11,3.036757686283532e-10,2.3503093215324234e-09,1.6872696478521723e-07,-1.9913294484920347e-09,-7.404604574842664e-11
Ek2e-4,0.00020000000000066313,3.0946610463501147,0.3231371659198068,2.0503234743062082e-11,3.9777250220962336e-10,2.8172655885496175e-09,1.945235428871379e-07,-2.351148839543451e-09,-8.884748153960491e-11
Ek2e-4,0.00020000000000066313,3.40944388630733,0.29330296474920753,2.2120284038267972e-11,5.031201118042675e-10,3.326300447611851e-09,2.214439122375958e-07,-2.7395548482261236e-09,-1.0574577161972795e-10
Ek2e-4,0.00020000000000066313,3.7562458181287086,0.26622325811950753,2.3527697703126928e-11,6.169237541657421e-10,3.865003325883911e-09,2.4882152647795714e-07,-3.147021231286618e-09,-1.2458603813467796e-10
Ek2e-4,0.00020000000000066313,4.13832376091424,0.24164373252881494,2.4673027261951753e-11,7.36106408679168e-10,4.4194632079847655e-09,2.7598405914275805e-07,-3.562956742676445e-09,-1.450730838911046e-10
