time,phase,z,q_xy_mean,RH_xy_mean
1210.0,accumulation,0.004922296641623997,0.49717420890512726,0.5043229849089057
1210.0,accumulation,0.01502394259266257,0.49137539745906894,0.5132605048408132
1210.0,accumulation,0.025634261457078256,0.485285743754188,0.5227420635062161
1210.0,accumulation,0.0367421244755721,0.4789126967366413,0.5327695056310617
1210.0,accumulation,0.04833588103373401,0.47226424062147365,0.5433436958177337
1210.0,accumulation,0.06040337088192818,0.4653488912492245,0.5544643060136192
1210.0,accumulation,0.07293193688971603,0.4581756881931282,0.566129579576007
1210.0,accumulation,0.08590843832143788,0.45075422731529274,0.57833615558969
1210.0,accumulation,0.09931926461903035,0.44309464351616884,0.5910788017406229
1210.0,accumulation,0.11315034967762214,0.4352075952914077,0.6043501380390687
1210.0,accumulation,0.1273871865989355,0.4271042422928321,0.6181403345426421
1210.0,accumulation,0.14201484290701943,0.41879621685905627,0.6324367825095372
1210.0,accumulation,0.15701797621035488,0.410295589377166,0.6472237366269178
1210.0,accumulation,0.17238085029390485,0.40161482686810424,0.6624819247131413
1210.0,accumulation,0.1880873516242307,0.3927667442893204,0.6781881207684959
1210.0,accumulation,0.20412100625036386,0.3837644483753243,0.6943146771288999
1210.0,accumulation,0.22046499708270553,0.37462127415456126,0.7108290114756156
1210.0,accumulation,0.23710218153183107,0.3653507145286581,0.7276930445008413
1210.0,accumulation,0.25401510948869915,0.3559663435114241,0.7448625842171915
1210.0,accumulation,0.27118604162740667,0.3464817339421424,0.7622866533678289
1210.0,accumulation,0.2885969680112919,0.3369103707221912,0.7799067572389532
1210.0,accumulation,0.306229626982871,0.32726556085134073,0.7976560903767511
1210.0,accumulation,0.32406552431779473,0.3175603416906422,0.8154586819734642
1210.0,accumulation,0.3420859526227361,0.3078073887779717,0.8332284799343961
1210.0,accumulation,0.3602720109568628,0.29801892363634813,0.8508683691060184
1210.0,accumulation,0.3786046246563139,0.2882066182938463,0.8682690949554949
1210.0,accumulation,0.397064565340888,0.2783814769531958,0.8853079496738657
1210.0,accumulation,0.4156324710819595,0.2685535948586435,0.9018465005911364
1210.0,accumulation,0.43428886671046696,0.2587319028880374,0.9177279532685928
1210.0,accumulation,0.45301418424367706,0.24892599274820462,0.9327890094109405
