z,q_accumulation_mean,q_plume_burst_mean,RH_accumulation_mean,RH_plume_burst_mean
0.004922296641623997,0.4970345337071944,0.4970912589421306,0.5041373052063888,0.5042377757647957
0.01502394259266257,0.4909491561848539,0.4911242882564077,0.5126786272862923,0.5129952417087819
0.025634261457078256,0.4845588510520092,0.48486822941274127,0.5217214129090398,0.5222885017690416
0.0367421244755721,0.4778715644893797,0.47833783859758333,0.5312634780006474,0.5321269827017917
0.04833588103373401,0.47089553851306104,0.4715426461946617,0.541300873117934,0.5425125962760556
0.06040337088192818,0.4636393440529601,0.46448788189860446,0.5518276378317617,0.5534397184624043
0.07293193688971603,0.45611199300656835,0.45717753972548225,0.5628356505310821,0.5648981311013458
0.08590843832143788,0.44832305711782033,0.44961650557588634,0.5743144976590543,0.5768752749948405
0.09931926461903035,0.44028268142414806,0.4418111144495871,0.5862512098058578,0.5893567244808536
0.11315034967762214,0.43200156776989806,0.4337686936304591,0.5986299491277398,0.6023252646548269
0.1273871865989355,0.42349095620462873,0.4254969836307767,0.6114316856340288,0.6157596249746441
0.14201484290701943,0.41476262188672924,0.4170038428326923,0.6246338944198536,0.6296334644505716
0.15701797621035488,0.40582888632326003,0.40829722461214635,0.6382102833389655,0.6439146818204851
0.17238085029390485,0.3967026351433509,0.3993852720604098,0.6521305505697012,0.6585648854491746
0.1880873516242307,0.3873973363415815,0.3902764153602177,0.6663601728668904,0.6735388694259398
0.20412100625036386,0.37792705633809287,0.3809794367814203,0.6808602301861035,0.688784041338799
0.22046499708270553,0.3683064728597348,0.371503514997608,0.6955872753506973,0.704239822252748
0.23710218153183107,0.35855088348011316,0.3618582693354971,0.710493257315497,0.7198370646005838
0.25401510948869915,0.34867620778587854,0.35205381593736973,0.7255255043766722,0.735497526394849
0.27118604162740667,0.33869898036668816,0.34210083641593503,0.7406267704139464,0.751133415031805
0.2885969680112919,0.328636331367849,0.3320106457785065,0.7557353431994622,0.7666469505527596
0.306229626982871,0.31850595110631,0.3217952046708379,0.770785208656086,0.7819296385260868
0.32406552431779473,0.3083260350695608,0.311466688420753,0.785706257917716,0.7968588526897372
0.3420859526227361,0.29811520514095574,0.3010354739796898,0.8004245127178317,0.8112841169948718
0.3602720109568628,0.28789240044822045,0.29051119796009445,0.8148623177874216,0.8250301395248022
0.3786046246563139,0.2776767438684694,0.27990829049201355,0.8289385153954012,0.8379296546053124
0.397064565340888,0.2674874853379204,0.26924827039730653,0.8425692430912098,0.8498419750089586
0.4156324710819595,0.25734377499851996,0.25855831249058275,0.8556677983252023,0.8606509864533258
0.43428886671046696,0.2472644367169033,0.24787034868214275,0.8681445040113156,0.8702669986552507
0.45301418424367706,0.23726777278851124,0.23721874246741664,0.8799067553034574,0.8786189686931126
0.4717887834092959,0.22737124994307428,0.22663946534009893,0.8908581486457645,0.8856559301116622
0.49059297224540244,0.2175912555530264,0.21616921873316391,0.9008978641847462,0.8913480708556158
0.5094070277545975,0.20794280236095827,0.20584385468532534,0.9099193888514561,0.8956815708237861
0.528211216590704,0.19843933084074733,0.19569781313503684,0.9178095945450054,0.8986601181458528
0.5469858157563228,0.18909259435515335,0.18576462063066262,0.9244481366816908,0.9003138697556872
0.5657111332895329,0.17991260984634264,0.1760772101841024,0.9297071155255434,0.9007076043840102
0.5843675289180406,0.17090828770920125,0.16666897899461575,0.9334564350727937,0.8999554751981018
0.6029354346591118,0.16209037126253215,0.15757548246386044,0.9355911006274424,0.8982428400438514
0.621395375343686,0.15350093248087854,0.14884494435769766,0.936314487382499,0.8959346371322717
0.6397279890431371,0.14518155451029238,0.14049291599489014,0.9358834559504056,0.8931602076610868
0.6579140473772638,0.13714552413839895,0.13251820474959483,0.9343327088750895,0.8899248429257206
0.6759344756822052,0.129393111744166,0.12491194279491034,0.9315900456831621,0.8861773285896081
0.6937703730171288,0.12191023599564525,0.11765812268773035,0.9274390114265195,0.8818009228376269
0.7114030319887079,0.11464298963792667,0.11071666267355328,0.9211993922141911,0.8764049398929749
0.7288139583725932,0.10756673501475464,0.1040422836767453,0.912456151602976,0.8694918599512154
0.7459848905113007,0.10067820314784365,0.09760775194632429,0.901022656194357,0.8607249044077667
0.762897818468169,0.09397502120249086,0.09139159471516271,0.8867284284735184,0.8498097676780016
0.7795350029172945,0.08745473236296122,0.08537669437039634,0.8694100276432108,0.8364873272099267
0.7958789937496361,0.08111476517073808,0.0795485755438568,0.8489124527505991,0.8205210487223408
0.8119126483757694,0.07495257630809644,0.07389499336990549,0.8250931474812987,0.8016971122013081
0.8276191497060952,0.06896578473129446,0.06840564436369624,0.7978265047461066,0.7798242110286517
0.842982023789645,0.0631523170702966,0.06307270668490021,0.7670091344861523,0.7547425611810586
0.8579851570929806,0.05751051341516049,0.057892033393712676,0.7325652134922869,0.726342545104626
0.8726128134010644,0.05203923891206565,0.05286359672755946,0.6944523766466588,0.6945774816752806
0.8868496503223778,0.04673793936133008,0.04799205860626139,0.652667232688402,0.659483962482238
0.9006807353809696,0.041606650442764556,0.0432854701903972,0.607250316209879,0.6211792149269983
0.9140915616785621,0.036645940872748715,0.038752113286531456,0.5582899364120226,0.5798288380746925
0.927068063110284,0.03185681595995236,0.03439466555150703,0.5059249765573001,0.5355680050538405
0.9395966291180717,0.027240554708460273,0.03019946597034148,0.4503459658708408,0.48833587676467344
0.9516641189662659,0.022798469150152448,0.026118190829910022,0.39179385351706475,0.4375865310189952
0.9632578755244279,0.018531675553978257,0.022043832829287676,0.33055738979693694,0.3819332323376655
0.9743657385429216,0.014441016767792457,0.01777575957061797,0.26696975408842577,0.31863075284043973
0.9849760574073374,0.010528071461863369,0.013022958919274191,0.20141746323413381,0.24303598102719318
0.995077703358376,0.006797143300462724,0.007730004265507932,0.13436562291962953,0.15165479636139192
