Ra,Ek,Ek_label,AR,beta,qbot,Nx,Ny,Nz,time_at_active_scan,time_in_reduced_series,seconds_since_write_at_scan,status,reason,run_path,K_mean_100,K_normalized_drift_100,K_half_shift_100,K_block_cv_100,K_window_start_100,K_window_end_100,K_n_blocks_100,K_mean_200,K_normalized_drift_200,K_half_shift_200,K_block_cv_200,K_window_start_200,K_window_end_200,K_n_blocks_200,mprime2_mean_100,mprime2_normalized_drift_100,mprime2_half_shift_100,mprime2_block_cv_100,mprime2_window_start_100,mprime2_window_end_100,mprime2_n_blocks_100,mprime2_mean_200,mprime2_normalized_drift_200,mprime2_half_shift_200,mprime2_block_cv_200,mprime2_window_start_200,mprime2_window_end_200,mprime2_n_blocks_200,two_pi_Lm_mean_100,two_pi_Lm_normalized_drift_100,two_pi_Lm_half_shift_100,two_pi_Lm_block_cv_100,two_pi_Lm_window_start_100,two_pi_Lm_window_end_100,two_pi_Lm_n_blocks_100,two_pi_Lm_mean_200,two_pi_Lm_normalized_drift_200,two_pi_Lm_half_shift_200,two_pi_Lm_block_cv_200,two_pi_Lm_window_start_200,two_pi_Lm_window_end_200,two_pi_Lm_n_blocks_200
8000000.0,0.000999999999999935,0.001,16.0,1.02,0.5,385,385,65,630.3,630.5,10.827171087265015,已基本稳定,最近200时间内K、m'^2和2πLm的系统漂移均不超过约10%,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run,0.0022824930649545457,0.009008840024414096,0.0048110906757533305,0.0040816950677856996,530.5,630.5,11,0.0022696039835428568,0.023312388750079623,0.011698044975709306,0.007965600699544703,430.5,630.5,21,0.0032971930085545454,0.01663204972892719,0.009290551065807874,0.005967461855334565,530.5,630.5,11,0.0032683600136,0.0354888250697041,0.01766276106935211,0.011343140294650108,430.5,630.5,21,0.8544627881707288,0.01091317262513233,0.00640313151390629,0.003873166448839767,530.5,630.5,11,0.8488307243379998,0.02566033506929577,0.013390539217432969,0.008159434076892057,430.5,630.5,21
8000000.0,0.003000000000000819,0.003,16.0,1.02,0.5,385,385,65,2238.8,2239.0,8.43284296989441,已基本稳定,最近200时间内K、m'^2和2πLm的系统漂移均不超过约10%,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek3e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti2/conti1/run,0.0034042964804181816,-0.004224826473446117,-0.0019176229915017935,0.003177168192018372,2139.0,2239.0,11,0.00340281818525238,-0.00127644720256678,0.0009281196966492095,0.0038199703266064964,2039.0,2239.0,21,0.0037588626629545454,-0.01663287625867209,-0.007765975305493188,0.006769415110253757,2139.0,2239.0,11,0.003750804193023809,0.0006287494055476356,0.005706631883081447,0.00636234145991493,2039.0,2239.0,21,1.84456996577995,-0.0029037477448099016,0.004382770234394368,0.0055171619966627875,2139.0,2239.0,11,1.8330619568218807,0.019900794642135074,0.014195271189698808,0.008926375049649583,2039.0,2239.0,21
8000000.0,0.004999999999999675,0.005,16.0,1.02,0.5,385,385,65,2218.1,2218.3,5.465122222900391,已基本稳定,最近200时间内K、m'^2和2πLm的系统漂移均不超过约10%,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek5e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti2/conti1/run,0.0032073160062636367,0.004115391431031972,0.005054647850403819,0.003725239277672719,2118.3,2218.3,11,0.003276096396958154,-0.07617858536892412,-0.04372939686652919,0.027825464065990273,2018.3000000000002,2218.3,21,0.0033961178145545455,-0.04589697323289281,-0.02372211604236882,0.017120642726473567,2118.3,2218.3,11,0.0034310296873003845,-0.04835943925447991,-0.018890273336079694,0.018314280852624824,2018.3000000000002,2218.3,21,2.500943963816742,-0.05312138381193974,-0.03452449266632338,0.022785968428028477,2118.3,2218.3,11,2.513078908537285,-0.03847086063445598,-0.008270098779535199,0.019926507073667526,2018.3000000000002,2218.3,21
8000000.0,0.00999999999999935,0.01,16.0,1.02,0.5,385,385,65,2238.2,2238.4,9.199536561965942,已基本稳定,最近200时间内K、m'^2和2πLm的系统漂移均不超过约10%,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-2/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti2/conti1/run,0.002977192053940909,0.055832480603776415,0.031957248904131895,0.020698606207719083,2138.4,2238.4,11,0.0029383097497857145,0.06048369195172055,0.02588112548446778,0.023317591461782677,2038.4,2238.4,21,0.003142846137881818,0.01763490848455377,0.00986692554905367,0.021574897653268022,2138.4,2238.4,11,0.003211641860971428,-0.07551608350955659,-0.04605340971398171,0.03376551492221434,2038.4,2238.4,21,3.3266027342968822,-0.047631460950699714,-0.031092256082847793,0.018741505150109368,2138.4,2238.4,11,3.368826881475114,-0.06574806818892119,-0.02491331816685341,0.024780265464095248,2038.4,2238.4,21
8000000.0,0.03000000000000819,0.03,16.0,1.02,0.5,385,385,65,2248.6,2248.8,4.2489190101623535,快稳定,动能已成平台，湿静能方差和尺度仅有弱慢漂移,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek3e-2/AR16/Beta1p02/qbot0p5_qtop0p004978/N385x385x65/conti2/conti1/run,0.0022645981252681817,-0.010874904707407922,-0.0024831832067003664,0.018847023027917027,2148.8,2248.8,11,0.0022829599614976196,0.008413267179611517,-0.016174165363019695,0.04218180415709875,2048.8,2248.8,21,0.004161322858090909,-0.12375165725483957,-0.06177936421113029,0.04743394237195702,2148.8,2248.8,11,0.004335541340328571,-0.11248403065891358,-0.07863088880520577,0.06821130437432575,2048.8,2248.8,21,5.484991756758183,-0.1862760707945621,-0.08819812478582827,0.06866239535733265,2148.8,2248.8,11,5.7681236175733535,-0.16970346282739834,-0.09354824308236419,0.07780457702146402,2048.8,2248.8,21
8000000.0,0.0004999999999999675,0.0005,16.0,1.02,0.5,385,385,65,624.2,624.4,2.3128175735473633,仍明显演化,最近窗口仍有显著系统漂移或重组,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek5e-4/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run,6.282472323627274e-06,-2.6961934643090504,-1.4511118456202077,1.0552687674064118,524.4,624.4,11,0.00032555490780609053,-4.050021646571856,-2.057925877420661,1.536626344331443,424.4,624.4,21,5.695477859618183e-05,-1.7759503103113319,-0.9662840198466833,0.6497398270867931,524.4,624.4,11,0.0006722470390651428,-3.6984428668146823,-1.916977381150905,1.351318475790056,424.4,624.4,21,2.08037733710342,0.6907481624112068,0.37089779728086786,0.23699124974160293,524.4,624.4,11,1.3961909744774783,1.7697293345229126,0.9848424870973409,0.5857900893470432,424.4,624.4,21
8000000.0,0.0007000000000004278,0.0007,16.0,1.02,0.5,385,385,65,629.4,629.6,6.017123460769653,仍明显演化,最近窗口仍有显著系统漂移或重组,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek7e-4/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run,0.0013157253389545454,-0.6833604308687815,-0.37797278760039,0.24167330030204262,529.6,629.6,11,0.0009092723117572381,1.3764648502985137,0.989308679420284,0.6399205625490542,429.6,629.6,21,0.002266707208590909,-0.7701958199710346,-0.4369313774493655,0.268204670922296,529.6,629.6,11,0.001663279791077476,1.1801225819701133,0.8032604410779122,0.6231618055347528,429.6,629.6,21,0.709030037244488,-0.40953920028203433,-0.23323613690881104,0.14920630334853008,529.6,629.6,11,0.8212593270595889,-0.49987690377769134,-0.27582893102145634,0.18723080694790306,429.6,629.6,21
8000000.0,0.04999999999999675,0.05,16.0,1.02,0.5,385,385,65,494.9,494.998,7.570491313934326,仍明显演化,最近窗口仍有显著系统漂移或重组,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek5e-2/AR16/Beta1p02/qbot0p5_qtop0p004978/N385x385x65/run,0.0012755810069727967,0.3920618543375447,0.2094867442929507,0.13396855000096683,394.998,494.998,11,0.001111437650108195,0.5615434055081668,0.28915648485675477,0.19297386943675515,294.998,494.998,21,0.0033857963105220603,0.27860821434984206,0.1552177771587163,0.09581977470197713,394.998,494.998,11,0.0031664473621303276,0.24197900102190287,0.1326191225640765,0.11558694653334263,294.998,494.998,21,4.80080092282043,0.21558897773579694,0.09988635181185672,0.07502778145629499,394.998,494.998,11,4.364015480282369,0.39186005351809433,0.19777214865564002,0.1258021060907969,294.998,494.998,21
8000000.0,0.0999999999999935,0.1,16.0,1.02,0.5,385,385,65,1030.498,1030.603,6.497081756591797,仍明显演化,最近窗口仍有显著系统漂移或重组,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-1/AR16/Beta1p02/qbot0p5_qtop0p004978/N385x385x65/run,0.0020880569083413683,-0.2358250526018448,-0.13687901175405814,0.08778419015067218,930.6030000000001,1030.603,11,0.0020902454925121458,-0.03666033198731527,0.009452265124253284,0.07431085239020847,830.6030000000001,1030.603,21,0.004933506504141782,-0.10628172551939519,-0.04306261839153217,0.039056076494979095,930.6030000000001,1030.603,11,0.004880499165907601,0.057174469208557184,0.02942745042008273,0.06433742074834571,830.6030000000001,1030.603,21,6.652754216454529,-0.19392728411036772,-0.10335008871382205,0.06648631707519598,930.6030000000001,1030.603,11,7.074148679101481,-0.21979612528612888,-0.11645594565272652,0.08299635922704175,830.6030000000001,1030.603,21
8000000.0,,NR,16.0,1.02,0.5,385,385,65,664.2,664.4,4.210780620574951,仍明显演化,最近窗口仍有显著系统漂移或重组,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/norotating/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run,0.001989715292495455,-0.007481025996107154,0.002515192401609073,0.03687817526403381,564.4,664.4,11,0.0019445673998785714,0.08715887168650151,0.053283116258983416,0.04590873770575513,464.4,664.4,21,0.005061621349163637,0.17468371469106592,0.09913259676414794,0.06156111519945858,564.4,664.4,11,0.004817247916942857,0.22064122560473412,0.0974447024488027,0.07481666480623972,464.4,664.4,21,7.483568623173392,0.1520046783259022,0.10278496444303606,0.05885955733926779,564.4,664.4,11,7.037328495163162,0.26373374666017735,0.13075159470371905,0.08663134936354969,464.4,664.4,21
