Ra,Ek,time_min,time_max,sample_count,late_window,two_pi_Lm_mean,stability_category,included_in_fit
8000000.0,0.001,430.5,630.5,2001,200.0,0.8483214448288013,newly stable,True
8000000.0,0.003,1739.0,2239.0,5001,500.0,1.8107120052750918,stable,True
8000000.0,0.005,1718.4,2218.3,5000,500.0,2.5257850845593413,stable,True
8000000.0,0.007,1700.0,2200.0,5001,500.0,3.2312495390266536,stable,True
8000000.0,0.01,1238.4,2238.4,10001,1000.0,3.3281881538447258,statistical steady,True
