Ra,Pr,Ek,AR,Nx,Ny,Nz,time,frame,field_path,inertia_bulk,coriolis_bulk,viscous_bulk,buoyancy_bulk,drag_bulk,local_Ro_force,buoyancy_power_bulk,viscous_dissipation_bulk,drag_dissipation_bulk,regime
8000000.0,0.7,0.00014999999999973672,4.0,256,256,64,810.0,81,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00081.h5,1.8854129108853216e-05,0.001681950903363585,0.00023185484423634317,0.0005150394525374564,0.0,0.011209678636367154,4.641612740525155e-07,2.820027183900626e-07,0.0,geostrophic leading; VAC-like ageostrophic balance
8000000.0,0.7,0.00014999999999973672,4.0,256,256,64,860.0,86,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00086.h5,1.892457616457102e-05,0.001689423905779943,0.00023310112359546426,0.0005160119042843833,0.0,0.011201792575460367,4.6924539677555197e-07,2.850772904430984e-07,0.0,geostrophic leading; VAC-like ageostrophic balance
8000000.0,0.7,0.00014999999999973672,4.0,256,256,64,910.0,91,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00091.h5,1.909151857702735e-05,0.0017000571059715998,0.0002346864529077617,0.0005181916981276559,0.0,0.011229927812405074,4.7559178898657243e-07,2.889614695838782e-07,0.0,geostrophic leading; VAC-like ageostrophic balance
8000000.0,0.7,0.00014999999999973672,4.0,256,256,64,960.0,96,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00096.h5,1.9238521082479687e-05,0.0017082495961756,0.00023575598365160302,0.000520033892654122,0.0,0.01126212535073947,4.801120760338529e-07,2.916810713894259e-07,0.0,geostrophic leading; VAC-like ageostrophic balance
8000000.0,0.7,0.00014999999999973672,4.0,256,256,64,1010.0,101,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00101.h5,1.934404467769085e-05,0.001713625988701598,0.00023628434240064556,0.0005214043153949166,0.0,0.011288370277546792,4.827700489056866e-07,2.9318086369061793e-07,0.0,geostrophic leading; VAC-like ageostrophic balance
8000000.0,0.7,0.00014999999999973672,4.0,256,256,64,1060.0,106,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00106.h5,1.9444834884427382e-05,0.0017187617775667587,0.00023667795563322855,0.0005228863112836928,0.0,0.011313280955057847,4.851434210774653e-07,2.944282810275403e-07,0.0,geostrophic leading; VAC-like ageostrophic balance
8000000.0,0.7,0.00014999999999973672,4.0,256,256,64,1110.0,111,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00111.h5,1.955492309535789e-05,0.0017245060260689692,0.00023710473891337767,0.0005245732182644153,0.0,0.011339434481382216,4.877091560557038e-07,2.9577923303893e-07,0.0,geostrophic leading; VAC-like ageostrophic balance
8000000.0,0.7,0.00014999999999973672,4.0,256,256,64,1160.0,116,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00116.h5,1.9650488829324424e-05,0.00172973104680337,0.0002374808010784276,0.0005260783572487216,0.0,0.011360430204244478,4.899780484925253e-07,2.9697585073037077e-07,0.0,geostrophic leading; VAC-like ageostrophic balance
8000000.0,0.7,0.00014999999999973672,4.0,256,256,64,1200.0,120,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00120.h5,1.9714283785948613e-05,0.0017332350458784858,0.00023772957632066442,0.0005270859346183225,0.0,0.011374270231165605,4.915022326657999e-07,2.977698514694532e-07,0.0,geostrophic leading; VAC-like ageostrophic balance
8000000.0,0.7,0.00020000000000066313,4.0,256,256,64,10.0,1,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00001.h5,3.98630605296289e-10,6.13942931344222e-06,8.218079118160203e-07,3.135687437381958e-06,0.0,6.492958627660901e-05,1.5739768645311462e-11,5.1808207555193034e-12,0.0,geostrophic leading; VAC-like ageostrophic balance
8000000.0,0.7,0.00020000000000066313,4.0,256,256,64,60.0,6,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00006.h5,0.00015204145566478407,0.003018030592689257,0.0004878425335209941,0.0014953248719281748,0.0,0.05037770526020595,4.489738115888792e-06,1.610213525999004e-06,0.0,geostrophic leading; VAC-like ageostrophic balance
8000000.0,0.7,0.00020000000000066313,4.0,256,256,64,110.0,11,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00011.h5,0.0002834738797749082,0.00567697582405178,0.0004235061635520112,0.0013668073236656386,0.0,0.04993395930521804,-5.047122953030332e-07,1.4024374858756568e-06,0.0,geostrophic leading; VAC-like ageostrophic balance
8000000.0,0.7,0.00020000000000066313,4.0,256,256,64,160.0,16,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00016.h5,1.6456301613464015e-06,0.0007820861909233193,9.82705181167823e-06,0.0004313319926048832,0.0,0.0021041544786816846,1.0314467089896052e-10,4.6743610884748614e-09,0.0,geostrophic leading; VAC-like ageostrophic balance
8000000.0,0.7,0.00020000000000066313,4.0,256,256,64,210.0,21,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00021.h5,2.2451726946795632e-07,0.00033604663567951754,2.3012748859156644e-06,0.00027239633150382043,0.0,0.000668113427215129,-2.062585299120499e-10,5.10917602469135e-10,0.0,geostrophic leading; VAC-like ageostrophic balance
8000000.0,0.7,0.00020000000000066313,4.0,256,256,64,260.0,26,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00026.h5,7.473254430209312e-08,0.00022932049894337962,2.016985064011396e-06,0.00023714646013916986,0.0,0.0003258868903845572,1.0253223437812548e-10,1.9020708557600528e-10,0.0,geostrophic leading; VAC-like ageostrophic balance
