Ek,Num,selection,time_windows,samples
0.0001499999999997,1.0040114014708272,late 200,1000-1200,2001
0.0002000000000006,1.4512196437931735,plume-burst windows,353.3-432.6; 622.9-732.1; 939.4-1029.8,2792
0.0004999999999999,3.097987410834574,plume-burst windows,390.5-429; 451.8-488.5,754
0.0007000000000004,2.709578243751325,plume-burst windows,447.9-469.6; 491.1-523.1; 580.6-684.6,1580
0.0009999999999999,5.119021489861075,late 200,1040-1240,2001
0.0020000000000066,5.358629019038658,late 200,463.7-663.7,2000
0.0030000000000008,4.85823355845544,late 200,2876.4-3076.4,2001
0.0049999999999996,4.080831993530413,late 200,2200-2400,2001
0.0070000000000042,3.5438127767824517,late 200,2000-2200,2001
0.0099999999999993,3.355840568482929,late 200,2190-2390,2001
0.0300000000000081,2.9737682791158044,late 200,2200-2400,2001
0.0499999999999967,3.111519660469258,late 200,1058.6-1258.6,2001
0.0999999999999935,3.0428111968977185,late 200,1772.6-1972.6,2001
,2.861624602006068,nonrotating late 200,1440-1640,2001
