time,two_pi_Lm_smoothed
1210.0,0.19008545966135676
1210.1,0.19372544157926366
1210.2,0.19736148222467337
1210.3,0.20099361640643248
1210.4,0.20462187488073308
1210.5,0.20824628482235163
1210.6,0.211866870233056
1210.7,0.21548365238771164
1210.8,0.2190966502049895
1210.9,0.22270588055524215
1211.0,0.22631135858722934
1211.1,0.22991309799201187
1211.2,0.23351111125427895
1211.3,0.2371054098534101
1211.4,0.24069600447082035
1211.5,0.24428290515332307
1211.6,0.24786612150790854
1211.7,0.2514456628085583
1211.8,0.2550215381219087
1211.9,0.25859375645176436
1212.0,0.2621623268270625
1212.1,0.2657272583521386
1212.2,0.26928856032610704
1212.3,0.2728462422931262
1212.4,0.2764003141115139
1212.5,0.2799507860165789
1212.6,0.2834976686960195
1212.7,0.2870409732962064
1212.8,0.29058071150386433
1212.9,0.2941168955586382
1213.0,0.29764953830335883
1213.1,0.3011786532217418
1213.2,0.30470425448237004
1213.3,0.30822635696382633
1213.4,0.31174497624841024
1213.5,0.3152601286284213
1213.6,0.31877183118155716
1213.7,0.3222801017897632
1213.8,0.3257849591078166
1213.9,0.3292864226010254
1214.0,0.3327845125766446
1214.1,0.33627925015245996
1214.2,0.3397706573007705
1214.3,0.3432587568735212
1214.4,0.3467435725834534
1214.5,0.3502251290166712
1214.6,0.35370345166405737
1214.7,0.3571785669275566
1214.8,0.36065050211389227
1214.9,0.36411928542828315
1215.0,0.36758494601214275
1215.1,0.3669933912971526
1215.2,0.36641403953962176
1215.3,0.3658465540048002
1215.4,0.3652906042348398
1215.5,0.3647458660173787
1215.6,0.364212021341559
1215.7,0.36368875827236286
1215.8,0.3631757709129137
1215.9,0.36267275926624576
1216.0,0.3621794291033575
1216.1,0.36169549176214955
1216.2,0.3612206640280441
1216.3,0.360754668027171
1216.4,0.3602972310944207
1216.5,0.3598480855786655
1216.6,0.3594069687799277
1216.7,0.3589736227294681
1216.8,0.3585477942651843
1216.9,0.3581292348870974
1217.0,0.35771770078876797
1217.1,0.3573129529389773
1217.2,0.35691475711314347
1217.3,0.35652288413208255
1217.4,0.3561371101447515
1217.5,0.355757216810461
1217.6,0.3553829917261317
1217.7,0.3550142288158518
1217.8,0.35465072888379756
1217.9,0.3542923001734366
1218.0,0.3539387589958464
1218.1,0.35358993037059955
1218.2,0.353245648635232
1218.3,0.35290575797303136
1218.4,0.3525701129219747
1218.5,0.3522385788208344
1218.6,0.35191103205422286
1218.7,0.35158736030391946
1218.8,0.3512674626494017
1218.9,0.35095124953642953
1219.0,0.3506386427079299
1219.1,0.35032957494010314
1219.2,0.3500239896591489
1219.3,0.34972184058940725
1219.4,0.349423091206722
1219.5,0.34912771427348493
1219.6,0.3488356913108481
1219.7,0.34854701193898924
1219.8,0.3482616732425104
1219.9,0.34797967917981837
1220.0,0.34770103998622204
1220.1,0.34742577158331295
1220.2,0.3471538949632132
1220.3,0.34688543559167273
1220.4,0.34662042291798123
1220.5,0.3463588898471801
1220.6,0.3461008723190893
1220.7,0.3458464088119357
1220.8,0.34559554001562726
1220.9,0.34534830841706315
1221.0,0.34510475803623947
1221.1,0.3448649340429754
1221.2,0.34462888253071855
1221.3,0.34439665031548244
1221.4,0.34416828464682075
1221.5,0.34394383305074705
1221.6,0.343723343090974
1221.7,0.34350686226838273
1221.8,0.34329443778854446
1221.9,0.3430861164674728
1222.0,0.34288194461224336
1222.1,0.3426819679141799
1222.2,0.34248623132318995
1222.3,0.3422947789221017
1222.4,0.3421076538638319
1222.5,0.3419248982897043
1222.6,0.3417465532477686
1222.7,0.3415726586676674
1222.8,0.3414032532286894
1222.9,0.3412383742780881
1223.0,0.34107805783108175
1223.1,0.3409223384828885
1223.2,0.34077124933332864
