time,F_I_over_F_C,F_C_over_F_C,F_P_over_F_C,F_V_over_F_C,F_B_over_F_C,R_G_over_F_C
1210.0,0.11589542079783684,1.0,1.1791984872719798,0.14964530995707423,0.6065135336491236,0.16573571351490082
1220.0,0.2789915517259276,1.0,1.2445973032741924,0.1576265604822608,0.4773254779654757,0.2512494384528345
1230.0,0.33889105480689113,1.0,1.2933043119592638,0.1503236300818674,0.41149023990980543,0.3152052664349092
1240.0,0.2349519280835776,1.0,1.222002067212746,0.15260631733889515,0.4535411699066669,0.22390970184880318
1250.0,0.22832391689207243,1.0,1.2139146345137664,0.15969398863473092,0.4681702066577311,0.2164540551312534
1260.0,0.26028753651174147,1.0,1.2201705147247985,0.1632938062105992,0.436579166004098,0.23808330367866196
1270.0,0.2525600886499322,1.0,1.2092418477619404,0.16182752619654986,0.40398826519010955,0.22801832561590607
1280.0,0.23223895972764744,1.0,1.188258788021096,0.15999234940142204,0.3845188621128644,0.2112544102815253
1290.0,0.22746984049488939,1.0,1.1732101853998584,0.16251218165378997,0.36375085481932135,0.20534202050902572
1300.0,0.22034562272324762,1.0,1.1690126419264428,0.15515405765950155,0.33052643884718436,0.19740018101707182
1310.0,0.205275387516143,1.0,1.153206656367537,0.14666824007817414,0.32522722165279394,0.18290474168415852
1320.0,0.17340073413955143,1.0,1.1485545902448553,0.13129034555685032,0.34715634005635004,0.1553289468220995
1330.0,0.07689308354407295,1.0,1.1514521410785676,0.09127611891025637,0.4722537323843461,0.07544826361307566
1340.0,0.012816564023475833,1.0,1.2606192079243321,0.03452452552068746,0.7071491066836818,0.032775936206712944
1350.0,0.0054998666117454425,1.0,1.3535520675620458,0.019654026106191706,0.8541257480510294,0.020491514451140853
1360.0,0.003254294842146696,1.0,1.423350572460592,0.013653891080688742,0.9589593840906178,0.015841898356545148
1370.0,0.0023176606523244757,1.0,1.4789973307542248,0.01081037406259623,1.0407752841267932,0.01265565643705615
1380.0,0.0017947129819462053,1.0,1.52609306480714,0.009027672505161151,1.1088798604253083,0.0100837645727533
1390.0,0.00145045379251404,1.0,1.5653148030562296,0.007847644580763589,1.1644289750310257,0.008852163768273339
1400.0,0.0012124231261288424,1.0,1.5977417789340236,0.006945711293141607,1.2084943669609076,0.007414663541402027
1410.0,0.001035515203697197,1.0,1.6231583667880398,0.006203045954154839,1.2411427855641153,0.006447279073262645
1420.0,0.0008988253707702006,1.0,1.64108524056811,0.005577990055842559,1.2618432386689042,0.005627595565551509
1430.0,0.000799194680817236,1.0,1.6159970304814404,0.006090976764880574,1.2321616725074287,0.018761906272777632
1440.0,0.000716946812811059,1.0,1.4884506636417896,0.007732184909170333,1.0813644805253613,0.025671148164453858
1450.0,0.0005832931089503283,1.0,1.3983530737715948,0.006842241585158924,0.9660378075587734,0.01670340809495775
1460.0,0.0005040191693612069,1.0,1.3617392425378216,0.0064056839429317836,0.9124685946130209,0.010772281214021762
1470.0,0.00046758642619611543,1.0,1.3460045471569941,0.008149689704310365,0.8880434545303089,0.010936195341893266
1480.0,0.000508501128263858,1.0,1.3403457212886054,0.014429557778311411,0.8785098224305086,0.017555034016972164
1490.0,0.0008905611212497791,1.0,1.3308883805862317,0.031095575837099793,0.8644191600657382,0.03728426956112729
1500.0,0.0027809864938798078,1.0,1.2817041755305925,0.06573159441553753,0.7936510229695091,0.07850942061163468
1510.0,0.01085950269167157,1.0,1.1805389175708099,0.10540515462630629,0.6217272424702702,0.12141234403915906
1520.0,0.05166759300665912,1.0,1.1283179896998359,0.13186326631983888,0.5068104648704138,0.15034676046084458
1530.0,0.17103097039840337,1.0,1.15922344838854,0.15200896574690836,0.4946706943619446,0.18990760304935753
1540.0,0.27148010383213844,1.0,1.2208382030812517,0.15606557177552946,0.44237123083677166,0.26302645956864534
1550.0,0.24204563890983344,1.0,1.2001238841577837,0.1648569851749997,0.44559959026282414,0.23476282788716898
1560.0,0.25634081712385126,1.0,1.2045797229379973,0.17117027332315204,0.4079472712758458,0.23571678019333153
1570.0,0.25510974110923873,1.0,1.198751327187498,0.16587725824162342,0.3505718535541273,0.2308097442314807
1580.0,0.23485446337000515,1.0,1.180594068208275,0.15544154966253432,0.3171722467138675,0.2112238223142415
1590.0,0.22791095025404026,1.0,1.1681115401810946,0.14828996739970796,0.2951191083878205,0.20333931958136167
1600.0,0.16314438716160082,1.0,1.1339250172206357,0.12336744653188252,0.29378138565257594,0.14570559310939626
1610.0,0.03884387618038345,1.0,1.1029634544040121,0.06248400713144126,0.42712088030635964,0.056567730224474436
1620.0,0.011664555015312583,1.0,1.1486427119136136,0.03120177623395837,0.539974205765897,0.028782230517194137
1630.0,0.006248728182751478,1.0,1.1926773639259134,0.01985702380992262,0.6284858378420739,0.020595974700003954
1640.0,0.004210075770212449,1.0,1.2215674281382674,0.01424900350539189,0.6806021454168867,0.015726672059780962
1650.0,0.0031979939336999144,1.0,1.2409511998764926,0.010870780211962586,0.7132292487607172,0.011827213349045393
1660.0,0.0026085910415897962,1.0,1.254072146920477,0.008899124788979163,0.7330796361563472,0.009633859917669666
1670.0,0.002208423283875867,1.0,1.2622070962000596,0.007628382993285454,0.7439404681633314,0.007749815929738329
1680.0,0.001910229279104937,1.0,1.2668570596083801,0.006885963482760991,0.7483232400823362,0.007178428902833948
1690.0,0.0017610247523907217,1.0,1.262897547221984,0.00821833017851592,0.7411856876982191,0.011989434950464957
1700.0,0.0020991145048806165,1.0,1.2457395866776513,0.012504401264130733,0.7148776710439353,0.017203689140394215
