time,F_I,F_C,F_P,F_V,F_B,F_CP
1210.0,0.0001376928923604,0.0011880787990803,0.0014009807226354,0.0001777904201418,0.0007205858706838,0.0006544421036515981
1220.0,0.00082156571054,0.0029447691353288,0.0036650517245953,0.0004641738302162,0.0014056133350188,0.001335376447267317
1230.0,0.0014512783622453,0.0042824333710203,0.0055384895444188,0.0006437509299155,0.0017621795352389,0.002027331961203033
1240.0,0.0012821759063604,0.0054571840155502,0.0066686901481627,0.0008328007556538,0.0024750576228086,0.002492456737288742
1250.0,0.0017957600881248,0.0078649670720814,0.0095473986287685,0.0012559879622215,0.0036821432594926,0.0035768754545677873
1260.0,0.0029862456641349,0.011472872286377,0.0139988604830405,0.0018734489838106,0.005008817014458,0.005032123665525163
1270.0,0.0036685204331365,0.0145253371296577,0.0175646455100324,0.0023505993748634,0.0058680657483119,0.006040893105381689
1280.0,0.0036039791546699,0.0155184089650435,0.0184398858288183,0.0024828267092894,0.0059671209570406,0.00615363053586467
1290.0,0.0035637993770933,0.0156671291866201,0.0183808355377181,0.0025460993443694,0.0056989316341978,0.005869615374572427
1300.0,0.0032969521492674,0.0149626396409442,0.0174915148968535,0.0023215142535894,0.004945547996275,0.005366173820881267
1310.0,0.0023988603828625,0.0116860594535419,0.0134764415485313,0.0017139737734999,0.0038006246481448,0.004166833270072224
1320.0,0.0013589160352839,0.0078368528370258,0.0090010532990394,0.0010289031170513,0.0027206131484621,0.002964493939331636
1330.0,0.0003092050523644,0.0040212336157279,0.004630258056607,0.0003670425976751,0.0018990425838169,0.0019409791634609082
1340.0,2.756284930761921e-05,0.0021505646331679,0.0027110430844542,7.424722356169303e-05,0.0015207698592102,0.0015144813536950815
1350.0,8.433125666457223e-06,0.0015333327627342,0.0020754457312595,3.0136162148257018e-05,0.0013096589929815,0.001292840046804738
1360.0,3.930723849803508e-06,0.0012078573210074,0.0017192044093066,1.6491952302047537e-05,0.0011582861126226,0.0011366243657037565
1370.0,2.3197428537311384e-06,0.0010008984065051,0.0014803260715772,1.082008617297663e-05,0.0010417103234124,0.001017635522362801
1380.0,1.5355521029235057e-06,0.0008555975904617,0.0013057215490693,7.72405484289322e-06,0.0009487549366914,0.0009238813128346137
1390.0,1.086663249849065e-06,0.0007491884646429,0.0011727157939845,5.879364794525448e-06,0.0008723767559892,0.0008475673915680675
1400.0,8.103202438237561e-07,0.0006683477297328,0.0010678470906498,4.642150374150663e-06,0.0008076944665532,0.000783542720675665
1410.0,6.269816383011102e-07,0.0006054779650386,0.0009827866248582,3.755807641362593e-06,0.0007514846081257,0.0007279931331758742
1420.0,4.99761797901086e-07,0.0005560165680157,0.0009124705832819,3.101454887275283e-06,0.0007016057469385,0.0006790605443791548
1430.0,4.160833184626404e-07,0.0005206282379622,0.0008413336865317,3.171134500568475e-06,0.0006414981604421,0.0006214502265058349
1440.0,3.575617766828931e-07,0.0004987284555753,0.0007423327006781,3.856260637973161e-06,0.0005393072372864,0.0005234457477700836
1450.0,2.739858244727392e-07,0.0004697223750265,0.0006568377269376,3.213953967885934e-06,0.0004537695733319,0.0004402274837002047
