time,kinetic_energy,two_pi_Lm
1210.0,9.0125694e-07,0.4054122608227411
1210.1,9.26742705e-07,0.40388579173996986
1210.2,9.5302437e-07,0.40239618359212176
1210.3,9.80119885e-07,0.4009429041934012
1210.4,1.008058335e-06,0.39952542261464963
1210.5,1.036854195e-06,0.39814321169662004
1210.6,1.066538005e-06,0.396795753704843
1210.7,1.09712734e-06,0.39548253718803444
1210.8,1.1286451e-06,0.3942030638895995
1210.9,1.1611142e-06,0.39295685126090674
1211.0,1.194553345e-06,0.39174343246128773
1211.1,1.228985265e-06,0.39056235447308185
1211.2,1.26443136e-06,0.3894131724467693
1211.3,1.30091037e-06,0.388295454099201
1211.4,1.338439225e-06,0.38720878599678377
1211.5,1.3770372e-06,0.38615275784751696
1211.6,1.416719295e-06,0.38512698260718564
1211.7,1.457504705e-06,0.38413106632007116
1211.8,1.49940216e-06,0.38316462257027706
1211.9,1.542427295e-06,0.38222726619854397
1212.0,1.586587795e-06,0.38131859759428643
1212.1,1.631891225e-06,0.3804382158902818
1212.2,1.67834255e-06,0.3795856925732922
1212.3,1.72594702e-06,0.3787605714840642
1212.4,1.77470054e-06,0.37796237384387754
1212.5,1.82460404e-06,0.37719057437844045
1212.6,1.87564859e-06,0.37644460634443816
1212.7,1.927824775e-06,0.3757238470782069
1212.8,1.981119865e-06,0.37502761485414066
1212.9,2.03552119e-06,0.374355161973188
1213.0,2.091010325e-06,0.3737056741345331
1213.1,2.147572625e-06,0.3730782754621441
1213.2,2.205177395e-06,0.37247203415964
1213.3,2.26381028e-06,0.3718859656518831
1213.4,2.3234409e-06,0.37131903761152746
1213.5,2.38403721e-06,0.37077018755193764
1213.6,2.445574285e-06,0.3702383291103741
1213.7,2.50802082e-06,0.3697223621010894
1213.8,2.571343235e-06,0.3692211857100178
1213.9,2.63552108e-06,0.36873370477796025
1214.0,2.700512465e-06,0.36825884550854776
1214.1,2.766287455e-06,0.36779556803461205
1214.2,2.83281944e-06,0.3673428657898668
1214.3,2.900071525e-06,0.3668997837301454
1214.4,2.96801642e-06,0.3664654120502154
1214.5,3.03662783e-06,0.3660388912103266
1214.6,3.105867455e-06,0.36561942513090073
1214.7,3.175711115e-06,0.3652062755376642
1214.8,3.246137455e-06,0.3647987588200556
1214.9,3.317113535e-06,0.36439625231441086
1215.0,3.38860826e-06,0.36399819179068954
1215.1,3.46060549e-06,0.3636040645409705
1215.2,3.533070715e-06,0.36321341817591163
1215.3,3.60598189e-06,0.36282584743006063
1215.4,3.67931834e-06,0.36244099416185493
1215.5,3.753055055e-06,0.36205854107043667
1215.6,3.827162975e-06,0.3616782154655634
1215.7,3.90162415e-06,0.3612997817277861
1215.8,3.97641603e-06,0.36092303502526374
1215.9,4.05152042e-06,0.360547803198719
1216.0,4.126909575e-06,0.36017394047825263
1216.1,4.20256206e-06,0.35980132622670685
1216.2,4.27846666e-06,0.35942985991311666
1216.3,4.354592965e-06,0.3590594617410287
1216.4,4.430919445e-06,0.3586900682502714
1216.5,4.507426505e-06,0.35832163545854756
1216.6,4.584100375e-06,0.357954130064975
1216.7,4.66091634e-06,0.35758753133504234
1216.8,4.73784669e-06,0.35722183298556415
1216.9,4.81487989e-06,0.35685703752981457
1217.0,4.8919908e-06,0.35649315250761604
1217.1,4.96916165e-06,0.356130197396843
