time,F_I,F_C,F_P,F_V,F_B,F_CP
666.0,0.0630314077,0.0110537101,0.0704637312,0.00496104163,0.0144710095,0.06244419707682011
666.1,0.0630096094,0.0110533141,0.070448967,0.00496155763,0.0144704309,0.06242882266568908
666.2,0.0629928696,0.0110529102,0.0704336073,0.00496027071,0.0144708932,0.06241279432628827
666.3,0.06298334,0.0110525013,0.0704195871,0.00495825285,0.0144701875,0.06239877499881559
666.4,0.0629728314,0.0110520893,0.0704045326,0.00495635982,0.0144704261,0.06238370497250746
666.5,0.062960664,0.0110516786,0.0703880259,0.00495463552,0.0144706281,0.06236711782908532
666.6,0.0629465616,0.01105127,0.0703697183,0.00495369758,0.014471317,0.062348578745064186
666.7,0.0629362761,0.0110508582,0.0703515852,0.00495441285,0.0144713335,0.0623307346460938
666.8,0.0629293915,0.0110504423,0.0703341741,0.00495715826,0.0144716059,0.062314136250518924
666.9,0.062920236,0.0110500258,0.0703142121,0.00496059815,0.0144719687,0.06229450409410841
667.0,0.0629068504,0.0110496099,0.0702927056,0.00496546654,0.0144725789,0.06227298546548544
667.1,0.0628910855,0.0110491924,0.0702719341,0.00497336526,0.0144728221,0.062252583555034394
667.2,0.062873089,0.0110487716,0.0702519234,0.00498313698,0.0144730606,0.06223339868088279
667.3,0.0628534815,0.011048346,0.0702327751,0.0049933041,0.0144742753,0.062215375200609956
667.4,0.0628338981,0.011047914,0.0702120775,0.00500177776,0.0144750931,0.06219535752222548
667.5,0.0628143735,0.0110474727,0.0701885928,0.00500937743,0.0144753183,0.06217209827601811
667.6,0.0627934972,0.0110470194,0.070164263,0.00501760975,0.014475472,0.06214793837726539
667.7,0.0627722381,0.0110465549,0.0701394381,0.00502536672,0.0144765199,0.06212341012934846
667.8,0.0627488598,0.0110460806,0.0701139752,0.00503154126,0.0144773652,0.062098062876400885
667.9,0.0627210115,0.011045597,0.070087662,0.00503582234,0.01447855,0.0620716527073878
668.0,0.0626931503,0.0110451009,0.0700625339,0.00503846026,0.0144791761,0.06204675112219469
668.1,0.062669627,0.0110445877,0.0700387959,0.00504128727,0.0144793983,0.06202359193260968
668.2,0.0626493727,0.0110440589,0.0700153928,0.00504468966,0.014480602,0.06200098225171141
668.3,0.0626334756,0.0110435237,0.0699924501,0.00504830309,0.0144812515,0.06197898053865172
668.4,0.0626221903,0.0110429932,0.0699709232,0.00505168684,0.0144822722,0.061959011170551734
668.5,0.062611692,0.0110424726,0.0699510666,0.00505325894,0.0144832263,0.06194119229528999
668.6,0.0625961198,0.0110419579,0.0699294787,0.00505241663,0.0144834103,0.06192118244953665
668.7,0.0625736189,0.0110414413,0.0699027978,0.00505148459,0.0144836435,0.06189536231897278
668.8,0.0625483055,0.0110409188,0.0698740149,0.00505086105,0.0144843597,0.061867065944449795
668.9,0.0625225337,0.0110403976,0.0698464875,0.00504998068,0.0144847357,0.06184040033503285
669.0,0.0624936125,0.0110398911,0.0698213493,0.00504759843,0.0144853027,0.06181652435649488
669.1,0.0624637278,0.0110394069,0.0697972332,0.00504315406,0.0144859101,0.061793847619475525
669.2,0.0624310371,0.0110389446,0.069772689,0.00503848462,0.0144854427,0.061770595218337
669.3,0.0623946243,0.0110385004,0.0697470147,0.0050344389,0.0144856553,0.06174570822978174
669.4,0.0623578117,0.011038071,0.0697217486,0.00503091564,0.0144857362,0.061720836383979225
669.5,0.0623251425,0.0110376583,0.0696970624,0.00502841011,0.0144847735,0.06169649217168125
669.6,0.0622956769,0.0110372699,0.0696744582,0.0050270703,0.0144840199,0.06167439403856714
669.7,0.0622656788,0.0110369137,0.0696523347,0.00502621526,0.0144834796,0.061652689327256434
669.8,0.0622345931,0.0110365893,0.069629836,0.00502514148,0.0144822391,0.06163050400136006
669.9,0.0622026183,0.0110362919,0.06960734,0.00502323047,0.0144813995,0.0616084715809263
670.0,0.0621709029,0.0110360215,0.0695840936,0.00502006352,0.01448069,0.061585801567631694
670.1,0.0621432827,0.011035785,0.0695630417,0.00501741531,0.0144793891,0.06156595962641097
670.2,0.0621172229,0.0110355874,0.069544867,0.0050155471,0.0144785797,0.06154950384542711
670.3,0.0620911024,0.0110354241,0.0695269346,0.00501378583,0.0144780005,0.06153316081560517
670.4,0.0620681025,0.0110352848,0.0695087808,0.00501193726,0.0144769417,0.06151638172882099
670.5,0.0620487207,0.0110351646,0.0694902956,0.00500966844,0.0144755803,0.0614987925883041
670.6,0.0620306511,0.0110350633,0.0694701604,0.00500773656,0.0144738378,0.06147872917408065
670.7,0.0620107605,0.0110349794,0.0694490449,0.00500628326,0.0144725337,0.06145709547917012
670.8,0.0619864085,0.0110349103,0.0694286385,0.00500559683,0.0144706658,0.061435978010627924
670.9,0.0619584875,0.0110348527,0.0694065956,0.00500507132,0.0144686933,0.06141269993899124
671.0,0.0619345863,0.0110348088,0.0693854777,0.0050042398,0.0144664315,0.06139047860957489
671.1,0.0619158264,0.0110347861,0.0693680165,0.00500467547,0.0144647394,0.06137288455642263
671.2,0.0618991398,0.0110347948,0.0693535536,0.00500724578,0.0144632726,0.06135910728964844
671.3,0.0618851629,0.0110348411,0.069339799,0.00501002124,0.0144614402,0.06134593398854552
671.4,0.061874062,0.0110349239,0.0693231753,0.00501161593,0.01445971,0.0613290775547974
671.5,0.0618612407,0.0110350361,0.0693039238,0.00501201356,0.0144585253,0.061308914216186325
671.6,0.0618420007,0.0110351711,0.0692833411,0.00501139251,0.0144568151,0.06128690658007332
671.7,0.0618199369,0.0110353271,0.069262241,0.00500916105,0.0144557602,0.061264047128455054
671.8,0.0618012289,0.0110355072,0.0692422771,0.0050066442,0.0144539961,0.06124240729891141
671.9,0.0617828985,0.0110357131,0.0692228932,0.00500587095,0.0144528464,0.06122136521467894
672.0,0.0617644441,0.0110359426,0.069202468,0.00500567058,0.0144511583,0.061199108067524
672.1,0.0617491519,0.0110361927,0.0691830261,0.00500464031,0.0144493032,0.06117779383013156
672.2,0.0617375774,0.0110364608,0.0691633952,0.00500301791,0.0144470667,0.061156327093551635
672.3,0.0617274306,0.0110367458,0.06914518,0.00500179712,0.0144447368,0.061136279170431886
672.4,0.0617141805,0.0110370479,0.0691274698,0.00500102591,0.0144417146,0.061116647213855686
672.5,0.0616983045,0.0110373689,0.0691101563,0.00499919947,0.0144386924,0.061097008919176986
672.6,0.0616771188,0.0110377111,0.0690920223,0.00499538541,0.0144356004,0.061075928534298184
672.7,0.0616607342,0.0110380756,0.069078218,0.00499067157,0.014431059,0.0610601196525059
672.8,0.06164821,0.0110384586,0.0690680588,0.00498534049,0.0144280129,0.06104850719056527
672.9,0.061638176,0.0110388538,0.0690616861,0.00498120787,0.0144238346,0.061041407329462206
673.0,0.0616255959,0.0110392565,0.06905814,0.00497781001,0.0144199389,0.06103746406069511
673.1,0.0616163053,0.0110396668,0.0690558468,0.00497484469,0.0144158342,0.06103454861857167
673.2,0.0616135238,0.0110400905,0.0690543203,0.00497264008,0.0144119191,0.06103238731575726
673.3,0.0616147184,0.0110405303,0.0690535559,0.00497086647,0.0144075895,0.0610310185994038
673.4,0.0616191194,0.0110409828,0.0690522373,0.00497021609,0.014403283,0.06102856678987
673.5,0.0616256747,0.0110414437,0.0690511842,0.00497191859,0.014399193,0.06102619281328981
673.6,0.0616359057,0.011041912,0.0690516611,0.00497507635,0.014394012,0.061025592979537906
673.7,0.0616473782,0.0110423857,0.0690536099,0.00497802102,0.0143896321,0.0610267665439868
673.8,0.061659831,0.0110428532,0.069054349,0.00498025217,0.0143853433,0.06102669448419659
673.9,0.0616689413,0.0110433031,0.0690533509,0.00498338226,0.0143811461,0.06102481608462303
674.0,0.0616718556,0.0110437316,0.069049353,0.00498639442,0.0143776379,0.06101945458772962
674.1,0.0616719084,0.0110441406,0.0690427078,0.00498827104,0.0143742847,0.06101099169595618
674.2,0.0616715427,0.0110445327,0.0690363053,0.00498907756,0.0143715515,0.06100293755681963
674.3,0.0616721823,0.0110449106,0.0690316468,0.00498841741,0.0143696112,0.060996868024121076
674.4,0.0616719773,0.0110452752,0.0690282047,0.00498763393,0.0143676438,0.06099204875512648
674.5,0.0616704729,0.0110456237,0.0690229414,0.00498642199,0.0143659957,0.06098479298884484
674.6,0.0616710033,0.0110459525,0.0690166499,0.0049856406,0.0143649378,0.060976385211260135
674.7,0.0616683937,0.011046259,0.069008719,0.00498598417,0.0143643583,0.06096616886249158
674.8,0.0616542052,0.0110465431,0.0689982972,0.00498505492,0.0143638464,0.06095281473006002
674.9,0.0616386532,0.0110468081,0.0689895623,0.00498122648,0.0143630259,0.060941533713626095
675.0,0.0616212397,0.0110470567,0.0689807376,0.00497408326,0.0143637424,0.060930211408578946
675.1,0.0616069228,0.0110472954,0.0689726456,0.00496567459,0.0143649898,0.06091963818974085
675.2,0.0616026236,0.0110475321,0.068968314,0.00495825883,0.0143654321,0.06091371360149079
675.3,0.0616033928,0.0110477703,0.0689659742,0.00495351148,0.0143673143,0.06091033352001511
675.4,0.0616027748,0.0110480094,0.068963357,0.00495264971,0.0143690763,0.06090652765542974
675.5,0.0615965805,0.0110482482,0.0689591541,0.00495441969,0.0143705217,0.060900682012127734
675.6,0.0615881993,0.0110484884,0.068953644,0.0049565461,0.0143721868,0.06089330859882697
675.7,0.0615792806,0.0110487335,0.0689468933,0.00495935746,0.0143732846,0.060884574865119695
675.8,0.0615682577,0.0110489852,0.0689366827,0.00496251813,0.0143751525,0.060871571191100114
675.9,0.0615571477,0.011049244,0.0689254639,0.00496571789,0.0143763794,0.06085728918878631
676.0,0.0615510791,0.0110495063,0.0689177372,0.00496874279,0.0143780443,0.0608472297499424
676.1,0.0615485274,0.0110497674,0.0689139247,0.00497168725,0.0143799758,0.06084166938576694
676.2,0.0615457602,0.0110500248,0.0689139604,0.00497412881,0.0143813501,0.060840356169348984
676.3,0.0615451046,0.0110502783,0.0689151115,0.00497561487,0.0143827866,0.06084025339742226
676.4,0.0615438821,0.0110505338,0.068915086,0.00497712564,0.0143842845,0.060838725584969985
676.5,0.061540778,0.0110507997,0.0689127524,0.00497762237,0.0143859484,0.0608343926612553
676.6,0.061541363,0.0110510775,0.0689112693,0.00497650159,0.0143870034,0.06083149535543485
676.7,0.0615467786,0.0110513661,0.0689139354,0.00497540551,0.0143884533,0.06083409875909222
676.8,0.0615506692,0.0110516666,0.0689187528,0.00497497381,0.0143902102,0.06083938838646286
676.9,0.0615522909,0.0110519819,0.0689233557,0.00497510508,0.0143921094,0.06084421198355231
677.0,0.0615530915,0.0110523132,0.068927194,0.00497536435,0.0143935389,0.06084799019678177
677.1,0.0615569282,0.0110526573,0.0689326495,0.00497530362,0.0143950181,0.06085378187400144
677.2,0.0615664637,0.011053006,0.0689413697,0.00497577554,0.014396172,0.06086347610510059
677.3,0.061576074,0.0110533524,0.0689505612,0.0049766352,0.0143974407,0.060873301139659254
677.4,0.0615852785,0.0110536918,0.0689594884,0.00497667138,0.0143986703,0.060882319119476676
677.5,0.0615979138,0.0110540176,0.0689705531,0.00497590526,0.014399123,0.060893561050041276
677.6,0.0616172275,0.0110543244,0.0689849263,0.00497528841,0.0143987869,0.060908598123915206
677.7,0.0616378962,0.0110546142,0.0690022928,0.00497592729,0.0143984545,0.06092694778751843
677.8,0.0616592605,0.0110548894,0.0690206555,0.00497666156,0.0143984594,0.06094644770711546
677.9,0.0616855337,0.0110551497,0.0690420663,0.00497831656,0.0143976662,0.06096966846361932
678.0,0.0617118384,0.0110553963,0.069066527,0.0049824464,0.0143970564,0.06099652437593234
678.1,0.0617342359,0.0110556333,0.0690925594,0.00498760778,0.0143968183,0.061025041517461284
678.2,0.0617554086,0.0110558642,0.0691188472,0.00499198735,0.0143967192,0.061053588545911634
678.3,0.0617773961,0.0110560883,0.0691443239,0.00499519035,0.0143959517,0.06108120477265778
678.4,0.0618001393,0.0110563015,0.0691697892,0.00499765105,0.0143961244,0.0611088027412563
678.5,0.0618220557,0.0110565021,0.0691946527,0.00499996996,0.0143955062,0.0611357962676912
678.6,0.0618426968,0.0110566891,0.0692174114,0.00500205712,0.0143959642,0.06116027338787884
678.7,0.0618629208,0.0110568571,0.0692371198,0.00500390856,0.0143965634,0.06118115060312171
678.8,0.061881697,0.0110570023,0.0692559247,0.00500646258,0.014396408,0.061201076395224006
678.9,0.0618984268,0.0110571244,0.0692739362,0.00500912975,0.014396589,0.061220009093916096
679.0,0.0619141919,0.0110572259,0.0692930363,0.00501137216,0.0143977797,0.06124040221301845
679.1,0.0619313422,0.0110573141,0.0693123045,0.00501203667,0.0143982173,0.06126129078337818
679.2,0.0619474666,0.0110573995,0.0693318848,0.00501195393,0.0143994635,0.061282660047268754
679.3,0.0619591069,0.0110574836,0.0693499114,0.00501161153,0.0144003114,0.06130224326505997
679.4,0.0619715696,0.0110575627,0.0693666321,0.00500983135,0.0144026201,0.06132047619759525
679.5,0.0619883894,0.0110576387,0.0693852708,0.00500783424,0.0144047123,0.06134099465581386
679.6,0.0620074645,0.0110577167,0.0694046683,0.00500662229,0.0144073723,0.06136240528992349
679.7,0.0620251098,0.0110577998,0.0694226173,0.0050053762,0.0144105297,0.061381875040145986
