Ek,time_min,time_max,samples,status,F_I,F_C,F_P,F_V,F_B,F_T
0.0002,1210.0,1700.0,50,complete strict offline,0.0009853238696013254,0.0048093887222819855,0.005774711301783655,0.0006741327287311,0.002031778255689438,0.0002583232545736159
0.002,660.2,684.2,241,partial online strict,0.06237208421161826,0.01105107999087137,0.06975167853443982,0.004991865366556016,0.01443913234813278,0.013367379083817427
