Ra,Ek,time,z,inertia,coriolis,viscous,buoyancy,drag,buoyancy_power,viscous_dissipation,drag_dissipation
8000000.0,0.00014999999999973672,,0.004922296641623997,2.6827459588255814e-07,0.0002816714023409581,0.00033445634200842094,2.4789760202904444e-06,0.0,-2.864904914506293e-11,1.2773842263983783e-07,0.0
8000000.0,0.00014999999999973672,,0.01502394259266257,1.3078114693126411e-06,0.0005808918397100608,0.00028586022529896165,7.53477703130394e-06,0.0,-2.983522929919951e-10,6.0674359911966e-08,0.0
8000000.0,0.00014999999999973672,,0.025634261457078256,2.1050493228199378e-06,0.0007240253271382986,0.00021147892630784325,1.2664849680911187e-05,0.0,-8.823255341717199e-10,3.787384843388207e-08,0.0
8000000.0,0.00014999999999973672,,0.0367421244755721,2.5109119892701054e-06,0.0007763551806929444,0.0001430161858118488,1.7644240034028677e-05,0.0,-1.6318876160622898e-09,3.16326084187347e-08,0.0
8000000.0,0.00014999999999973672,,0.04833588103373401,2.675652305557504e-06,0.00078696668545779,9.92418370632223e-05,2.233512826090088e-05,0.0,-2.4117927203031006e-09,2.983559622569963e-08,0.0
8000000.0,0.00014999999999973672,,0.06040337088192818,2.7516271900786896e-06,0.0007873047828564089,7.570596003005167e-05,2.6716234760212856e-05,0.0,-3.1870166499726615e-09,2.9587036118707496e-08,0.0
8000000.0,0.00014999999999973672,,0.07293193688971603,2.8244251199162887e-06,0.0007921286260727862,6.882736053595677e-05,3.084527002033764e-05,0.0,-3.988904608983412e-09,3.0303976905430804e-08,0.0
8000000.0,0.00014999999999973672,,0.08590843832143788,2.9268773003644843e-06,0.0008046946313064172,7.053000415445809e-05,3.481018944258987e-05,0.0,-4.86203504786852e-09,3.176869293421046e-08,0.0
8000000.0,0.00014999999999973672,,0.09931926461903035,3.0646074212847454e-06,0.000823398226007601,7.441152301232712e-05,3.869720413130216e-05,0.0,-5.8394515219098375e-09,3.3780331759298405e-08,0.0
8000000.0,0.00014999999999973672,,0.11315034967762214,3.2347589568514173e-06,0.0008461856031407787,7.817784211404006e-05,4.257865757276316e-05,0.0,-6.942637019862751e-09,3.620609927423417e-08,0.0
8000000.0,0.00014999999999973672,,0.1273871865989355,3.435166931034341e-06,0.0008720048661872044,8.161353869762864e-05,4.6512769424911315e-05,0.0,-8.18934217507467e-09,3.900852796771556e-08,0.0
8000000.0,0.00014999999999973672,,0.14201484290701943,3.666662080852586e-06,0.0009006588640508579,8.502212269009802e-05,5.0547174234837064e-05,0.0,-9.599369801349993e-09,4.221591597106113e-08,0.0
8000000.0,0.00014999999999973672,,0.15701797621035488,3.932470100980605e-06,0.000932332634627568,8.865933355004561e-05,5.472210332954656e-05,0.0,-1.1196633028541523e-08,4.588682051623266e-08,0.0
8000000.0,0.00014999999999973672,,0.17238085029390485,4.237245065936138e-06,0.0009672982452314829,9.26472580190037e-05,5.907225192202401e-05,0.0,-1.3009198321989299e-08,5.00914946780427e-08,0.0
8000000.0,0.00014999999999973672,,0.1880873516242307,4.58656207719904e-06,0.0010058183675813004,9.703046052026663e-05,6.362765864724337e-05,0.0,-1.50689470051864e-08,5.4907646555950476e-08,0.0
8000000.0,0.00014999999999973672,,0.20412100625036386,4.986828984531667e-06,0.0010481429535114163,0.00010183052249519145,6.841398285382948e-05,0.0,-1.7411466403247123e-08,6.042227844868432e-08,0.0
8000000.0,0.00014999999999973672,,0.22046499708270553,5.445397258669471e-06,0.001094524379821669,0.0001070698620560597,7.345225834714926e-05,0.0,-2.0076095707890098e-08,6.67345532041432e-08,0.0
8000000.0,0.00014999999999973672,,0.23710218153183107,5.970729592725916e-06,0.0011452257039012987,0.00011277646536668763,7.875793717426458e-05,0.0,-2.3105826039081494e-08,7.395816717166685e-08,0.0
8000000.0,0.00014999999999973672,,0.25401510948869915,6.572573413240309e-06,0.001200520963967823,0.00011898278162315862,8.433884877452155e-05,0.0,-2.654670618213169e-08,8.222327770938793e-08,0.0
8000000.0,0.00014999999999973672,,0.27118604162740667,7.26213164732384e-06,0.0012606911054579457,0.0001257245595888388,9.019149178973767e-05,0.0,-3.044630183194422e-08,9.167823630577247e-08,0.0
8000000.0,0.00014999999999973672,,0.2885969680112919,8.052226699541514e-06,0.001326017022734213,0.00013304065099125102,9.629474610954201e-05,0.0,-3.4850484025388946e-08,1.0249113208397556e-07,0.0
8000000.0,0.00014999999999973672,,0.306229626982871,8.957440774833315e-06,0.0013967688294131795,0.00014097343693538685,0.0001025995455460186,0.0,-3.979730015646695e-08,1.1485086813348876e-07,0.0
8000000.0,0.00014999999999973672,,0.32406552431779473,9.994193062228542e-06,0.001473188883314552,0.00014956959749407,0.00010901216310835692,0.0,-4.530576576274384e-08,1.2896719975563245e-07,0.0
8000000.0,0.00014999999999973672,,0.3420859526227361,1.1180677722192663e-05,0.0015554645560802245,0.0001588812304956451,0.00011536734068653619,0.0,-5.135583201145061e-08,1.450687426017928e-07,0.0
8000000.0,0.00014999999999973672,,0.3602720109568628,1.2536523492401193e-05,0.0016436844258815233,0.00016896751164850924,0.00012138525284032653,0.0,-5.785303590563522e-08,1.633972566134403e-07,0.0
8000000.0,0.00014999999999973672,,0.3786046246563139,1.408192487584568e-05,0.0017377677799786523,0.00017989719352456987,0.0001266028307778324,0.0,-6.456654959901489e-08,1.8419533694292104e-07,0.0
8000000.0,0.00014999999999973672,,0.397064565340888,1.583580552360265e-05,0.0018373512497359846,0.00019175237599153256,0.00013026490224123642,0.0,-7.102095274494821e-08,2.0768274817832466e-07,0.0
8000000.0,0.00014999999999973672,,0.4156324710819595,1.7812267483309324e-05,0.0019416069532248465,0.00020463469646003844,0.00013115436854866392,0.0,-7.630725820939616e-08,2.3401374010372938e-07,0.0
8000000.0,0.00014999999999973672,,0.43428886671046696,2.0014075935936157e-05,0.0020489512222897073,0.00021867861380343197,0.00012733908033849356,0.0,-7.875241199425292e-08,2.632034121483586e-07,0.0
8000000.0,0.00014999999999973672,,0.45301418424367706,2.2420793375377272e-05,0.0021565728452798676,0.00023408737981723095,0.00011585676538958588,0.0,-7.533895226193814e-08,2.950043601623479e-07,0.0
