Ra,Pr,Ek,AR,Nx,Ny,Nz,time,frame,field_path,inertia_bulk,coriolis_bulk,viscous_bulk,buoyancy_bulk,drag_bulk,local_Ro_force,buoyancy_power_bulk,viscous_dissipation_bulk,drag_dissipation_bulk,regime
8000000.0,0.7,0.00014999999999973672,4.0,256,256,64,,120,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1p5e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00120.h5,1.9714283785948613e-05,0.0017332350458784858,0.00023772957632066442,0.0005270859346183225,0.0,0.011374270231165605,4.915022326657999e-07,2.977698514694532e-07,0.0,geostrophic leading; VAC-like ageostrophic balance
8000000.0,0.7,0.00020000000000066313,4.0,256,256,64,,120,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-4/AR4/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00120.h5,1.3775974615601824e-05,0.0005415508112657959,6.0095434567108006e-05,0.0004284742390308313,0.0,0.02543800937792429,6.102905159019702e-08,2.4262433954658725e-08,0.0,geostrophic leading; VAC-like ageostrophic balance
8000000.0,0.7,,16.0,384,384,64,,164,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/norotating/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00164.h5,0.012034631052576229,0.0,0.00202309175113938,0.009840673737912512,0.0,inf,7.36677587561433e-05,4.817259648845624e-05,0.0,nonrotating: inertia-buoyancy-viscous
8000000.0,0.7,0.0004999999999999675,16.0,384,384,64,,80,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek5e-4/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00080.h5,0.005156748238263716,0.003589010978954289,0.0007187909315339634,0.0025708740538329593,0.0,1.4368159552875512,1.3594042720957787e-05,3.4295385720502757e-06,0.0,rotation-affected; inertia-pressure leading expected
8000000.0,0.7,0.0007000000000004278,16.0,384,384,64,,80,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek7e-4/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00080.h5,4.295408266343964e-05,0.0011048374096292147,3.253165567572962e-05,0.0010594573826603168,0.0,0.0388781935595891,1.9761035272393687e-09,6.487988936221042e-08,0.0,geostrophic leading; VAC-like ageostrophic balance
8000000.0,0.7,0.000999999999999935,16.0,384,384,64,,124,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00124.h5,0.08437369924455387,0.020306470145288094,0.003927351621008446,0.011260491804198282,0.0,4.155015551244484,0.00020253667522485423,0.00012917881050470952,0.0,rotation-affected; inertia-pressure leading expected
8000000.0,0.7,0.002000000000006631,16.0,384,384,64,,66,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek2e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N385x385x65/run/movie/field00066.h5,0.06445242591068696,0.011422758718402957,0.00379298063160395,0.013369158047176038,0.0,5.642457089358726,0.00019614299793720898,0.00010149408879661534,0.0,rotation-affected; inertia-pressure leading expected
8000000.0,0.7,0.003000000000000819,16.0,384,384,64,,307,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek3e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti3/run/movie/field00307.h5,0.04414101354199211,0.008182786670508332,0.003254096136637327,0.01491284937025208,0.0,5.394374229635145,0.00016675597622460158,7.081577270066838e-05,0.0,rotation-affected; inertia-pressure leading expected
8000000.0,0.7,0.004999999999999675,16.0,384,384,64,,240,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek5e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti2/conti1/run/movie/field00240.h5,0.04634427525945874,0.00442491476759159,0.0032170561067107863,0.012670288681987545,0.0,10.473484280169126,0.0001458742147280644,6.412983217579948e-05,0.0,buoyancy/inertia dominated; nonrotating-like
8000000.0,0.7,0.007000000000004278,16.0,384,384,64,,220,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek7e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti2/conti1/run/movie/field00220.h5,0.021561760021528504,0.0031888447021067843,0.002622361154038101,0.013950778418118166,0.0,6.761621225167606,0.00010765722616970569,5.033288284233353e-05,0.0,rotation-affected; inertia-pressure leading expected
8000000.0,0.7,0.00999999999999935,16.0,384,384,64,,239,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-2/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti2/conti1/run/movie/field00239.h5,0.028320367397661014,0.002145338937697824,0.002554421612562727,0.011972152228188534,0.0,13.200882573851835,0.00010095575935502713,4.509052327664755e-05,0.0,buoyancy/inertia dominated; nonrotating-like
8000000.0,0.7,0.03000000000000819,16.0,384,384,64,,240,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek3e-2/AR16/Beta1p02/qbot0p5_qtop0p004978/N385x385x65/conti2/conti1/run/movie/field00240.h5,0.026245430379744285,0.0005353505088932679,0.002145757939035214,0.008334075892516578,0.0,49.02476030890782,7.059080167168275e-05,4.409928069896197e-05,0.0,buoyancy/inertia dominated; nonrotating-like
8000000.0,0.7,0.04999999999999675,16.0,384,384,64,,125,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek5e-2/AR16/Beta1p02/qbot0p5_qtop0p004978/N385x385x65/run/movie/field00125.h5,0.020180937758485316,0.0003180648471413825,0.001908978268168864,0.0076022820578010835,0.0,63.44912976036839,6.458411266977954e-05,4.422784421060919e-05,0.0,buoyancy/inertia dominated; nonrotating-like
8000000.0,0.7,0.0999999999999935,16.0,384,384,64,,197,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-1/AR16/Beta1p02/qbot0p5_qtop0p004978/N385x385x65/conti1/run/movie/field00197.h5,0.015575916807069455,0.00015621269830117998,0.0021328399549079033,0.009117392357377652,0.0,99.70967134207552,7.582947461708363e-05,4.9429916855453095e-05,0.0,buoyancy/inertia dominated; nonrotating-like
