Ra,Ek,selection,time_window,sample_count,two_pi_Lm_mean,two_pi_Lm_std,low_center,high_center,cluster_separation_ratio
8000000.0,0.0002,intermittent low valley,353.3-432.6; 622.9-732.1; 939.4-1029.8,2792,0.35109185456875586,0.01787978155094113,0.5072554437454196,2.18178581654563,4.301158013083089
8000000.0,0.0005,intermittent low valley,390.5-429.0; 451.8-488.5,754,0.6208668605425574,0.06313586984729666,0.921111476600967,2.8740322542294683,3.1201785313055246
8000000.0,0.0007,intermittent low valley,447.9-469.6; 491.1-523.1; 580.6-684.6,1580,0.7334138652657486,0.14508513803468046,0.8806498267442611,3.2919642562101816,3.7381081063519717
8000000.0,0.001,late statistical steady,740.0-1240.0,5001,0.873755425322274,0.004870011166277658,,,
8000000.0,0.003,late statistical steady,2576.4-3076.4,5001,1.9817489612324324,0.026642200904047196,,,
8000000.0,0.005,late statistical steady,1900.0-2400.0,5001,2.471496964093327,0.08062305464820768,,,
8000000.0,0.007,late statistical steady,1700.0-2200.0,5001,3.2312495390266536,0.06494061015118881,,,
8000000.0,0.01,late statistical steady,1390.0-2390.0,10001,3.363415431766729,0.17906242678410095,,,
