time,frame,F_P_3d_bulk
1210.0,121,0.0018990096258811682
1220.0,122,0.001899858360158489
1230.0,123,0.0019006645662244012
1240.0,124,0.001901457744461523
1250.0,125,0.00190224497921183
1260.0,126,0.0019030273831130726
1270.0,127,0.0019038205334941886
1280.0,128,0.0019046149839690837
1290.0,129,0.0019053999780288444
1300.0,130,0.001906196182010431
1310.0,131,0.0019069998643258712
1320.0,132,0.001907806563032516
1330.0,133,0.0019085919001347752
1340.0,134,0.0019093587770738646
1350.0,135,0.0019100890912338065
1360.0,136,0.0019108020662234075
1370.0,137,0.001911459876556039
1380.0,138,0.00191209297043083
1390.0,139,0.001912688851053751
1400.0,140,0.0019132547165869823
1410.0,141,0.0019137529566391777
1420.0,142,0.0019142216724569558
1430.0,143,0.0019146585978458005
1440.0,144,0.0019150464050344835
1450.0,145,0.0019153887069776688
1460.0,146,0.0019157071560166295
1470.0,147,0.0019159924246881254
1480.0,148,0.0019162618013641647
1490.0,149,0.0019165110794555145
1500.0,150,0.0019167626073260447
1510.0,151,0.0019169889831741004
1520.0,152,0.0019172131228137046
1530.0,153,0.001917447787647298
1540.0,154,0.001917671873582613
1550.0,155,0.001917900239377885
1560.0,156,0.0019181417924841436
1570.0,157,0.0019183835763035763
1580.0,158,0.0019186183638674834
1590.0,159,0.0019188508926388948
1600.0,160,0.0019190954562341973
1610.0,161,0.001919329682302107
1620.0,162,0.0019195723009743282
1630.0,163,0.0019198133448056981
1640.0,164,0.0019200536798414508
1650.0,165,0.0019202902852845395
1660.0,166,0.0019205236927758967
1670.0,167,0.0019207594466053562
1680.0,168,0.0019209881154386805
1690.0,169,0.001921212287783349
1700.0,170,0.0019214469498795518
