Ra,Pr,Ek,AR,Nx,Ny,Nz,time,frame,field_path,inertia_bulk,coriolis_bulk,viscous_bulk,buoyancy_bulk,drag_bulk,local_Ro_force,buoyancy_power_bulk,viscous_dissipation_bulk,drag_dissipation_bulk,regime
8000000.0,0.7,0.000999999999999935,16.0,384,384,64,10.0,1,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00001.h5,2.4606698894391145e-08,6.204313800894467e-06,4.13877075649765e-06,1.8535837548057782e-05,0.0,0.003966062917520973,1.2288044926546005e-09,2.0735101470382486e-10,0.0,geostrophic leading; VAC-like ageostrophic balance
8000000.0,0.7,0.000999999999999935,16.0,384,384,64,110.0,11,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00011.h5,0.049620199704315554,0.014315247471176382,0.003989882584598439,0.008696844711651745,0.0,3.4662481248909853,0.0001683735483297063,0.00010634432506613423,0.0,rotation-affected; inertia-pressure leading expected
8000000.0,0.7,0.000999999999999935,16.0,384,384,64,210.0,21,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00021.h5,0.07041420216913906,0.01770150245997927,0.003912351364960302,0.009775801813053356,0.0,3.9778658522538497,0.0001736022109375572,0.00011960482802812606,0.0,rotation-affected; inertia-pressure leading expected
8000000.0,0.7,0.000999999999999935,16.0,384,384,64,310.0,31,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00031.h5,0.07714509244656038,0.01895661183959358,0.003974561362044727,0.01055337042476124,0.0,4.069561222192243,0.00018860828696511692,0.00012671114247064428,0.0,rotation-affected; inertia-pressure leading expected
8000000.0,0.7,0.000999999999999935,16.0,384,384,64,410.0,41,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00041.h5,0.0803721695225152,0.019528506092841503,0.003953740183616816,0.010771370927909954,0.0,4.115633276832013,0.00019471949111162087,0.00012944599709288935,0.0,rotation-affected; inertia-pressure leading expected
8000000.0,0.7,0.000999999999999935,16.0,384,384,64,510.0,51,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00051.h5,0.08063747896823432,0.019752400930696214,0.003956232015530618,0.010888842398402673,0.0,4.082414044305858,0.00019653992067468194,0.00012921660692949262,0.0,rotation-affected; inertia-pressure leading expected
8000000.0,0.7,0.000999999999999935,16.0,384,384,64,610.0,61,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00061.h5,0.08332814459706188,0.019984170794558023,0.003978135650324188,0.010939778311245017,0.0,4.169707387596654,0.00019925541025909386,0.0001315950728400059,0.0,rotation-affected; inertia-pressure leading expected
8000000.0,0.7,0.000999999999999935,16.0,384,384,64,710.0,71,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00071.h5,0.08246378239736567,0.019925115177567322,0.003976336220131517,0.010922695012051406,0.0,4.1386853557668495,0.00019732622111897234,0.00012975017005786838,0.0,rotation-affected; inertia-pressure leading expected
8000000.0,0.7,0.000999999999999935,16.0,384,384,64,810.0,81,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00081.h5,0.08396249303847311,0.020115685550686012,0.003952059000384473,0.01103098187474523,0.0,4.173981186319037,0.00019968948135116966,0.0001305662069455707,0.0,rotation-affected; inertia-pressure leading expected
8000000.0,0.7,0.000999999999999935,16.0,384,384,64,910.0,91,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00091.h5,0.08339704513056907,0.02016063068763543,0.003953359427249177,0.01111757068295419,0.0,4.136628780255208,0.00020025524733791636,0.0001293989874696707,0.0,rotation-affected; inertia-pressure leading expected
8000000.0,0.7,0.000999999999999935,16.0,384,384,64,1010.0,101,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/Ek1e-3/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00101.h5,0.08495912097085494,0.020304808915851076,0.003949874096678059,0.011147420075707291,0.0,4.184187170780566,0.00020096934184464925,0.00013063782276042437,0.0,rotation-affected; inertia-pressure leading expected
