Ra,Pr,Ek,AR,Nx,Ny,Nz,time,frame,field_path,inertia_bulk,coriolis_bulk,viscous_bulk,buoyancy_bulk,drag_bulk,local_Ro_force,buoyancy_power_bulk,viscous_dissipation_bulk,drag_dissipation_bulk,regime
8000000.0,0.7,,16.0,384,384,64,10.0,1,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/norotating/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00001.h5,2.7581369489732317e-08,0.0,4.229597693104643e-06,1.9640100682770052e-05,0.0,inf,1.4036263674235065e-09,2.2647974588711474e-10,0.0,nonrotating: inertia-buoyancy-viscous
8000000.0,0.7,,16.0,384,384,64,110.0,11,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/norotating/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00011.h5,0.008594350108731268,0.0,0.0019273114733162583,0.0056767007542651345,0.0,inf,5.012687501437272e-05,3.768909758028849e-05,0.0,nonrotating: inertia-buoyancy-viscous
8000000.0,0.7,,16.0,384,384,64,210.0,21,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/norotating/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00021.h5,0.004611137448615376,0.0,0.0010689976698907556,0.004049533946335418,0.0,inf,2.222153177067436e-05,1.7159207948240847e-05,0.0,nonrotating: inertia-buoyancy-viscous
8000000.0,0.7,,16.0,384,384,64,310.0,31,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/norotating/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00031.h5,0.008122242583650985,0.0,0.001460933494849801,0.005821937253289146,0.0,inf,3.107286537828071e-05,2.825275573848712e-05,0.0,nonrotating: inertia-buoyancy-viscous
8000000.0,0.7,,16.0,384,384,64,410.0,41,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/norotating/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00041.h5,0.008260734922041147,0.0,0.0014747474623877743,0.007011610739119342,0.0,inf,4.7955483726109506e-05,2.8132810900049234e-05,0.0,nonrotating: inertia-buoyancy-viscous
8000000.0,0.7,,16.0,384,384,64,510.0,51,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/norotating/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00051.h5,0.012755108063924442,0.0,0.0021101181229605075,0.009469669258087435,0.0,inf,6.748611589556693e-05,4.963858987565505e-05,0.0,nonrotating: inertia-buoyancy-viscous
8000000.0,0.7,,16.0,384,384,64,610.0,61,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/norotating/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00061.h5,0.01194689679744799,0.0,0.0019994865912109417,0.009323956978234993,0.0,inf,5.3048336262143724e-05,5.0687120606833485e-05,0.0,nonrotating: inertia-buoyancy-viscous
8000000.0,0.7,,16.0,384,384,64,710.0,71,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/norotating/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00071.h5,0.014997407398923282,0.0,0.0023984814979242067,0.010968895880689817,0.0,inf,7.09492882205179e-05,5.944989907715508e-05,0.0,nonrotating: inertia-buoyancy-viscous
8000000.0,0.7,,16.0,384,384,64,810.0,81,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/norotating/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/run/movie/field00081.h5,0.01181443430677472,0.0,0.0019221387404250584,0.00994241630708774,0.0,inf,7.073551745493591e-05,5.330793850058026e-05,0.0,nonrotating: inertia-buoyancy-viscous
8000000.0,0.7,,16.0,384,384,64,910.0,91,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra8e6/norotating/AR16/Beta1p02/qbot0p5_qtop0p004978/N257x257x65/conti1/run/movie/field00091.h5,0.014173059339984825,0.0,0.0021477765047030715,0.009899526800354885,0.0,inf,6.163520915054332e-05,5.733262114239507e-05,0.0,nonrotating: inertia-buoyancy-viscous
