quantity,mean,standard_deviation,time_start,time_end,n_samples
F_I,0.012862036181125754,0.0008442565965525147,1450.0,1640.0,11
F_V,0.002092515132349182,9.648126103169826e-05,1450.0,1640.0,11
F_B,0.009429334767285183,0.0006341373253798037,1450.0,1640.0,11
