Ek,time,F_P_h
0.0002,1216.5,0.00290541598
0.0002,1216.6,0.00293094895
0.0002,1216.7,0.0029565571
0.0002,1216.8,0.00298201392
0.0002,1216.9,0.00300759719
0.0002,1217.0,0.00303311233
0.0002,1217.1,0.00305891926
0.0002,1217.2,0.00308433545
0.0002,1217.3,0.00310983191
0.0002,1217.4,0.00313540159
0.0002,1217.5,0.00316093902
0.0002,1217.6,0.00318640129
0.0002,1217.7,0.003211925
0.0002,1217.8,0.00323750816
0.0002,1217.9,0.00326288878
0.0002,1218.0,0.00328826222
0.0002,1218.1,0.0033136384
0.0002,1218.2,0.00333891196
0.0002,1218.3,0.00336421369
0.0002,1218.4,0.00338944844
0.0002,1218.5,0.00341466956
0.0002,1218.6,0.003439728
0.0002,1218.7,0.00346488031
0.0002,1218.8,0.00348972501
0.0002,1218.9,0.00351478292
0.0002,1219.0,0.00353963942
0.0002,1219.1,0.00356449117
0.0002,1219.2,0.00358923037
0.0002,1219.3,0.00361396915
0.0002,1219.4,0.00363842918
0.0002,1219.5,0.00366292954
0.0002,1219.6,0.00368741103
0.0002,1219.7,0.00371176533
0.0002,1219.8,0.00373575582
0.0002,1219.9,0.00375993458
0.0002,1220.0,0.00378396895
0.0002,1220.1,0.00380788223
0.0002,1220.2,0.00383166785
0.0002,1220.3,0.00385535001
0.0002,1220.4,0.00387885298
0.0002,1220.5,0.00390239145
0.0002,1220.6,0.00392573334
0.0002,1220.7,0.00394891958
0.0002,1220.8,0.00397195713
0.0002,1220.9,0.00399501734
0.0002,1221.0,0.00401783141
0.0002,1221.1,0.00404056062
0.0002,1221.2,0.00406310157
0.0002,1221.3,0.00408541911
0.0002,1221.4,0.00410789212
0.0002,1221.5,0.00412994277
0.0002,1221.6,0.0041519096
0.0002,1221.7,0.00417379343
0.0002,1221.8,0.0041955058
0.0002,1221.9,0.00421707724
0.0002,1222.0,0.00423855362
0.0002,1222.1,0.00425991295
0.0002,1222.2,0.00428100216
0.0002,1222.3,0.00430191427
0.0002,1222.4,0.00432271403
0.0002,1222.5,0.0043434016
0.0002,1222.6,0.00436367785
0.0002,1222.7,0.00438426302
0.0002,1222.8,0.0044044496
0.0002,1222.9,0.00442443376
0.0002,1223.0,0.00444417347
0.0002,1223.1,0.00446380495
0.0002,1223.2,0.00448334527
0.0002,1223.3,0.00450267604
