case,Ek,t_first,t_last,nframes,matrix_dk,matrix_kmax_edge,max_abs_T_exchange,positive_upscale_transfer,positive_downscale_transfer,upscale_to_downscale_positive_ratio,mean_matrix_antisymmetry_relative_error,max_abs_2D_self_net,max_abs_3D_to_2D_forcing,3D_forcing_to_2D_self_net_ratio
Ek1p5e-4,0.00015,1110.0,1200.0,10,1.5707963267948966,59.690260418206066,8.558876129266878e-12,6.578866577892919e-12,3.605119937583614e-11,0.18248676026857802,0.0013809790164888737,1.2679564567489667e-11,1.6105900012256837e-11,1.2702250086373057
Ek2e-4,0.0002,510.0,600.0,10,1.5707963267948966,59.690260418206066,9.54218762797053e-12,8.13522613640237e-12,4.982283624211169e-11,0.16328307960770494,0.00047119332506396144,8.23434220938849e-12,3.6998135396806405e-12,0.44931500848510414
Ek3e-3,0.003,1530.0,1620.0,10,1.5707963267948966,59.690260418206066,1.2682774886728286e-06,7.773352783728113e-07,1.3366285038057426e-05,0.05815641939099216,0.009718921193159863,1.1381007148619731e-06,2.1163871220634535e-05,18.595780623159747
Ek5e-3,0.005,1530.0,1620.0,10,1.5707963267948966,59.690260418206066,9.260922441943077e-07,5.6965324385507966e-08,1.0723635187529162e-05,0.0053121281533107965,0.006131778513050195,6.931797938700931e-07,2.0140093638422845e-05,29.05464616326835
Ek7e-3,0.007,1540.0,1630.0,10,1.5707963267948966,59.690260418206066,7.433867896243254e-07,1.0901699494683337e-07,8.006168746906737e-06,0.01361662467943274,0.014217568139362233,5.274896613954042e-07,1.7368689970421868e-05,32.92707183013842
Ek1e-2,0.01,1530.0,1620.0,10,1.5707963267948966,59.690260418206066,1.1838285153547833e-06,1.0856133235174798e-07,9.786332073063679e-06,0.011093158452139271,0.007754388668456699,8.873128858995505e-07,1.6775487266347257e-05,18.905943476004417
Ek3e-2,0.03,1540.0,1630.0,10,1.5707963267948966,59.690260418206066,2.7508455321026364e-07,4.148892002946924e-07,2.6640213980329646e-06,0.1557379383667993,0.03657566311043684,2.2180092675323954e-07,6.048909015265436e-06,27.271793241851675
