case,Ek,k_h,E_m,T_m,P_m,D_m,dE_m_dt,closure_residual
Ek1e-2,0.00999999999999935,0.0,1.0678002441333848e-33,-7.950572724060544e-22,-2.578251884539985e-39,-8.781233251287962e-33,6.716439653472673e-36,-7.950572724148423e-22
Ek1e-2,0.00999999999999935,0.39269908169872414,0.0003262349972709848,1.646908329516019e-05,7.571092020299472e-06,-2.3155184872132564e-05,1.5013671461056476e-06,-6.163767027785488e-07
Ek1e-2,0.00999999999999935,0.7853981633974483,0.0014899913122389393,5.436799249287141e-06,8.231416085018847e-05,-9.202039312186349e-05,-2.404592700945071e-06,-1.8648403214428097e-06
Ek1e-2,0.00999999999999935,1.1780972450961724,0.0002498671717132769,1.5395332899079895e-05,1.0521867725559552e-05,-2.644095032172903e-05,-1.9160921740402855e-07,-3.3214047968554426e-07
Ek1e-2,0.00999999999999935,1.5707963267948966,0.0002075015011931538,7.126555092828204e-06,1.3627765748703072e-05,-2.0931339275814555e-05,-3.539712602658724e-07,1.769528259825959e-07
Ek1e-2,0.00999999999999935,1.9634954084936207,0.0003173027780297755,-1.9967229073160187e-05,3.7717386786382306e-05,-1.7413035761676536e-05,-5.441583867081645e-07,8.812803382537437e-07
Ek1e-2,0.00999999999999935,2.356194490192345,0.00020219285491292695,-2.0543129195473716e-05,2.897425394093192e-05,-9.352118947437482e-06,-5.562214403769616e-07,-3.6477276160232435e-07
Ek1e-2,0.00999999999999935,2.748893571891069,0.00020327198232936622,-1.5862881536547262e-05,2.6289231194229815e-05,-1.03190797345711e-05,-6.060015943767761e-09,1.1332993905522213e-07
Ek1e-2,0.00999999999999935,3.141592653589793,0.00016115295701956718,-4.660101656448948e-06,1.4721197534344805e-05,-9.557347038382808e-06,-1.3209122540160918e-08,5.169579620532069e-07
Ek1e-2,0.00999999999999935,3.5342917352885173,0.00012131798985778769,-3.4379291223847458e-06,1.1323440944868836e-05,-7.72983678565919e-06,-1.358617078518783e-07,2.915367446767771e-07
Ek1e-2,0.00999999999999935,3.9269908169872414,0.00011327186008587307,-7.396263209187945e-06,1.5140114663123733e-05,-7.390500560581232e-06,2.552380881663617e-07,9.811280518819477e-08
Ek1e-2,0.00999999999999935,4.319689898685965,9.163152384660127e-05,-7.256215284601815e-06,1.3555212449466573e-05,-6.307729171819534e-06,-2.0230544042516172e-07,1.9357343347038632e-07
Ek1e-2,0.00999999999999935,4.71238898038469,8.499986681656628e-05,-4.506743015883732e-06,1.1634318846807546e-05,-6.648675583688924e-06,1.1345669786481571e-07,3.6544354937007704e-07
Ek1e-2,0.00999999999999935,5.105088062083414,7.356445760392405e-05,-4.978284584658621e-06,1.1622226707790133e-05,-6.6971839617634644e-06,-1.0150595053948787e-07,4.826411190753341e-08
Ek1e-2,0.00999999999999935,5.497787143782138,5.656071685531892e-05,-4.214899017692528e-06,9.696555352076929e-06,-5.4706177145486955e-06,-2.51351106368026e-09,1.3552130899388368e-08
Ek1e-2,0.00999999999999935,5.890486225480862,4.663946803607548e-05,-1.981009043219867e-06,7.11619785066602e-06,-5.1713569430823845e-06,-1.8497931586739542e-07,1.4881118023116282e-07
Ek1e-2,0.00999999999999935,6.283185307179586,4.053053630116272e-05,-6.37845595109264e-07,5.417719158138816e-06,-4.649680828529427e-06,-1.1407381004363778e-08,1.416001155044886e-07
Ek1e-2,0.00999999999999935,6.675884388878311,4.1135354411295625e-05,-7.990789839726309e-07,5.725296418161677e-06,-5.016342774643001e-06,-9.990887758464291e-08,9.783537130688083e-09
Ek1e-2,0.00999999999999935,7.0685834705770345,3.5433702501618005e-05,-1.071254681651819e-06,5.547457893715726e-06,-4.62831817173909e-06,-2.8907789660749076e-08,-1.2320717001443395e-07
Ek1e-2,0.00999999999999935,7.461282552275758,2.9238164955830625e-05,6.16860280301492e-08,4.11337386424263e-06,-4.1592479320039825e-06,-5.807647212151698e-08,7.388843239031282e-08
Ek1e-2,0.00999999999999935,7.853981633974483,2.4776290863215737e-05,7.172901679951114e-07,3.293041128171894e-06,-3.7441725002773964e-06,-2.8105852943353275e-08,2.942646488329626e-07
Ek1e-2,0.00999999999999935,8.246680715673207,2.549461877960411e-05,5.945053486464768e-07,3.7643627038809276e-06,-4.071694669741374e-06,1.1719560636344786e-08,2.7545382214968633e-07
Ek1e-2,0.00999999999999935,8.63937979737193,1.9612133245721248e-05,5.744504049182676e-07,2.9494175052158676e-06,-3.352262348700343e-06,-2.99452713670144e-08,2.0155083280080658e-07
Ek1e-2,0.00999999999999935,9.032078879070655,1.684545658328043e-05,7.83106449470608e-07,2.1998971279286308e-06,-3.110985086156879e-06,-6.091168117294603e-08,-6.706982758469416e-08
Ek1e-2,0.00999999999999935,9.42477796076938,1.5124739985956973e-05,1.1561381780596024e-06,2.166494048726026e-06,-2.9986387242487336e-06,2.9539672385001263e-09,3.210395352983948e-07
Ek1e-2,0.00999999999999935,9.817477042468104,1.4867581745439983e-05,1.2172986751076894e-06,2.027405825516071e-06,-3.06554334201112e-06,-1.6259888931199798e-08,1.9542104754384076e-07
Ek1e-2,0.00999999999999935,10.210176124166829,1.3305362946692995e-05,1.1992729003079806e-06,1.8079313755136663e-06,-2.955378978153959e-06,-1.4347382540718942e-08,6.61726802084069e-08
Ek1e-2,0.00999999999999935,10.602875205865551,1.092516260129379e-05,1.1324706656449853e-06,1.4886892421846576e-06,-2.5365082351238943e-06,-1.1371160299287028e-08,9.602283300503512e-08
Ek1e-2,0.00999999999999935,10.995574287564276,1.0139376692775858e-05,1.0585367989754275e-06,1.4833546425358522e-06,-2.445652815613615e-06,-1.0213002946028805e-08,1.0645162884369384e-07
Ek1e-2,0.00999999999999935,11.388273369263,9.991145437039763e-06,1.1015071778351805e-06,1.5347361142653966e-06,-2.546000891750331e-06,-1.9479502121990013e-09,9.219035056244508e-08
Ek1e-2,0.00999999999999935,11.780972450961723,8.226175597091206e-06,1.0762167781458833e-06,1.1839190115565352e-06,-2.2421490302021477e-06,3.3510321924295496e-09,1.4635727307840829e-08
Ek1e-2,0.00999999999999935,12.173671532660448,7.952013205759595e-06,1.135511327369985e-06,1.1657298710361846e-06,-2.2558145148425894e-06,6.954435331952926e-09,3.847224823162758e-08
Ek1e-2,0.00999999999999935,12.566370614359172,6.8780143935089e-06,1.068868310448586e-06,1.0139064466824341e-06,-2.071825423575255e-06,1.4808655295967714e-09,9.468468026168536e-09
Ek1e-2,0.00999999999999935,12.959069696057897,6.247539021320399e-06,9.880674113691996e-07,9.261689567579905e-07,-1.949342844063303e-06,3.156285445485328e-09,-3.826276138159795e-08
Ek1e-2,0.00999999999999935,13.351768777756622,6.248102393710166e-06,1.098095053539849e-06,9.307664489192732e-07,-2.0324447115989098e-06,5.0289523247197644e-09,-8.612161464507971e-09
Ek1e-2,0.00999999999999935,13.744467859455344,4.918976885365538e-06,1.1166206295940558e-06,6.900335722113818e-07,-1.6835168281028682e-06,2.204328223300893e-09,1.2093304547926833e-07
Ek1e-2,0.00999999999999935,14.137166941154069,4.925498431249256e-06,1.1668608153108484e-06,7.397635920475363e-07,-1.748229506604606e-06,3.6399459093248666e-09,1.5475495484445395e-07
Ek1e-2,0.00999999999999935,14.529866022852794,4.2654616197860015e-06,1.0210782459522897e-06,6.666245730043372e-07,-1.5964668366999538e-06,3.1326251721687426e-09,8.810335708450442e-08
Ek1e-2,0.00999999999999935,14.922565104551516,4.287912234256324e-06,1.1909789249131247e-06,5.86901867773595e-07,-1.6665680393962256e-06,9.045642364253308e-10,1.1040818905406895e-07
Ek1e-2,0.00999999999999935,15.315264186250241,3.6221405141099248e-06,9.610975696196967e-07,5.652709918112335e-07,-1.4750168747489098e-06,4.9157634606154436e-09,4.643592322140503e-08
Ek1e-2,0.00999999999999935,15.707963267948966,3.0735457067951165e-06,9.424085391958834e-07,4.6542246139142237e-07,-1.3089379348831564e-06,3.1902684948150296e-09,9.5702797209334e-08
Ek1e-2,0.00999999999999935,16.10066234964769,3.141566313760885e-06,1.0380476816291247e-06,4.857285282085306e-07,-1.4039400004845156e-06,-1.0852909573324724e-09,1.209215003104722e-07
Ek1e-2,0.00999999999999935,16.493361431346415,2.7243626946374856e-06,9.411270502471046e-07,4.189510943598614e-07,-1.2754418604268221e-06,4.1713504214476275e-10,8.421914913799893e-08
Ek1e-2,0.00999999999999935,16.886060513045138,2.6959901198349106e-06,1.0229178942502064e-06,3.9460662274462194e-07,-1.3130928226498617e-06,7.509380737641914e-10,1.0368075627120268e-07
Ek1e-2,0.00999999999999935,17.27875959474386,2.261835574974911e-06,8.499166869835214e-07,3.3840448490544225e-07,-1.1652792403010285e-06,7.014106048086675e-11,2.2971790527454432e-08
Ek1e-2,0.00999999999999935,17.671458676442587,2.0519241921307403e-06,8.129543440247687e-07,3.0716705377751073e-07,-1.0882688421410239e-06,-3.2514630679348875e-10,3.2177701968049047e-08
Ek1e-2,0.00999999999999935,18.06415775814131,2.021892331706634e-06,8.726216628913268e-07,2.874204543081536e-07,-1.110484864477882e-06,1.1448681692781687e-10,4.944276590467042e-08
Ek1e-2,0.00999999999999935,18.456856839840036,1.8322634903037226e-06,8.417027332858032e-07,2.487700081804732e-07,-1.0327596886382692e-06,2.253008884041027e-09,5.5460043943966305e-08
Ek1e-2,0.00999999999999935,18.84955592153876,1.748704103525493e-06,8.357749810383458e-07,2.544843739422935e-07,-1.03301277772944e-06,3.5620463336205845e-10,5.6890372617837354e-08
Ek1e-2,0.00999999999999935,19.24225500323748,1.563774590460079e-06,7.711382787981767e-07,2.4747025918268665e-07,-9.56202877215891e-07,2.267313230208275e-09,6.013834753476415e-08
Ek1e-2,0.00999999999999935,19.634954084936208,1.5545669781238366e-06,8.361946342437361e-07,2.323652381240474e-07,-9.873032940881473e-07,2.2169417674970915e-09,7.903963651213898e-08
Ek1e-2,0.00999999999999935,20.02765316663493,1.3860116602089256e-06,7.903080527705926e-07,2.1971851974925804e-07,-9.177910305890931e-07,5.616141272107685e-10,9.167392780354684e-08
Ek1e-2,0.00999999999999935,20.420352248333657,1.2275050038907754e-06,7.509764080379621e-07,1.9271522310845177e-07,-8.448124186569273e-07,1.3426988027655476e-10,9.874494260921001e-08
Ek1e-2,0.00999999999999935,20.81305133003238,1.2450106694041503e-06,7.943973702890915e-07,2.0873743931378e-07,-8.801960517389403e-07,-7.312683753975418e-10,1.2367002623932838e-07
Ek1e-2,0.00999999999999935,21.205750411731103,1.0790616620707317e-06,7.24669051864724e-07,1.8148654934587663e-07,-8.013909143043371e-07,-1.467520474665058e-10,1.0491143895373008e-07
Ek1e-2,0.00999999999999935,21.59844949342983,1.1654568075144175e-06,8.19074044010972e-07,2.0959289524434858e-07,-8.993661366230382e-07,4.43214601967686e-10,1.288575880303147e-07
Ek1e-2,0.00999999999999935,21.991148575128552,1.0002881046745851e-06,6.877553800448255e-07,1.8425208217509024e-07,-7.952159584539388e-07,6.206349800311977e-10,7.617086878594582e-08
Ek1e-2,0.00999999999999935,22.383847656827275,9.750472169806979e-07,6.671174264758696e-07,1.850587871091637e-07,-7.992326692594617e-07,5.311996667641507e-10,5.241234465880761e-08
Ek1e-2,0.00999999999999935,22.776546738526,9.085003341505497e-07,6.427722227795757e-07,1.733749878245859e-07,-7.695258770014007e-07,-3.1013454388917866e-10,4.693146814664999e-08
Ek1e-2,0.00999999999999935,23.169245820224724,8.577079549173781e-07,6.323951472436671e-07,1.7119546864449686e-07,-7.461566313187895e-07,-2.3855980655471096e-11,5.7457840550030174e-08
Ek1e-2,0.00999999999999935,23.561944901923447,8.466055600635746e-07,6.693198795111798e-07,1.715397253940778e-07,-7.521763430363168e-07,-9.45256958039084e-10,8.962851882698005e-08
Ek1e-2,0.00999999999999935,23.954643983622173,7.879559697054263e-07,6.185639425895161e-07,1.615181354379932e-07,-7.22919099783528e-07,-8.297167858758806e-10,5.799269502985739e-08
Ek1e-2,0.00999999999999935,24.347343065320896,7.464584587597831e-07,6.275939161047228e-07,1.5453522276896566e-07,-6.99141028060018e-07,4.008467932273841e-12,8.298410234573823e-08
Ek1e-2,0.00999999999999935,24.740042147019622,7.095773973008054e-07,5.894803715318696e-07,1.486346749136456e-07,-6.823670404774634e-07,3.8184765508429987e-10,5.536615831296755e-08
Ek1e-2,0.00999999999999935,25.132741228718345,6.447435674795205e-07,5.661933399492445e-07,1.4002933543230975e-07,-6.375533781802712e-07,7.371599882903274e-10,6.793213721299264e-08
Ek1e-2,0.00999999999999935,25.525440310417068,6.69844527743575e-07,6.172979947696436e-07,1.4620696915541202e-07,-6.832052836716722e-07,4.416108917653613e-10,7.985806936161819e-08
Ek1e-2,0.00999999999999935,25.918139392115794,5.749328753869919e-07,5.001698486305895e-07,1.268621997027478e-07,-5.987557045517673e-07,6.598112990637031e-10,2.7616532482506152e-08
Ek1e-2,0.00999999999999935,26.310838473814517,5.680544599796799e-07,5.38736929451044e-07,1.3312705609519384e-07,-6.143662790766603e-07,2.0405566002942857e-10,5.729365080954819e-08
Ek1e-2,0.00999999999999935,26.703537555513243,5.639450036851598e-07,5.449720909533699e-07,1.2950533503724906e-07,-6.222976139109233e-07,-2.2236907348612301e-10,5.240218115318191e-08
Ek1e-2,0.00999999999999935,27.096236637211966,4.861089128552638e-07,4.846333866276231e-07,1.1934809916979223e-07,-5.609024935801213e-07,-1.0491342885760392e-10,4.318390564615171e-08
Ek1e-2,0.00999999999999935,27.48893571891069,4.982378995664881e-07,5.105807062129995e-07,1.243934090684131e-07,-5.833759559236052e-07,-4.904396152822553e-10,5.208859897308957e-08
Ek1e-2,0.00999999999999935,27.881634800609415,4.52465214489111e-07,4.7532984252543044e-07,1.1459020118894678e-07,-5.499837356076888e-07,-1.45443201867361e-10,4.008175130855584e-08
Ek1e-2,0.00999999999999935,28.274333882308138,4.727797204459775e-07,5.101574956989236e-07,1.183831191882488e-07,-5.837520913211618e-07,-1.639446453475032e-12,4.479016301246403e-08
Ek1e-2,0.00999999999999935,28.66703296400686,4.3565150894486375e-07,4.881498441504108e-07,1.1004394449603467e-07,-5.54786357867298e-07,1.022486796559817e-11,4.339720591118183e-08
Ek1e-2,0.00999999999999935,29.059732045705587,4.103384470982919e-07,4.476102051326209e-07,1.0596620159648595e-07,-5.305688101857895e-07,-7.975379048556767e-11,2.3087350333803054e-08
Ek1e-2,0.00999999999999935,29.45243112740431,4.0110179514279854e-07,4.4542684550617337e-07,1.0520876686757377e-07,-5.33833633150411e-07,2.3360440847659132e-11,1.677861878248843e-08
Ek1e-2,0.00999999999999935,29.845130209103033,3.794448344081585e-07,4.0837280354017875e-07,1.0136419371556875e-07,-5.127855200855512e-07,-6.687498435982031e-11,-2.9816478454437912e-09
Ek1e-2,0.00999999999999935,30.23782929080176,3.779409240102476e-07,4.2595833008624904e-07,1.0179561015032951e-07,-5.215749216430659e-07,-6.098755607217262e-12,6.185117349119872e-09
