time_min,time_max,n_samples,inertia_bulk,coriolis_bulk,pressure_plane,viscous_bulk,buoyancy_bulk,Ra,Pr,Ek,AR,Ro_c,Ra_m_Ek_4_3,supercritical_m_over_8p7
710.0,1200.0,11,1.9275645228052293e-05,0.0017055850682426638,,0.00023500236960574545,0.0005207550794130092,8000000.0,0.7,0.0001499999999997,4.0,0.5070925528360958,34.7185984353458,3.990643498315609
810.0,1240.0,6,0.08440543003302504,0.020254987230588516,0.09060102433610787,0.0039465008597990995,0.011155957423411716,8000000.0,0.7,0.0009999999999999,16.0,3.3806170189137283,435.6193599999422,50.07119080459106
210.0,660.0,6,0.06524393308384573,0.010864120686523468,0.0747638371159928,0.00383230385586095,0.012595848841227783,8000000.0,0.7,0.0020000000000066,16.0,6.7612340378504445,1097.6920028162958,126.17149457658574
2610.0,3070.0,6,0.04511840250495971,0.008248019048108082,0.04502158252301788,0.0033546463630316835,0.014967605304742284,8000000.0,0.7,0.0030000000000008,16.0,10.141851056744905,1884.8155043334361,216.64546026821108
1910.0,2400.0,6,0.041184828738924664,0.0045115229164914665,0.03213080718399063,0.0031109206924910663,0.013070830474382998,8000000.0,0.7,0.0049999999999996,16.0,16.903085094568983,3724.4931375330893,428.102659486562
1710.0,2200.0,6,0.024276021013443033,0.00328111754280635,0.0158730545372355,0.0025768396453122,0.013752094271682414,8000000.0,0.7,0.0070000000000042,16.0,23.66431913241266,5833.169002948127,670.4791957411641
1910.0,2390.0,6,0.0244890783300046,0.002007582238940617,0.01534484494970455,0.0024419320828996333,0.011632043138316082,8000000.0,0.7,0.0099999999999993,16.0,33.8061701891383,9385.134608334003,1078.7511044062073
1910.0,2400.0,6,0.027404406604610496,0.00053376640615945,0.005623938308377249,0.002076035760018783,0.0079240402484631,8000000.0,0.7,0.0300000000000081,16.0,101.41851056744937,40607.11906845912,4667.4849503976
810.0,1250.0,6,0.02091848782555943,0.0003240093694821667,0.0044429902376179,0.002071040831714283,0.008708653736235184,8000000.0,0.7,0.0499999999999967,16.0,169.03085094569215,80241.77218287127,9223.192204927733
1510.0,1970.0,6,0.015091253633521734,0.00015327427288975,0.0024727037000991333,0.00211174630647685,0.009041228907220632,8000000.0,0.7,0.0999999999999935,16.0,338.06170189138464,202196.59570813703,23240.988012429545
