case,Ek,group,averaging_window,n_samples,mean,std
Ek0.0002,0.0002,intermittent plateau,353.3-432.6; 622.9-732.1; 939.4-1029.8,2792,0.2804184684808111,0.006318219818399313
Ek0.0005,0.0005,intermittent plateau,390.5-429.0; 451.8-488.5,754,0.36895417119813767,0.028634213601028517
Ek0.0007,0.0007,intermittent plateau,447.9-469.6; 491.1-523.1; 580.6-684.6,1580,0.39030279550664876,0.044824024459976415
Ek1e-3,0.001,late-time steady,1240.0-1740.0,5001,0.4684335139677162,0.0019842698942075
Ek3e-3,0.003,late-time steady,2761.8-3261.8,5001,0.7080210146767255,0.0105484296161685
Ek5e-3,0.005,late-time steady,2400.0-2900.0,5001,0.8462982110263846,0.0194333783943457
Ek7e-3,0.007,late-time steady,2200.0-2700.0,5001,0.8295898659470706,0.0227101066477194
Ek1e-2,0.01,late-time steady,2390.0-2890.0,5001,0.8970819280072388,0.0327278757436542
