   600.1000       4.04127608E-02       4.04716544E-02       3.86072883E-02
   600.2000       4.04131559E-02       4.04722089E-02       3.86023509E-02
   600.3000       4.04135512E-02       4.04727360E-02       3.85974031E-02
   600.4000       4.04139468E-02       4.04732791E-02       3.85924447E-02
   600.5000       4.04143426E-02       4.04738359E-02       3.85874759E-02
   600.6000       4.04147387E-02       4.04743713E-02       3.85824971E-02
   600.7000       4.04151350E-02       4.04749039E-02       3.85775085E-02
   600.8000       4.04155316E-02       4.04754416E-02       3.85725102E-02
   600.9000       4.04159284E-02       4.04759918E-02       3.85675024E-02
   601.0000       4.04163255E-02       4.04765473E-02       3.85624850E-02
   601.1000       4.04167228E-02       4.04770902E-02       3.85574580E-02
   601.2000       4.04171204E-02       4.04776309E-02       3.85524213E-02
   601.3000       4.04175182E-02       4.04781990E-02       3.85473752E-02
   601.4000       4.04179162E-02       4.04787270E-02       3.85423194E-02
   601.5000       4.04183145E-02       4.04792899E-02       3.85372543E-02
   601.6000       4.04187130E-02       4.04798448E-02       3.85321797E-02
   601.7000       4.04191117E-02       4.04803876E-02       3.85270958E-02
   601.8000       4.04195107E-02       4.04809313E-02       3.85220025E-02
   601.9000       4.04199099E-02       4.04814884E-02       3.85169000E-02
   602.0000       4.04203094E-02       4.04820312E-02       3.85117884E-02
   602.1000       4.04207091E-02       4.04825865E-02       3.85066675E-02
   602.2000       4.04211090E-02       4.04831363E-02       3.85015373E-02
   602.3000       4.04215091E-02       4.04836917E-02       3.84963980E-02
   602.4000       4.04219095E-02       4.04842655E-02       3.84912496E-02
   602.5000       4.04223101E-02       4.04848108E-02       3.84860923E-02
   602.6000       4.04227109E-02       4.04853681E-02       3.84809258E-02
   602.7000       4.04231120E-02       4.04859465E-02       3.84757502E-02
   602.8000       4.04235132E-02       4.04864880E-02       3.84705656E-02
   602.9000       4.04239148E-02       4.04870507E-02       3.84653721E-02
   603.0000       4.04243165E-02       4.04875928E-02       3.84601697E-02
   603.1000       4.04247184E-02       4.04881626E-02       3.84549583E-02
   603.2000       4.04251206E-02       4.04887025E-02       3.84497379E-02
   603.3000       4.04255230E-02       4.04892685E-02       3.84445089E-02
   603.4000       4.04259256E-02       4.04898382E-02       3.84392711E-02
   603.5000       4.04263284E-02       4.04903969E-02       3.84340244E-02
   603.6000       4.04267314E-02       4.04909519E-02       3.84287692E-02
   603.7000       4.04271346E-02       4.04915277E-02       3.84235053E-02
   603.8000       4.04275381E-02       4.04920947E-02       3.84182328E-02
   603.9000       4.04279418E-02       4.04926546E-02       3.84129515E-02
   604.0000       4.04283456E-02       4.04932081E-02       3.84076616E-02
   604.1000       4.04287497E-02       4.04937887E-02       3.84023633E-02
   604.2000       4.04291540E-02       4.04943274E-02       3.83970564E-02
   604.3000       4.04295586E-02       4.04949094E-02       3.83917410E-02
   604.4000       4.04299633E-02       4.04954719E-02       3.83864170E-02
   604.5000       4.04303682E-02       4.04960495E-02       3.83810847E-02
   604.6000       4.04307733E-02       4.04966237E-02       3.83757438E-02
