   600.1000       3.99329847E-02       4.00806817E-02
   600.2000       3.99329370E-02       4.00807829E-02
   600.3000       3.99328883E-02       4.00808835E-02
   600.4000       3.99328398E-02       4.00809842E-02
   600.5000       3.99327911E-02       4.00810851E-02
   600.6000       3.99327414E-02       4.00811859E-02
   600.7000       3.99326920E-02       4.00812865E-02
   600.8000       3.99326420E-02       4.00813873E-02
   600.9000       3.99325915E-02       4.00814877E-02
   601.0000       3.99325408E-02       4.00815880E-02
   601.1000       3.99324894E-02       4.00816880E-02
   601.2000       3.99324382E-02       4.00817880E-02
   601.3000       3.99323872E-02       4.00818881E-02
   601.4000       3.99323356E-02       4.00819878E-02
   601.5000       3.99322837E-02       4.00820876E-02
   601.6000       3.99322313E-02       4.00821869E-02
   601.7000       3.99321784E-02       4.00822860E-02
   601.8000       3.99321261E-02       4.00823854E-02
   601.9000       3.99320733E-02       4.00824847E-02
   602.0000       3.99320202E-02       4.00825837E-02
   602.1000       3.99319668E-02       4.00826824E-02
   602.2000       3.99319131E-02       4.00827810E-02
   602.3000       3.99318597E-02       4.00828797E-02
   602.4000       3.99318050E-02       4.00829777E-02
   602.5000       3.99317507E-02       4.00830759E-02
   602.6000       3.99316966E-02       4.00831746E-02
   602.7000       3.99316412E-02       4.00832725E-02
   602.8000       3.99315869E-02       4.00833708E-02
   602.9000       3.99315316E-02       4.00834683E-02
   603.0000       3.99314770E-02       4.00835660E-02
   603.1000       3.99314210E-02       4.00836630E-02
   603.2000       3.99313647E-02       4.00837602E-02
   603.3000       3.99313087E-02       4.00838578E-02
   603.4000       3.99312530E-02       4.00839547E-02
   603.5000       3.99311963E-02       4.00840512E-02
   603.6000       3.99311391E-02       4.00841477E-02
   603.7000       3.99310824E-02       4.00842446E-02
   603.8000       3.99310253E-02       4.00843413E-02
   603.9000       3.99309676E-02       4.00844370E-02
   604.0000       3.99309094E-02       4.00845335E-02
   604.1000       3.99308515E-02       4.00846296E-02
   604.2000       3.99307934E-02       4.00847254E-02
   604.3000       3.99307351E-02       4.00848211E-02
   604.4000       3.99306761E-02       4.00849165E-02
   604.5000       3.99306172E-02       4.00850117E-02
   604.6000       3.99305583E-02       4.00851067E-02
   604.7000       3.99304989E-02       4.00852016E-02
   604.8000       3.99304394E-02       4.00852962E-02
   604.9000       3.99303795E-02       4.00853906E-02
   605.0000       3.99303189E-02       4.00854846E-02
   605.1000       3.99302589E-02       4.00855790E-02
   605.2000       3.99301980E-02       4.00856731E-02
   605.3000       3.99301371E-02       4.00857665E-02
   605.4000       3.99300763E-02       4.00858603E-02
   605.5000       3.99300142E-02       4.00859538E-02
   605.6000       3.99299520E-02       4.00860470E-02
   605.7000       3.99298902E-02       4.00861402E-02
   605.8000       3.99298278E-02       4.00862331E-02
   605.9000       3.99297650E-02       4.00863253E-02
   606.0000       3.99297030E-02       4.00864178E-02
   606.1000       3.99296397E-02       4.00865101E-02
   606.2000       3.99295757E-02       4.00866020E-02
   606.3000       3.99295123E-02       4.00866940E-02
   606.4000       3.99294491E-02       4.00867857E-02
   606.5000       3.99293853E-02       4.00868772E-02
   606.6000       3.99293210E-02       4.00869680E-02
   606.7000       3.99292575E-02       4.00870595E-02
   606.8000       3.99291927E-02       4.00871503E-02
   606.9000       3.99291279E-02       4.00872411E-02
   607.0000       3.99290622E-02       4.00873317E-02
   607.1000       3.99289967E-02       4.00874222E-02
   607.2000       3.99289311E-02       4.00875123E-02
   607.3000       3.99288652E-02       4.00876020E-02
   607.4000       3.99287988E-02       4.00876916E-02
   607.5000       3.99287320E-02       4.00877811E-02
   607.6000       3.99286655E-02       4.00878707E-02
   607.7000       3.99285987E-02       4.00879597E-02
   607.8000       3.99285315E-02       4.00880483E-02
   607.9000       3.99284644E-02       4.00881371E-02
   608.0000       3.99283971E-02       4.00882254E-02
   608.1000       3.99283292E-02       4.00883132E-02
