     0.1000       8.60636458E-03       8.64747192E-03       1.29656163E-02
     0.2000       1.15841008E-02       1.16421689E-02       1.43648421E-02
     0.3000       1.49151527E-02       1.50104529E-02       1.57444834E-02
     0.4000       1.80556472E-02       1.82185600E-02       1.70926309E-02
     0.5000       2.08053464E-02       2.10544286E-02       1.83969225E-02
     0.6000       2.31957211E-02       2.35325457E-02       1.96487587E-02
     0.7000       2.53106732E-02       2.57242953E-02       2.08441396E-02
     0.8000       2.72185985E-02       2.76891564E-02       2.19830582E-02
     0.9000       2.89652745E-02       2.94655979E-02       2.30683172E-02
     1.0000       3.05805491E-02       3.10772805E-02       2.41043190E-02
     1.1000       3.20844929E-02       3.25398328E-02       2.50961139E-02
     1.2000       3.34912232E-02       3.38657157E-02       2.60487765E-02
     1.3000       3.48111107E-02       3.50672692E-02       2.69670588E-02
     1.4000       3.60520793E-02       3.61581419E-02       2.78552328E-02
     1.5000       3.72204093E-02       3.71532977E-02       2.87170433E-02
     1.6000       3.83212563E-02       3.80680246E-02       2.95557149E-02
     1.7000       3.93589949E-02       3.89165916E-02       3.03739826E-02
     1.8000       4.03374479E-02       3.97111535E-02       3.11741261E-02
     1.9000       4.12600389E-02       4.04612201E-02       3.19580044E-02
     2.0000       4.21298911E-02       4.11736863E-02       3.27270866E-02
     2.1000       4.29498919E-02       4.18532285E-02       3.34824830E-02
     2.2000       4.37227335E-02       4.25028464E-02       3.42249752E-02
     2.3000       4.44509388E-02       4.31243884E-02       3.49550484E-02
     2.4000       4.51368787E-02       4.37189798E-02       3.56729263E-02
     2.5000       4.57827838E-02       4.42873352E-02       3.63786074E-02
     2.6000       4.63907537E-02       4.48299671E-02       3.70719036E-02
     2.7000       4.69627645E-02       4.53473141E-02       3.77524785E-02
     2.8000       4.75006765E-02       4.58398136E-02       3.84198854E-02
     2.9000       4.80062404E-02       4.63079382E-02       3.90736035E-02
     3.0000       4.84811047E-02       4.67522093E-02       3.97130705E-02
     3.1000       4.89268220E-02       4.71731991E-02       4.03377122E-02
     3.2000       4.93448560E-02       4.75702855E-02       4.09469668E-02
     3.3000       4.97367250E-02       4.51836108E-02       4.15403063E-02
