case,Ek,Lx,movie_shape_zyx,t_first,t_last,nframes,matrix_dk,matrix_kmax_edge,n_bins,antisymmetry_relative_error_max
Ek1p5e-4,0.00014999999999973672,4.0,"(64, 256, 256)",1110.0,1200.0,10,1.5707963267948966,59.690260418206066,38,0.0013976311708183958
Ek2e-4,0.00020000000000066313,4.0,"(64, 256, 256)",510.0,600.0,10,1.5707963267948966,59.690260418206066,38,0.0014866705038751344
Ek3e-3,0.003000000000000819,16.0,"(64, 384, 384)",1530.0,1620.0,10,1.5707963267948966,59.690260418206066,38,0.012499876605248941
Ek5e-3,0.004999999999999675,16.0,"(64, 384, 384)",1530.0,1620.0,10,1.5707963267948966,59.690260418206066,38,0.012177227589505062
Ek7e-3,0.007000000000004278,16.0,"(64, 384, 384)",1540.0,1630.0,10,1.5707963267948966,59.690260418206066,38,0.020240507536452883
Ek1e-2,0.00999999999999935,16.0,"(64, 384, 384)",1530.0,1620.0,10,1.5707963267948966,59.690260418206066,38,0.011022068990731498
Ek3e-2,0.03000000000000819,16.0,"(64, 384, 384)",1540.0,1630.0,10,1.5707963267948966,59.690260418206066,38,0.06330699557501392
