time,kinetic_energy,convective_wavelength_z05_2pi,convective_wavelength_z_weighted_2pi
0.1,3.7580792e-12,0.10237851921816775,0.10352714832417323
0.2,1.16104847e-11,0.10517771785658368,0.10638213724988721
0.3,2.05997083e-11,0.1081124592534017,0.10943665563653453
0.4,2.940321065e-11,0.1111941656111917,0.11265701178786099
0.5,3.74526389e-11,0.11442932180550922,0.11604104240316537
0.6,4.454513135e-11,0.11782239203951506,0.11958958503104912
0.7,5.065746e-11,0.12137624207402777,0.12330298524670408
0.8,5.5851893e-11,0.1250922290770737,0.12718032319180134
0.9,6.0226983e-11,0.1289702185884873,0.1312191898930941
1.0,6.3891713e-11,0.13300858389159256,0.13541562694383885
1.1,6.69522435e-11,0.13720420978311412,0.1397641327869806
1.2,6.95056025e-11,0.14155251519264458,0.1442577110956798
1.3,7.1637191e-11,0.1460474946516673,0.1488879587379067
1.4,7.34203515e-11,0.1506817905501876,0.15364518264368782
1.5,7.49169985e-11,0.15544679366769754,0.15851854997323508
1.6,7.617874e-11,0.16033277512006752,0.1634962602762231
1.7,7.7248173e-11,0.16532904343917884,0.16856574718203754
1.8,7.8160177e-11,0.17042412301538645,0.17371388448825306
1.9,7.8943121e-11,0.17560595201785614,0.17892721047034915
2.0,7.96199395e-11,0.18086208534145004,0.18419214213832868
2.1,8.0209074e-11,0.18617990949166394,0.18949519514820393
2.2,8.0725274e-11,0.19154684050496465,0.1948231779524225
2.3,8.11802765e-11,0.19695052312576408,0.20016337715383378
2.4,8.15833745e-11,0.20237900296569683,0.20550371207204773
2.5,8.1941887e-11,0.20782088735316395,0.2108328673186446
2.6,8.22615495e-11,0.213265470997039,0.21614039584141415
2.7,8.25468355e-11,0.21870284468577408,0.22141679432257927
2.8,8.2801214e-11,0.22412397068562334,0.22665355030268583
2.9,8.3027369e-11,0.22952073551939955,0.231843161658477
3.0,8.32273685e-11,0.234885974470897,0.23697913911616758
3.1,8.34028065e-11,0.24021347723975814,0.24205598111870258
3.2,8.3555367e-11,0.2454983674458659,0.2470694622239629
3.3,8.37180985e-11,0.2507795744487466,0.2520344145191847
3.4,8.39680805e-11,0.2561386194361683,0.2569448193411622
3.5,8.4272681e-11,0.26149613698124174,0.2617770858423411
3.6,8.4615792e-11,0.26682617627201133,0.2665324417571304
3.7,8.4999166e-11,0.2721274310342517,0.2712113055456716
3.8,8.542461e-11,0.27739857928577416,0.27581488043795094
3.9,8.5895543e-11,0.2826393118938616,0.2803444368940376
4.0,8.6449523e-11,0.287867187219855,0.284796526701835
4.1,8.71254225e-11,0.2930953804750249,0.28917170529492425
4.2,8.7883885e-11,0.2982931530602116,0.29347771732751504
4.3,8.871914e-11,0.3034527735158945,0.2977177986400405
4.4,8.9634689e-11,0.30857197989536317,0.3018944826128165
4.5,9.06352145e-11,0.31364878294214926,0.30601110624555977
4.6,9.17266065e-11,0.3186824186209194,0.31007011935222145
4.7,9.2913958e-11,0.32367113517961005,0.31407447000334776
4.8,9.42044655e-11,0.32861443498994475,0.3180263667385741
4.9,9.5605184e-11,0.3335117060696747,0.32192943369918575
5.0,9.71239305e-11,0.33836144799414847,0.3257860038318872
5.1,9.8769681e-11,0.34316370788725586,0.3295990830125293
5.2,1.005513215e-10,0.3479175533242973,0.3333712969842522
5.3,1.02479005e-10,0.35262206004871416,0.33710472171148115
5.4,1.045640085e-10,0.35727656329950086,0.34080275262755627
5.5,1.068178875e-10,0.36187947971396,0.34446694356420393
5.6,1.09254438e-10,0.3664307389204162,0.3481009865211107
5.7,1.118895625e-10,0.37092866016679976,0.3517059446132305
5.8,1.14740144e-10,0.3753723487275229,0.3552850989199309
5.9,1.17825853e-10,0.37976078798320295,0.35884017417557845
6.0,1.211669515e-10,0.3840929135622489,0.36237430568964163
6.1,1.24785384e-10,0.38836718608426046,0.3658896850371556
6.2,1.28703982e-10,0.39258231372633845,0.36938884559843604
6.3,1.32947193e-10,0.396736794178876,0.37287472601925126
6.4,1.375408105e-10,0.40082825491110097,0.37634893793663254
6.5,1.425111875e-10,0.4048543434984345,0.3798136440229625
6.6,1.47887468e-10,0.408813523702069,0.38327161767623596
6.7,1.536990935e-10,0.4127024440709615,0.38672458048922687
6.8,1.59977875e-10,0.41651947663179895,0.3901747403732522
6.9,1.66759153e-10,0.4202618084025194,0.3936242681688357
7.0,1.740785585e-10,0.4239273558788749,0.39707518203509795
7.1,1.819771845e-10,0.42751398403449814,0.4005295039010708
7.2,1.90495821e-10,0.4310185531616911,0.40398907725332345
7.3,1.99681456e-10,0.4344398996145347,0.4074566981093175
7.4,2.095830285e-10,0.4377759851277156,0.41093400700873667
7.5,2.202522375e-10,0.4410247494447715,0.4144231540575931
7.6,2.317464735e-10,0.444185197937468,0.4179266764061138
7.7,2.44125562e-10,0.447255521048437,0.42144665693022815
7.8,2.574535325e-10,0.4502347744149267,0.42498519232887316
