Ek,F_I,F_C,F_V,F_B
0.0001499999999997,1.9714283785948613e-05,0.0017332350458784,0.0002377295763206,0.0005270859346183
0.0009999999999999,0.0843736992445538,0.020306470145288,0.0039273516210084,0.0112604918041982
0.0020000000000066,0.0644524259106869,0.0114227587184029,0.0037929806316039,0.013369158047176
0.0030000000000008,0.0441410135419921,0.0081827866705083,0.0032540961366373,0.014912849370252
0.0049999999999996,0.0463442752594587,0.0044249147675915,0.0032170561067107,0.0126702886819875
0.0070000000000042,0.0215617600215285,0.0031888447021067,0.0026223611540381,0.0139507784181181
0.0099999999999993,0.028320367397661,0.0021453389376978,0.0025544216125627,0.0119721522281885
0.0300000000000081,0.0262454303797442,0.0005353505088932,0.0021457579390352,0.0083340758925165
0.0499999999999967,0.0201809377584853,0.0003180648471413,0.0019089782681688,0.007602282057801
0.0999999999999935,0.0155759168070694,0.0001562126983011,0.0021328399549079,0.0091173923573776
