Ek,Rol_force,frame,classification
0.0001499999999997,0.0113742702311656,120,Geostrophic-compatible; VAC/B mixed residual
0.0009999999999999,4.155015551244484,124,Inertial / weakly rotation-affected
0.0020000000000066,5.642457089358726,66,Inertial / weakly rotation-affected
0.0030000000000008,5.394374229635145,307,Inertial / weakly rotation-affected
0.0049999999999996,10.473484280169126,240,Inertial / weakly rotation-affected
0.0070000000000042,6.761621225167606,220,Inertial / weakly rotation-affected
0.0099999999999993,13.200882573851835,239,Inertial / weakly rotation-affected
0.0300000000000081,49.02476030890782,240,Inertial / weakly rotation-affected
0.0499999999999967,63.44912976036839,125,Inertial / weakly rotation-affected
0.0999999999999935,99.70967134207552,197,Inertial / weakly rotation-affected
