AR,Ek,N_E_bottom,N_E_top,Pr,Ra,case,combined_resolution_status,delta_E_sqrtEk,dt,dt_over_tau_eta_min,dx_over_eta_K_min,dy_over_eta_K_min,ekman_points_ge_8,epsilon_form_relative_difference,epsilon_gradient_global,epsilon_strain_global,eta_B_min_Pr,eta_K_global,eta_K_min,grid_effective,grid_source,kmax_dealias_eta_K_min,max_dz_over_eta_B_all,max_dz_over_eta_K_EkBL,max_dz_over_eta_K_all,max_dz_over_eta_K_wall01,nu,source_run,spectral_screening,tau_eta_min,time_resolution_dt_over_tau_lt_0p01,z_eta_K_min,zhang2017_max_spacing_over_eta_B,zhang2017_max_spacing_over_eta_K,zhang2017_scalar_spacing_pass_Pr,zhang2017_velocity_spacing_pass
16.0,0.1,22,22,0.7,8000000.0,Ek1e-1,marginal,0.31622776601683794,0.007,0.008398906619740536,2.653683361233535,2.653683361233535,True,0.0008020525750028506,8.296190959796328e-05,8.302850282245066e-05,0.018766817768511086,0.023629047655627785,0.015701446252162646,384x384x64,C:\Users\jiasenzhang\Desktop\修改程序\rotating_moist_migration_bundle_20260808\03_current_cases\Ek1e-1\run\field_gridc.h5,0.7892407711444666,0.6422971676527305,0.767691950472993,0.767691950472993,0.7336422800974159,0.00029580398915498077,C:\Users\jiasenzhang\Desktop\修改程序\rotating_moist_migration_bundle_20260808\03_current_cases\Ek1e-1\run,marginal,0.8334418177179649,True,0.9632578755244279,2.220230791422684,2.653683361233535,False,False
16.0,0.01,9,9,0.7,8000000.0,Ek1e-2,marginal,0.1,0.01,0.01399040537207946,2.8655097745027134,2.8655097745027134,True,0.0008486241507184331,0.00011319074252039873,0.00011328688050315326,0.0173795226590153,0.021862917469154825,0.014540751889041309,384x384x64,C:\Users\jiasenzhang\Desktop\修改程序\rotating_moist_migration_bundle_20260808\03_current_cases\Ek1e-2\run\field_gridc.h5,0.7308979089965453,0.6878925623241823,0.8221888706382051,0.8221888706382051,0.8221888706382051,0.00029580398915498077,C:\Users\jiasenzhang\Desktop\修改程序\rotating_moist_migration_bundle_20260808\03_current_cases\Ek1e-2\run,marginal,0.7147755718327448,False,0.004922296641623997,2.3974574839690934,2.8655097745027134,False,False
16.0,0.001,3,3,0.7,8000000.0,Ek1e-3,under-resolved,0.03162277660168379,0.01,0.029827528167450927,4.1840356597325705,4.1840356597325705,False,0.001418390491828278,0.00022630685428427089,0.00022662830171259923,0.01190266912275381,0.018383342719713213,0.009958487464069524,384x384x64,C:\Users\jiasenzhang\Desktop\修改程序\rotating_moist_migration_bundle_20260808\03_current_cases\Ek1e-3\run\field_gridc.h5,0.5005681769277899,0.837889343498435,1.0014693148057425,1.0014693148057425,1.0014693148057425,0.00029580398915498077,C:\Users\jiasenzhang\Desktop\修改程序\rotating_moist_migration_bundle_20260808\03_current_cases\Ek1e-3\run,under-resolved,0.3352607679677737,False,0.004922296641623997,3.5006153860913707,4.1840356597325705,False,False
4.0,0.00015000000000000001,1,1,0.7,8000000.0,Ek1p5e-4,under-resolved,0.012247448713915891,0.01,0.00044523651673972474,0.19169615455761246,0.19169615455761246,False,5.0360092646974875e-05,3.102456006382467e-07,3.102612254223037e-07,0.09742212651030081,0.09556990273600921,0.08150919895111434,256x256x64,C:\Users\jiasenzhang\Desktop\修改程序\rotating_moist_migration_bundle_20260808\03_current_cases\Ek2e-4\run\field_gridc.h5,10.925597893325213,0.1807825074152786,0.12094824287729146,0.21607642492994814,0.16611355342904707,0.00029580398915498077,C:\Users\jiasenzhang\Desktop\修改程序\rotating_moist_migration_bundle_20260808\03_current_cases\Ek1p5e-4\run,resolved,22.459972675255152,True,0.8276191497060952,0.1807825074152786,0.21607642492994814,True,True
16.0,0.002,4,4,0.7,8000000.0,Ek2e-3,under-resolved,0.044721359549995794,0.01,0.029349404731276858,4.1503659713455034,4.1503659713455034,False,0.002226781718179776,0.00022673644955746082,0.00022724246893287458,0.01199922907990081,0.018370908966006308,0.010039275320378262,384x384x64,C:\Users\jiasenzhang\Desktop\修改程序\rotating_moist_migration_bundle_20260808\03_current_cases\Ek2e-3\run\field_gridc.h5,0.5046290175018506,0.8311466970697858,0.9934103108915947,0.9934103108915947,0.9934103108915947,0.00029580398915498077,C:\Users\jiasenzhang\Desktop\修改程序\rotating_moist_migration_bundle_20260808\03_current_cases\Ek2e-3\run,under-resolved,0.34072241299474376,False,0.004922296641623997,3.472445303712053,4.1503659713455034,False,False
4.0,0.0002,1,1,0.7,8000000.0,Ek2e-4,under-resolved,0.01414213562373095,0.01,7.688127571189843e-05,0.07965779916897062,0.07965779916897062,False,4.390748696858666e-05,2.625745625630375e-09,2.625860920584527e-09,0.23444593267302585,0.3150903407912696,0.1961515402510199,256x256x64,C:\Users\jiasenzhang\Desktop\修改程序\rotating_moist_migration_bundle_20260808\03_current_cases\Ek2e-4\run\field_gridc.h5,26.29240481463154,0.05085932167882572,0.05084395261123333,0.06078851632187344,0.05084395261123333,0.00029580398915498077,C:\Users\jiasenzhang\Desktop\修改程序\rotating_moist_migration_bundle_20260808\03_current_cases\Ek2e-4\run,resolved,130.0706824568516,True,0.004922296641623997,0.06664649636635701,0.07965779916897062,True,True
16.0,0.03,14,14,0.7,8000000.0,Ek3e-2,marginal,0.17320508075688773,0.01,0.013927416720901028,2.8590518410643524,2.8590518410643524,True,0.0009255859392800022,0.00010336632480473936,0.00010346208785850975,0.01741877896032134,0.022364423640478887,0.014573596067133649,384x384x64,C:\Users\jiasenzhang\Desktop\修改程序\rotating_moist_migration_bundle_20260808\03_current_cases\Ek3e-2\run\field_gridc.h5,0.7325488374542748,0.6758680106420153,0.8078167824532592,0.8078167824532592,0.8078167824532592,0.00029580398915498077,C:\Users\jiasenzhang\Desktop\修改程序\rotating_moist_migration_bundle_20260808\03_current_cases\Ek3e-2\run,marginal,0.7180082423320392,False,0.9632578755244279,2.392054389207199,2.8590518410643524,False,False
16.0,0.003,5,5,0.7,8000000.0,Ek3e-3,under-resolved,0.05477225575051661,0.01,0.028141559706086696,4.064066699636495,4.064066699636495,False,0.0016928691451313634,0.00019222379111649145,0.00019254975265165812,0.012254029211689397,0.019147729281411254,0.010252456405401388,384x384x64,C:\Users\jiasenzhang\Desktop\修改程序\rotating_moist_migration_bundle_20260808\03_current_cases\Ek3e-3\run\field_gridc.h5,0.5153446675913379,0.8138645212000718,0.9727541598605638,0.9727541598605638,0.9727541598605638,0.00029580398915498077,C:\Users\jiasenzhang\Desktop\修改程序\rotating_moist_migration_bundle_20260808\03_current_cases\Ek3e-3\run,under-resolved,0.3553463313491155,False,0.004922296641623997,3.400242152754123,4.064066699636495,False,False
16.0,0.05,17,17,0.7,8000000.0,Ek5e-2,marginal,0.22360679774997896,0.007,0.010199099919944174,2.9242779416298426,2.9242779416298426,True,0.0006874339023281588,8.277465445902253e-05,8.283159570609484e-05,0.01703025261266482,0.023643077886688273,0.014248531602794158,384x384x64,C:\Users\jiasenzhang\Desktop\修改程序\rotating_moist_migration_bundle_20260808\03_current_cases\Ek5e-2\run\field_gridc.h5,0.7162093153244821,0.6781893710650244,0.8105913388434162,0.8105913388434162,0.8105913388434162,0.00029580398915498077,C:\Users\jiasenzhang\Desktop\修改程序\rotating_moist_migration_bundle_20260808\03_current_cases\Ek5e-2\run,marginal,0.6863350741678306,False,0.9632578755244279,2.446626460237036,2.9242779416298426,False,False
16.0,0.005,6,6,0.7,8000000.0,Ek5e-3,under-resolved,0.07071067811865475,0.01,0.023230930679098052,3.6924961356279096,3.6924961356279096,False,0.0016746319321763433,0.00016629234928295633,0.00016657129489236705,0.013487134509114667,0.019854226835859565,0.011284146316264523,384x384x64,C:\Users\jiasenzhang\Desktop\修改程序\rotating_moist_migration_bundle_20260808\03_current_cases\Ek5e-3\run\field_gridc.h5,0.5672030587073432,0.7394543007192079,0.8838169355149553,0.8838169355149553,0.8838169355149553,0.00029580398915498077,C:\Users\jiasenzhang\Desktop\修改程序\rotating_moist_migration_bundle_20260808\03_current_cases\Ek5e-3\run,under-resolved,0.43046058456011255,False,0.004922296641623997,3.0893639148114183,3.6924961356279096,False,False
16.0,0.0005,2,2,0.7,8000000.0,Ek5e-4,under-resolved,0.022360679774997897,0.01,0.026929780875654355,3.975604329145542,3.975604329145542,False,0.0018538710681353747,0.0002782198777189815,0.0002787366194734532,0.012526697310017083,0.01745639308047729,0.010480586903783225,384x384x64,C:\Users\jiasenzhang\Desktop\修改程序\rotating_moist_migration_bundle_20260808\03_current_cases\Ek5e-4\run\field_gridc.h5,0.5268117571557565,0.828964233400494,0.9699176807444744,0.9908017678752242,0.9832597768604925,0.00029580398915498077,C:\Users\jiasenzhang\Desktop\修改程序\rotating_moist_migration_bundle_20260808\03_current_cases\Ek5e-4\run,under-resolved,0.3713361072700156,False,0.995077703358376,3.326229223511895,3.975604329145542,False,False
16.0,0.007,7,7,0.7,8000000.0,Ek7e-3,under-resolved,0.08366600265340755,0.01,0.01783783229595097,3.2356220271869143,3.2356220271869143,False,0.001143153197550105,0.00013949521928743758,0.000139654866194281,0.015391535734752505,0.020748609715564307,0.012877482696238203,384x384x64,C:\Users\jiasenzhang\Desktop\修改程序\rotating_moist_migration_bundle_20260808\03_current_cases\Ek7e-3\run\field_gridc.h5,0.6472928805637059,0.6921971481361119,0.8266848080434318,0.8273338347519583,0.8273338347519583,0.00029580398915498077,C:\Users\jiasenzhang\Desktop\修改程序\rotating_moist_migration_bundle_20260808\03_current_cases\Ek7e-3\run,under-resolved,0.5606062347760671,False,0.004922296641623997,2.707115611120443,3.2356220271869143,False,False
16.0,0.0007,3,3,0.7,8000000.0,Ek7e-4,under-resolved,0.026457513110645904,0.01,0.0018562110918737252,1.0437594650174118,1.0437594650174118,False,0.0006638780328367932,2.0885677318106797e-06,2.0899552071623277e-06,0.047713284262067945,0.05932240852501507,0.03991979767672966,384x384x64,C:\Users\jiasenzhang\Desktop\修改程序\rotating_moist_migration_bundle_20260808\03_current_cases\Ek7e-4\run\field_gridc.h5,2.0065878898240768,0.2605828707063475,0.25680368367946044,0.3114561021707118,0.25680368367946044,0.00029580398915498077,C:\Users\jiasenzhang\Desktop\修改程序\rotating_moist_migration_bundle_20260808\03_current_cases\Ek7e-4\run,resolved,5.387318308665878,True,0.995077703358376,0.8732718216966603,1.0437594650174118,False,False
16.0,nan,0,0,0.7,8000000.0,norotating,not_confirmed_nonrotating_BL,nan,0.01,0.010491028735249742,2.4813943173920836,2.4813943173920836,False,0.0011378798859922755,7.672061773694537e-05,7.680801603347284e-05,0.020069842066834504,0.024093582641306323,0.016791634596172462,384x384x64,C:\Users\jiasenzhang\Desktop\修改程序\rotating_moist_migration_bundle_20260808\03_current_cases\norotating\run\field_gridc.h5,0.8440396142255939,0.6645019372005897,nan,0.7942317263002715,0.7044492585159802,0.00029580398915498077,C:\Users\jiasenzhang\Desktop\修改程序\rotating_moist_migration_bundle_20260808\03_current_cases\norotating\run,marginal,0.9531953683817593,False,0.9743657385429216,2.076083435430765,2.4813943173920836,False,False
