source_family,Ra_label,Ra,Pr,Ek_label,Ek,rotation,AR,beta,qbot,qtop,q_label,variant,Nx,Ny,Nz,run_path,case_path,max_T_kinetic,max_T_mprime,n_kinetic,n_mprime,source_run_paths
beta_not1,Ra8e6,8000000.0,0.7,norotating,,norotating,10.0,1.02,1.0,0.004978,qbot1_qtop0p004978,,,,,/share/org/SHUTUANL/shu_zhangjs/rainy model/ns/transition_study/beta_not1/Ra8e6/AR10/norotating/Beta1p02/run,/share/org/SHUTUANL/shu_zhangjs/rainy model/ns/transition_study/beta_not1/Ra8e6/AR10/norotating/Beta1p02,1948.3,1948.3,19483,19483,['/share/org/SHUTUANL/shu_zhangjs/rainy model/ns/transition_study/beta_not1/Ra8e6/AR10/norotating/Beta1p02/run']
beta_not1,Ra8e6,8000000.0,0.7,norotating,,norotating,10.0,1.02,1.0,0.004978,qbot1_qtop0p004978,botsat,,,,/share/org/SHUTUANL/shu_zhangjs/rainy model/ns/transition_study/beta_not1/Ra8e6/AR10/norotating/Beta1p02/botsat/run,/share/org/SHUTUANL/shu_zhangjs/rainy model/ns/transition_study/beta_not1/Ra8e6/AR10/norotating/Beta1p02/botsat,1941.4,1941.4,19414,19414,['/share/org/SHUTUANL/shu_zhangjs/rainy model/ns/transition_study/beta_not1/Ra8e6/AR10/norotating/Beta1p02/botsat/run']
rotating_case,Ra1e8,100000000.0,0.7,norotating,,norotating,16.0,1.02,1.0,0.004978,qbot1_qtop0p004978,,257.0,257.0,65.0,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra1e8/norotating/AR16/Beta1p02/qbot1_qtop0p004978/N257x257x65/run,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra1e8/norotating/AR16/Beta1p02/qbot1_qtop0p004978/N257x257x65,999.999,999.999,10000,10000,['/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra1e8/norotating/AR16/Beta1p02/qbot1_qtop0p004978/N257x257x65/run']
rotating_case,Ra1e8,100000000.0,0.7,norotating,,norotating,16.0,1.3,1.0,0.004978,qbot1_qtop0p004978,,257.0,257.0,65.0,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra1e8/norotating/AR16/Beta1p30/qbot1_qtop0p004978/N257x257x65/run,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra1e8/norotating/AR16/Beta1p30/qbot1_qtop0p004978/N257x257x65,800.002,800.002,8000,8000,['/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra1e8/norotating/AR16/Beta1p30/qbot1_qtop0p004978/N257x257x65/run']
rotating_case,Ra1e8,100000000.0,0.7,norotating,,norotating,16.0,1.4,1.0,0.004978,qbot1_qtop0p004978,,257.0,257.0,65.0,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra1e8/norotating/AR16/Beta1p40/qbot1_qtop0p004978/N257x257x65/run,/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra1e8/norotating/AR16/Beta1p40/qbot1_qtop0p004978/N257x257x65,593.201,593.201,5932,5932,['/share/org/SHUTUANL/shu_zhangjs/rainy model/rotating_case/Pr0p7/Ra1e8/norotating/AR16/Beta1p40/qbot1_qtop0p004978/N257x257x65/run']
beta_not1,Ra1e8,100000000.0,0.7,norotating,,norotating,10.0,1.05,1.0,0.004978,qbot1_qtop0p004978,,,,,/share/org/SHUTUANL/shu_zhangjs/rainy model/ns/transition_study/beta_not1/Ra1e8/AR10/norotating/Beta1p05/run,/share/org/SHUTUANL/shu_zhangjs/rainy model/ns/transition_study/beta_not1/Ra1e8/AR10/norotating/Beta1p05,800.0,800.0,8000,8000,['/share/org/SHUTUANL/shu_zhangjs/rainy model/ns/transition_study/beta_not1/Ra1e8/AR10/norotating/Beta1p05/run']
beta_not1,Ra1e8,100000000.0,0.7,norotating,,norotating,10.0,1.1,1.0,0.004978,qbot1_qtop0p004978,,,,,/share/org/SHUTUANL/shu_zhangjs/rainy model/ns/transition_study/beta_not1/Ra1e8/AR10/norotating/Beta1p10/run,/share/org/SHUTUANL/shu_zhangjs/rainy model/ns/transition_study/beta_not1/Ra1e8/AR10/norotating/Beta1p10,800.0,800.0,8000,8000,['/share/org/SHUTUANL/shu_zhangjs/rainy model/ns/transition_study/beta_not1/Ra1e8/AR10/norotating/Beta1p10/run']
beta_not1,Ra1e8,100000000.0,0.7,norotating,,norotating,10.0,1.2,0.5,0.004978,qbot0p5_qtop0p004978,bot05,,,,/share/org/SHUTUANL/shu_zhangjs/rainy model/ns/transition_study/beta_not1/Ra1e8/AR10/norotating/Beta1p20/bot05/run,/share/org/SHUTUANL/shu_zhangjs/rainy model/ns/transition_study/beta_not1/Ra1e8/AR10/norotating/Beta1p20/bot05,1000.0,1000.0,10000,10000,['/share/org/SHUTUANL/shu_zhangjs/rainy model/ns/transition_study/beta_not1/Ra1e8/AR10/norotating/Beta1p20/bot05/run']
beta_not1,Ra1e8,100000000.0,0.7,norotating,,norotating,10.0,1.2,1.0,0.004978,qbot1_qtop0p004978,,,,,/share/org/SHUTUANL/shu_zhangjs/rainy model/ns/transition_study/beta_not1/Ra1e8/AR10/norotating/Beta1p20/run,/share/org/SHUTUANL/shu_zhangjs/rainy model/ns/transition_study/beta_not1/Ra1e8/AR10/norotating/Beta1p20,800.0,800.0,8000,8000,['/share/org/SHUTUANL/shu_zhangjs/rainy model/ns/transition_study/beta_not1/Ra1e8/AR10/norotating/Beta1p20/run']
beta_not1,Ra1e8,100000000.0,0.7,norotating,,norotating,10.0,1.2,1.0,0.004978,qbot1_qtop0p004978,384384192,384.0,384.0,192.0,/share/org/SHUTUANL/shu_zhangjs/rainy model/ns/transition_study/beta_not1/Ra1e8/AR10/norotating/Beta1p20/384384192/run,/share/org/SHUTUANL/shu_zhangjs/rainy model/ns/transition_study/beta_not1/Ra1e8/AR10/norotating/Beta1p20/384384192,8.6,8.6,86,86,['/share/org/SHUTUANL/shu_zhangjs/rainy model/ns/transition_study/beta_not1/Ra1e8/AR10/norotating/Beta1p20/384384192/run']
beta_not1,Ra1e8,100000000.0,0.7,norotating,,norotating,10.0,1.3,1.0,0.004978,qbot1_qtop0p004978,,,,,/share/org/SHUTUANL/shu_zhangjs/rainy model/ns/transition_study/beta_not1/Ra1e8/AR10/norotating/Beta1p30/run,/share/org/SHUTUANL/shu_zhangjs/rainy model/ns/transition_study/beta_not1/Ra1e8/AR10/norotating/Beta1p30,800.0,800.0,8000,8000,['/share/org/SHUTUANL/shu_zhangjs/rainy model/ns/transition_study/beta_not1/Ra1e8/AR10/norotating/Beta1p30/run']
beta_not1,Ra1e8,100000000.0,0.7,norotating,,norotating,10.0,1.5,1.0,0.004978,qbot1_qtop0p004978,,,,,/share/org/SHUTUANL/shu_zhangjs/rainy model/ns/transition_study/beta_not1/Ra1e8/AR10/norotating/Beta1p50/run,/share/org/SHUTUANL/shu_zhangjs/rainy model/ns/transition_study/beta_not1/Ra1e8/AR10/norotating/Beta1p50,800.0,800.0,8000,8000,['/share/org/SHUTUANL/shu_zhangjs/rainy model/ns/transition_study/beta_not1/Ra1e8/AR10/norotating/Beta1p50/run']
ar10_old,Ra1e8,100000000.0,0.7,norotating,,norotating,10.0,1.0,1.0,0.004978,qbot1_qtop0p004978,norotating,,,,/share/org/SHUTUANL/shu_zhangjs/rainy model/ns/transition_study/beta1/lowrestest/aspect_ratio_study/Ra1e8/AR10/norotating/norotating/run,/share/org/SHUTUANL/shu_zhangjs/rainy model/ns/transition_study/beta1/lowrestest/aspect_ratio_study/Ra1e8/AR10/norotating/norotating,800.0,800.0,8000,8000,['/share/org/SHUTUANL/shu_zhangjs/rainy model/ns/transition_study/beta1/lowrestest/aspect_ratio_study/Ra1e8/AR10/norotating/norotating/run']
ar10_old,Ra1e8,100000000.0,0.7,norotating,,norotating,10.0,1.0,1.0,0.004978,qbot1_qtop0p004978,res25625665,,,,/share/org/SHUTUANL/shu_zhangjs/rainy model/ns/transition_study/beta1/lowrestest/aspect_ratio_study/Ra1e8/AR10/norotating/res25625665/run,/share/org/SHUTUANL/shu_zhangjs/rainy model/ns/transition_study/beta1/lowrestest/aspect_ratio_study/Ra1e8/AR10/norotating/res25625665,800.0,800.0,8000,8000,['/share/org/SHUTUANL/shu_zhangjs/rainy model/ns/transition_study/beta1/lowrestest/aspect_ratio_study/Ra1e8/AR10/norotating/res25625665/run']
ar10_old,Ra1e8,100000000.0,0.7,Ek1e-4,0.0001,rotating,10.0,1.0,1.0,0.004978,qbot1_qtop0p004978,,,,,/share/org/SHUTUANL/shu_zhangjs/rainy model/ns/transition_study/beta1/lowrestest/aspect_ratio_study/Ra1e8/AR10/Ra1e8Pr07Ek1e-4AR10/run,/share/org/SHUTUANL/shu_zhangjs/rainy model/ns/transition_study/beta1/lowrestest/aspect_ratio_study/Ra1e8/AR10/Ra1e8Pr07Ek1e-4AR10,800.0,800.0,8000,8000,['/share/org/SHUTUANL/shu_zhangjs/rainy model/ns/transition_study/beta1/lowrestest/aspect_ratio_study/Ra1e8/AR10/Ra1e8Pr07Ek1e-4AR10/run']
ar10_old,Ra1e8,100000000.0,0.7,Ek3e-3,0.003,rotating,10.0,1.0,1.0,0.004978,qbot1_qtop0p004978,,,,,/share/org/SHUTUANL/shu_zhangjs/rainy model/ns/transition_study/beta1/lowrestest/aspect_ratio_study/Ra1e8/AR10/Ra1e8Pr07Ek3e-3AR10/run,/share/org/SHUTUANL/shu_zhangjs/rainy model/ns/transition_study/beta1/lowrestest/aspect_ratio_study/Ra1e8/AR10/Ra1e8Pr07Ek3e-3AR10,800.0,800.0,8000,8000,['/share/org/SHUTUANL/shu_zhangjs/rainy model/ns/transition_study/beta1/lowrestest/aspect_ratio_study/Ra1e8/AR10/Ra1e8Pr07Ek3e-3AR10/run']
