time,ell_w_z075,lambda_w_z075
6.902,0.0516693271,0.324647957
7.0,0.0521767304,0.327836066
7.098,0.0526334395,0.330705654
7.203,0.0531074484,0.33368394
7.301,0.053601993,0.336791255
7.399,0.0541268243,0.340088867
7.497,0.0546030692,0.343081202
7.602,0.0550639244,0.345976841
7.7,0.0554650934,0.34849746
7.798,0.0558542925,0.35094287
7.903,0.0563007132,0.353747814
8.001,0.0567574197,0.356617385
8.099,0.0572200637,0.359524263
8.197,0.0576844608,0.362442156
8.302,0.0581655863,0.365465157
8.4,0.0585596146,0.36794091
8.498,0.0588950109,0.370048267
8.603,0.0592332874,0.372173721
8.701,0.0595916112,0.374425136
8.799,0.0599843523,0.376892801
8.897,0.0603512072,0.379197818
9.002,0.0607030711,0.381408645
9.1,0.0610071408,0.383319171
9.198,0.0612806824,0.385037883
9.303,0.061546742,0.386709585
9.401,0.0617927554,0.388255333
9.499,0.0620576643,0.389919805
9.597,0.0623223976,0.391583173
9.702,0.0625747628,0.393168831
9.8,0.0627709789,0.394401692
9.898,0.0629288965,0.395393918
10.003,0.063056569,0.396196108
10.101,0.0631368814,0.396700725
10.199,0.0632050346,0.397128945
10.297,0.0632773103,0.397583067
10.402,0.0633838737,0.398252624
10.5,0.0635094834,0.399041853
10.598,0.0636206514,0.399740342
10.703,0.0636963133,0.40021574
10.801,0.0637613658,0.400624477
10.899,0.063858851,0.401236994
10.997,0.0639726763,0.40195218
11.102,0.0641090335,0.402808938
11.2,0.0642330054,0.403587876
11.298,0.0643077583,0.404057562
11.403,0.0643337683,0.404220987
11.501,0.0643684184,0.404438701
11.599,0.06443496,0.404856794
11.697,0.0645084915,0.405318806
11.802,0.0645918251,0.405842407
11.9,0.0646650117,0.406302252
11.998,0.0647112532,0.406592795
12.103,0.0647218267,0.406659231
12.201,0.0646882001,0.406447948
12.299,0.0645896283,0.405828603
12.397,0.0644526935,0.404968217
12.502,0.0643097212,0.404069895
12.6,0.0641989761,0.403374064
12.698,0.0640795275,0.402623546
12.803,0.0639422363,0.40176092
12.901,0.0638416503,0.401128919
12.999,0.0637492988,0.400548658
13.097,0.063671038,0.400056931
13.202,0.0636381239,0.399850125
13.3,0.0636455913,0.399897044
13.398,0.063661341,0.399996002
13.503,0.0636622739,0.400001864
13.601,0.0636315577,0.399808868
13.699,0.0635620301,0.399372013
13.797,0.0634713891,0.3988025
13.902,0.063386159,0.398266983
14.0,0.0633423336,0.39799162
14.098,0.0633112531,0.397796335
14.203,0.0632445171,0.397377021
14.301,0.0631448755,0.396750954
14.399,0.0630333423,0.39605017
14.497,0.0629355387,0.395435652
14.602,0.0628664305,0.395001432
14.7,0.0628058453,0.394620764
14.798,0.0627254304,0.394115503
14.903,0.0626511287,0.393648651
15.001,0.0626088228,0.393382836
15.099,0.0625825016,0.393217454
15.197,0.0625576114,0.393061065
15.302,0.0625156846,0.392797631
15.4,0.0624656043,0.392482967
15.498,0.0624142027,0.392160001
15.603,0.0623569923,0.391800538
15.701,0.062294918,0.391410513
15.799,0.062220015,0.390939884
15.897,0.062144643,0.390466308
16.002,0.0620882902,0.390112233
16.1,0.0620595689,0.389931771
16.198,0.062044819,0.389839095
16.303,0.0620290972,0.389740312
16.401,0.0619928595,0.389512624
16.499,0.0619294861,0.389114437
16.597,0.0618538302,0.388639077
16.702,0.0617708283,0.388117561
16.8,0.0616988693,0.387665429
16.898,0.061636735,0.387275028
17.003,0.0615774883,0.38690277
17.101,0.0615309632,0.386610444
17.199,0.061488545,0.386343923
17.297,0.0614381538,0.386027306
17.402,0.0613714419,0.385608142
17.5,0.061311361,0.385230643
17.598,0.0612628296,0.384925711
17.703,0.0612167501,0.384636185
17.801,0.0611756255,0.384377791
17.899,0.0611342559,0.384117859
17.997,0.0610833276,0.383797866
18.102,0.0610156801,0.383372825
18.2,0.0609551868,0.382992734
18.298,0.0609137692,0.3827325
18.403,0.0608979964,0.382633396
18.501,0.0609010027,0.382652286
18.599,0.0608974556,0.382629998
18.697,0.0608664489,0.382435178
18.802,0.060801884,0.382029504
18.9,0.0607229521,0.38153356
18.998,0.0606306702,0.380953736
19.103,0.0605184847,0.380248854
19.201,0.0604065532,0.379545567
19.299,0.060299204,0.378871072
19.397,0.0602096614,0.37830846
19.502,0.060140012,0.37787084
19.6,0.0600924704,0.377572127
19.698,0.060050956,0.377311284
19.803,0.0600101088,0.377054634
19.901,0.0599804355,0.376868191
19.999,0.0599637886,0.376763596
20.097,0.0599615516,0.37674954
20.202,0.0599735228,0.376824757
20.3,0.0599950319,0.376959903
20.398,0.060025126,0.377148989
20.503,0.060068533,0.377421724
20.601,0.0601214084,0.37775395
20.699,0.0601852601,0.378155142
20.797,0.0602542226,0.378588446
20.902,0.0603247569,0.379031626
21.0,0.0603829026,0.379396966
21.098,0.0604339161,0.379717494
21.203,0.0604827292,0.380024196
21.301,0.0605239832,0.380283402
21.399,0.0605603519,0.380511913
21.497,0.0605904219,0.380700849
21.602,0.0606171094,0.380868531
21.7,0.0606420662,0.381025339
21.798,0.0606735419,0.381223107
21.903,0.0607202448,0.38151655
22.001,0.060777567,0.381876716
22.099,0.0608458682,0.382305865
22.197,0.0609206568,0.382775776
22.302,0.0610028256,0.383292058
22.4,0.0610797898,0.383775638
22.498,0.0611605561,0.384283107
22.603,0.0612590965,0.384902255
22.701,0.0613681809,0.385587653
22.799,0.0614944744,0.386381178
22.897,0.0616339948,0.387257811
23.002,0.0617918287,0.38824951
23.1,0.0619419616,0.389192823
23.198,0.0620915091,0.390132458
23.303,0.0622488661,0.391121161
23.401,0.0623921236,0.392021275
23.499,0.0625314383,0.392896614
23.597,0.0626656763,0.393740056
23.702,0.0628018416,0.394595609
23.8,0.0629208308,0.395343239
23.898,0.0630332977,0.39604989
24.003,0.0631501265,0.396783947
24.101,0.0632593499,0.397470218
24.199,0.0633708492,0.398170789
24.297,0.0634845955,0.398885477
24.402,0.0636070593,0.39965494
24.5,0.0637198506,0.400363629
24.598,0.0638308616,0.401061132
24.703,0.0639505783,0.401813334
24.801,0.0640666874,0.402542869
24.899,0.0641877656,0.403303626
24.997,0.0643095781,0.404068996
25.102,0.0644328565,0.404843578
25.2,0.0645359037,0.405491042
25.298,0.0646277913,0.406068389
25.403,0.0647193545,0.406643697
25.501,0.0648044158,0.407178153
25.599,0.0648931432,0.407735644
25.697,0.0649873643,0.408327652
25.802,0.0650953415,0.409006093
25.9,0.0652036799,0.409686804
25.998,0.0653206871,0.410421981
26.103,0.0654567729,0.411277034
26.201,0.0655929254,0.412132505
26.299,0.0657343861,0.413021329
26.397,0.0658757517,0.413909555
26.502,0.0660205263,0.414819201
26.6,0.0661446597,0.415599154
26.698,0.0662565458,0.416302155
26.803,0.0663649836,0.41698349
26.901,0.0664597451,0.417578894
26.999,0.0665518485,0.418157597
27.097,0.066642215,0.418725386
27.202,0.0667356637,0.419312542
27.3,0.0668188582,0.419835268
27.398,0.0668999148,0.420344562
27.503,0.0669887093,0.420902474
27.601,0.0670777343,0.421461834
27.699,0.067175825,0.422078156
27.797,0.0672840859,0.42275838
27.902,0.0674096063,0.423547048
28.0,0.0675316533,0.424313892
28.098,0.0676542656,0.425084288
28.203,0.0677837112,0.425897618
28.301,0.0679027076,0.426645295
28.399,0.0680208191,0.427387411
28.497,0.0681381321,0.428124511
28.602,0.0682616925,0.428900863
28.7,0.0683735129,0.429603452
28.798,0.0684812587,0.430280438
28.903,0.0685930147,0.430982622
29.001,0.0686961231,0.431630472
29.099,0.0688006886,0.432287476
29.197,0.0689080756,0.432962208
29.302,0.0690252658,0.433698536
29.4,0.06913376,0.434380225
29.498,0.0692381608,0.435036195
29.603,0.069343144,0.435695823
29.701,0.0694349699,0.436272783
29.799,0.0695235662,0.436829449
29.897,0.0696124966,0.437388216
30.002,0.0697106274,0.43800479
30.1,0.0698043047,0.438593382
30.198,0.0698969404,0.439175429
30.303,0.0699903525,0.439762354
30.401,0.0700682354,0.440251707
30.499,0.0701352037,0.440672482
30.597,0.070191546,0.441026491
30.702,0.0702425319,0.441346844
30.8,0.070284837,0.441612655
30.898,0.0703257213,0.441869539
31.003,0.0703713492,0.442156227
31.101,0.0704174623,0.442445965
31.199,0.0704672244,0.442758629
31.297,0.0705197269,0.443088512
31.402,0.0705775341,0.443451725
31.5,0.0706317603,0.443792439
31.598,0.0706853613,0.444129224
31.703,0.07074108,0.444479315
31.801,0.0707904171,0.444789308
31.899,0.0708363256,0.44507776
31.997,0.0708787118,0.44534408
32.102,0.0709215409,0.445613184
32.2,0.0709615848,0.445864787
32.298,0.0710044517,0.446134128
32.403,0.0710557079,0.44645618
32.501,0.0711090112,0.446791094
32.599,0.0711665771,0.447152792
32.697,0.0712267196,0.447530678
32.802,0.0712923757,0.447943207
32.9,0.0713538159,0.448329248
32.998,0.0714146428,0.448711434
33.103,0.0714783305,0.449111596
33.201,0.0715361598,0.449474948
33.299,0.0715929038,0.449831481
33.397,0.0716492106,0.450185267
33.502,0.0717094312,0.450563644
33.6,0.0717653847,0.450915211
33.698,0.0718203618,0.451260642
33.803,0.0718768682,0.451615682
33.901,0.0719263868,0.451926817
33.999,0.0719727181,0.452217925
34.097,0.0720164683,0.452492816
34.202,0.0720610767,0.452773098
34.3,0.0721006479,0.453021732
34.398,0.0721381004,0.453257053
34.503,0.0721761023,0.453495826
34.601,0.0722102805,0.453710573
34.699,0.0722440925,0.453923021
34.797,0.0722781308,0.454136889
34.902,0.0723146439,0.454366308
35.0,0.0723474215,0.454572256
35.098,0.072376641,0.454755847
35.203,0.0724010292,0.454909083
35.301,0.072415216,0.454998221
35.399,0.0724206607,0.455032431
35.497,0.0724189167,0.455021474
35.602,0.0724127754,0.454982886
35.7,0.0724072835,0.45494838
35.798,0.0724055573,0.454937533
35.903,0.0724100783,0.45496594
36.001,0.0724204939,0.455031383
36.099,0.0724359485,0.455128487
36.197,0.0724551789,0.455249316
36.302,0.0724788603,0.45539811
36.4,0.0725033012,0.455551677
36.498,0.0725297659,0.455717959
36.603,0.0725599256,0.455907458
36.701,0.0725887758,0.45608873
36.799,0.0726167148,0.456264275
36.897,0.0726418706,0.456422334
37.002,0.0726639731,0.456561208
37.1,0.0726794944,0.456658731
37.198,0.0726908603,0.456730145
37.303,0.0727003483,0.45678976
37.401,0.0727085536,0.456841315
37.499,0.0727173248,0.456896427
37.597,0.0727271554,0.456958194
37.702,0.0727389263,0.457032153
37.8,0.0727508844,0.457107288
37.898,0.0727635204,0.457186682
38.003,0.0727775511,0.45727484
38.101,0.0727908539,0.457358424
38.199,0.0728039438,0.45744067
38.297,0.0728161599,0.457517426
38.402,0.072827392,0.457587999
38.5,0.07283552,0.457639069
38.598,0.0728412665,0.457675175
38.703,0.0728453455,0.457700805
38.801,0.0728483203,0.457719496
38.899,0.0728520296,0.457742802
38.997,0.0728583365,0.457782429
39.102,0.0728702801,0.457857473
39.2,0.0728881803,0.457969944
39.298,0.0729137244,0.458130442
39.403,0.0729496528,0.458356187
39.501,0.0729902511,0.458611274
39.599,0.0730361554,0.458899699
39.697,0.07308562,0.459210494
39.802,0.0731405444,0.459555594
39.9,0.0731918597,0.459878017
39.998,0.0732418755,0.460192276
40.103,0.0732931142,0.460514218
40.201,0.0733384858,0.460799296
40.299,0.0733816306,0.461070383
40.397,0.0734227701,0.46132887
40.502,0.0734647437,0.461592598
40.6,0.0735019851,0.461826593
40.698,0.0735375057,0.462049775
40.803,0.0735740871,0.462279623
40.901,0.0736074101,0.462488998
40.999,0.0736404254,0.462696439
41.097,0.0736733799,0.462903498
41.202,0.0737085109,0.463124233
41.3,0.0737406064,0.463325895
41.398,0.073771207,0.463518164
41.503,0.0738014499,0.463708185
41.601,0.0738269905,0.463868662
41.699,0.0738504287,0.464015928
41.797,0.0738729096,0.46415718
41.902,0.0738974787,0.464311552
42.0,0.0739219936,0.464465584
42.098,0.0739485669,0.464632549
42.203,0.0739793901,0.464826217
42.301,0.0740102981,0.465020417
42.399,0.0740434049,0.465228434
42.497,0.0740790679,0.465452511
42.602,0.0741205143,0.465712927
42.7,0.074162279,0.465975342
42.798,0.0742066424,0.466254086
42.903,0.0742562289,0.466565646
43.001,0.0743034069,0.466862074
43.099,0.074350325,0.467156869
43.197,0.0743958529,0.46744293
43.302,0.0744419618,0.467732641
43.4,0.0744818199,0.467983077
43.498,0.074518471,0.468213362
43.603,0.0745546136,0.468440452
43.701,0.0745861713,0.468638736
43.799,0.0746163965,0.468828646
43.897,0.074645888,0.469013946
44.002,0.0746771436,0.469210332
44.1,0.0747063363,0.469393755
44.198,0.0747358915,0.469579456
44.303,0.0747684023,0.469783727
44.401,0.074799939,0.469981877
44.499,0.0748329037,0.470189001
44.597,0.0748673755,0.470405594
44.702,0.0749058585,0.470647389
44.8,0.0749429808,0.470880636
44.898,0.0749809778,0.471119378
45.003,0.0750223211,0.471379146
45.101,0.0750612337,0.471623641
45.199,0.0751003561,0.471869454
45.297,0.0751397943,0.472117251
45.402,0.0751826605,0.472386588
45.5,0.0752233783,0.472642425
45.598,0.0752646185,0.472901545
45.703,0.0753088855,0.473179683
45.801,0.0753497453,0.473436412
45.899,0.0753898353,0.473688306
45.997,0.0754291424,0.473935279
46.102,0.0754707122,0.47419647
46.2,0.0755095054,0.474440215
46.298,0.0755488003,0.474687112
46.403,0.0755918319,0.474957487
46.501,0.0756329319,0.475215726
46.599,0.0756748026,0.475478808
46.697,0.0757173092,0.475745885
46.802,0.0757635897,0.476036673
46.9,0.0758076862,0.47631374
46.998,0.0758529094,0.476597886
47.103,0.0759028302,0.476911547
47.201,0.0759509551,0.477213925
47.299,0.0760008106,0.477527177
47.397,0.076052825,0.477853993
47.502,0.0761115609,0.478223041
47.6,0.0761696301,0.478587901
47.698,0.0762308895,0.478972805
47.803,0.0762995633,0.479404295
47.901,0.0763655702,0.479819029
47.999,0.0764322624,0.480238068
48.097,0.0764984519,0.480653949
48.202,0.0765676108,0.481088487
48.3,0.0766296594,0.48147835
48.398,0.0766887621,0.481849703
48.503,0.0767485556,0.482225397
48.601,0.0768011176,0.482555654
48.699,0.0768508967,0.482868425
48.797,0.0768985475,0.483167824
48.902,0.0769482966,0.483480407
49.0,0.0769946378,0.483771577
49.098,0.0770418794,0.484068405
49.203,0.0770941921,0.484397095
49.301,0.0771447096,0.484714506
49.399,0.0771964214,0.485039421
49.497,0.0772484933,0.485366598
49.602,0.0773035459,0.485712504
49.7,0.0773533007,0.486025122
49.798,0.0774009486,0.486324503
49.903,0.0774495849,0.486630094
50.001,0.077493005,0.48690291
50.099,0.0775348801,0.48716602
50.197,0.0775754277,0.487420788
50.302,0.077617403,0.487684526
50.4,0.0776550759,0.487921232
50.498,0.0776911966,0.488148185
50.603,0.077728236,0.488380911
50.701,0.0777614802,0.48858979
50.799,0.0777937355,0.488792456
50.897,0.0778252549,0.488990498
51.002,0.0778584262,0.489198919
51.1,0.0778890134,0.489391105
51.198,0.0779194629,0.489582425
51.303,0.0779522258,0.48978828
51.401,0.0779831531,0.489982602
51.499,0.0780144629,0.490179327
51.597,0.078045966,0.490377267
51.702,0.0780794801,0.490587842
51.8,0.0781100005,0.490779608
51.898,0.0781392982,0.49096369
52.003,0.0781689542,0.491150025
52.101,0.0781948935,0.491313006
52.199,0.0782192864,0.491466271
52.297,0.0782424725,0.491611954
52.402,0.0782664847,0.491762827
52.5,0.0782885625,0.491901546
52.598,0.0783106054,0.492040046
52.703,0.0783343386,0.492189165
52.801,0.0783566776,0.492329526
52.899,0.078379326,0.492471829
52.997,0.0784025432,0.492617708
53.102,0.0784285439,0.492781075
53.2,0.0784544817,0.492944047
53.298,0.0784827116,0.493121421
53.403,0.078516203,0.493331853
53.501,0.0785509426,0.493550128
53.599,0.0785891625,0.493790271
53.697,0.0786306199,0.494050756
53.802,0.0786779735,0.494348287
53.9,0.078724025,0.494637637
53.998,0.0787708609,0.494931916
54.103,0.0788207663,0.49524548
54.201,0.0788661402,0.495530574
54.299,0.0789096871,0.495804186
54.397,0.0789511009,0.496064397
54.502,0.0789932051,0.496328946
54.6,0.0790308714,0.49656561
54.698,0.0790676981,0.496796999
54.803,0.0791071439,0.497044844
54.901,0.0791447165,0.49728092
54.999,0.0791835394,0.497524851
55.097,0.0792238554,0.497778165
55.202,0.0792687121,0.498060007
55.3,0.079311967,0.498331786
55.398,0.07935636,0.498610715
55.503,0.0794050252,0.498916488
55.601,0.0794514452,0.499208153
55.699,0.0794989199,0.499506445
55.797,0.0795475879,0.499812236
55.902,0.0796011519,0.500148788
56.0,0.0796523913,0.500470735
56.098,0.0797045484,0.500798448
56.203,0.0797609402,0.501152767
56.301,0.0798135122,0.501483087
56.399,0.0798655827,0.501810256
56.497,0.0799168757,0.502132539
56.602,0.0799708426,0.502471623
56.7,0.0800202927,0.502782328
56.798,0.0800689462,0.503088026
56.903,0.0801204219,0.503411458
57.001,0.0801682974,0.503712268
57.099,0.0802167191,0.504016511
57.197,0.0802665734,0.504329755
57.302,0.0803225013,0.50468116
57.4,0.0803774793,0.505026597
57.498,0.0804349601,0.50538776
57.603,0.0804985626,0.505787386
57.701,0.0805589265,0.506166663
57.799,0.0806196237,0.506548035
57.897,0.0806804861,0.506930445
58.002,0.0807462216,0.507343473
58.1,0.0808087035,0.507736059
58.198,0.0808729274,0.508139589
58.303,0.0809441517,0.508587105
58.401,0.0810129695,0.5090195
58.499,0.0810838063,0.50946458
58.597,0.0811562106,0.50991951
58.702,0.0812349261,0.510414094
58.8,0.0813089219,0.510879024
58.898,0.0813830068,0.511344513
59.003,0.0814621867,0.511842015
59.101,0.0815358314,0.512304738
59.199,0.0816093688,0.512766787
59.297,0.0816831043,0.513230081
59.402,0.081762764,0.513730597
59.5,0.0818380946,0.514203913
59.598,0.0819145565,0.514684338
59.703,0.0819976467,0.515206409
59.801,0.0820759073,0.515698135
59.899,0.0821542473,0.516190359
59.997,0.0822319479,0.516678567
60.102,0.0823136644,0.517192007
60.2,0.0823878277,0.517657988
60.298,0.082459458,0.518108055
60.403,0.0825330338,0.518570345
60.501,0.0825985993,0.518982306
60.599,0.082661211,0.519375706
60.697,0.0827210824,0.51975189
60.802,0.0827826032,0.520138436
60.9,0.0828380649,0.520486912
60.998,0.082892157,0.520826783
61.103,0.08294914,0.521184818
61.201,0.0830018296,0.521515876
61.299,0.0830542888,0.521845487
61.397,0.083106584,0.522174068
61.502,0.0831623117,0.522524215
61.6,0.0832137874,0.522847646
61.698,0.0832644386,0.523165897
61.803,0.0833174696,0.523499101
61.901,0.0833655766,0.523801366
61.999,0.0834122108,0.524094377
62.097,0.0834573422,0.524377946
62.202,0.0835041018,0.524671745
62.3,0.0835464294,0.524937698
62.398,0.0835877698,0.525197447
62.503,0.0836313953,0.525471554
62.601,0.0836719489,0.52572636
62.699,0.0837127607,0.525982788
62.797,0.0837541071,0.526242575
62.902,0.0837990841,0.526525174
63.0,0.08384155,0.526791995
63.098,0.0838842067,0.527060015
63.203,0.083929813,0.527346568
63.301,0.0839721474,0.527612563
63.399,0.0840143403,0.527877669
63.497,0.0840566428,0.528143463
63.602,0.0841024093,0.528431022
63.7,0.0841456727,0.528702854
63.798,0.0841892953,0.528976943
63.903,0.0842358734,0.529269602
64.001,0.0842784512,0.529537127
64.099,0.0843194253,0.529794574
64.197,0.0843582389,0.530038447
64.302,0.0843971369,0.53028285
64.4,0.0844310277,0.530495793
64.498,0.0844629902,0.530696619
64.603,0.0844957752,0.530902613
64.701,0.0845257335,0.531090847
64.799,0.0845557529,0.531279464
64.897,0.0845864198,0.53147215
65.002,0.0846205546,0.531686626
65.1,0.0846540455,0.531897055
65.198,0.0846894837,0.53211972
65.303,0.0847299838,0.53237419
65.401,0.0847704576,0.532628494
65.499,0.0848137679,0.53290062
65.597,0.0848600952,0.533191703
65.702,0.0849131784,0.533525235
65.8,0.0849659087,0.533856549
65.898,0.0850215596,0.534206214
66.003,0.0850841191,0.534599287
66.101,0.0851448519,0.534980882
66.199,0.085207392,0.535373833
66.297,0.0852712524,0.53577508
66.402,0.0853405728,0.536210633
66.5,0.0854056002,0.536619212
66.598,0.0854704939,0.537026951
66.703,0.085539453,0.537460234
66.801,0.0856029787,0.537859378
66.899,0.0856655042,0.538252238
66.997,0.0857269424,0.538638265
67.102,0.0857915624,0.539044285
67.2,0.0858508164,0.539416588
67.298,0.0859091442,0.539783073
67.403,0.085970703,0.540169858
67.501,0.0860273294,0.540525652
67.599,0.0860831672,0.540876491
67.697,0.086138228,0.541222448
67.802,0.0861964269,0.541588123
67.9,0.0862501585,0.541925729
67.998,0.0863035606,0.542261264
68.103,0.0863607269,0.54262045
68.201,0.0864142991,0.542957054
68.299,0.0864682199,0.543295849
68.397,0.0865224521,0.5436366
68.502,0.0865806889,0.544002513
68.6,0.0866348884,0.544343058
68.698,0.0866887111,0.544681236
68.803,0.0867458611,0.54504032
68.901,0.0867988013,0.545372953
68.999,0.0868515584,0.545704435
69.097,0.086904362,0.54603621
69.202,0.0869611697,0.546393144
69.3,0.0870144414,0.54672786
69.398,0.0870678784,0.547063614
69.503,0.0871252004,0.547423779
69.601,0.0871787258,0.547760089
69.699,0.0872323727,0.548097163
69.797,0.0872863376,0.548436234
69.902,0.0873447214,0.54880307
70.0,0.0873997967,0.549149118
70.098,0.0874552673,0.549497651
70.203,0.0875147089,0.549871133
70.301,0.0875696571,0.550216383
70.399,0.0876235542,0.550555029
70.497,0.0876759428,0.550884196
70.602,0.087730003,0.551223866
70.7,0.0877782654,0.551527108
70.798,0.0878242336,0.551815934
70.903,0.0878708125,0.552108598
71.001,0.0879117372,0.552365736
71.099,0.0879502251,0.552607562
71.197,0.0879863701,0.552834668
71.302,0.0880226989,0.553062928
71.4,0.0880546062,0.553263408
71.498,0.0880848214,0.553453256
71.603,0.0881155816,0.553646528
71.701,0.0881430528,0.553819135
71.799,0.0881696451,0.553986218
71.897,0.0881957557,0.554150276
72.002,0.0882237399,0.554326106
72.1,0.0882504071,0.554493661
72.198,0.0882780835,0.554667557
72.303,0.0883092658,0.554863481
72.401,0.0883400185,0.555056706
72.499,0.0883724173,0.555260274
72.597,0.0884063826,0.555473684
72.702,0.0884443421,0.555712191
72.8,0.0884810766,0.555943
72.898,0.0885189653,0.556181062
73.003,0.0885607985,0.556443908
73.101,0.0886009926,0.556696455
73.199,0.0886422789,0.556955864
73.297,0.0886845983,0.557221765
73.402,0.0887309941,0.557513279
73.5,0.0887752259,0.557791195
73.598,0.0888203821,0.55807492
73.703,0.0888699423,0.558386316
73.801,0.0889175307,0.558685322
73.899,0.0889666612,0.558994019
73.997,0.0890175481,0.55931375
74.102,0.0890741577,0.559669439
74.2,0.089128927,0.560013565
74.298,0.0891854032,0.560368415
74.403,0.0892474825,0.560758471
74.501,0.0893064969,0.561129269
74.599,0.0893661493,0.561504076
74.697,0.0894260862,0.561880671
74.802,0.0894903144,0.562284229
74.9,0.08955009,0.56265981
74.998,0.0896096089,0.563033778
75.103,0.0896730514,0.563432399
75.201,0.0897319306,0.563802348
75.299,0.0897904566,0.564170078
75.397,0.0898485994,0.5645354
75.502,0.0899104396,0.564923953
75.6,0.0899677341,0.565283945
75.698,0.0900246649,0.565641652
75.803,0.0900853135,0.566022718
75.901,0.0901416172,0.566376485
75.999,0.0901975836,0.566728132
76.097,0.0902530907,0.567076893
76.202,0.0903118529,0.567446107
76.3,0.0903658579,0.56778543
76.398,0.0904189548,0.568119048
76.503,0.0904748724,0.568470389
76.601,0.0905263228,0.568793662
76.699,0.0905773148,0.569114053
76.797,0.0906281202,0.569433273
76.902,0.0906826016,0.56977559
77.0,0.0907336319,0.570096223
77.098,0.0907848515,0.570418045
77.203,0.0908398574,0.570763657
77.301,0.0908912103,0.571086317
77.399,0.0909425126,0.571408659
77.497,0.090993786,0.571730819
77.602,0.091048794,0.572076445
77.7,0.0911003352,0.572400288
77.798,0.0911521559,0.572725887
77.903,0.0912079693,0.573076573
78.001,0.0912601747,0.573404589
78.099,0.0913122186,0.57373159
78.197,0.0913637586,0.574055425
78.302,0.0914180217,0.57439637
78.4,0.0914674562,0.574706977
78.498,0.0915155211,0.575008977
78.603,0.0915654438,0.575322651
78.701,0.0916106835,0.575606901
78.799,0.0916548874,0.575884642
78.897,0.091698438,0.576158278
79.002,0.0917448772,0.576450065
79.1,0.0917884797,0.576724027
79.198,0.0918327191,0.577001991
79.303,0.0918811433,0.57730625
79.401,0.0919274642,0.577597292
79.499,0.0919749119,0.577895415
79.597,0.0920234232,0.578200221
79.702,0.092076414,0.578533172
79.8,0.0921266036,0.578848522
79.898,0.0921772526,0.579166759
80.003,0.0922317136,0.579508948
80.101,0.0922823842,0.579827321
80.199,0.0923325236,0.580142356
80.297,0.0923817084,0.580451393
80.402,0.0924328259,0.580772573
80.5,0.0924785825,0.581060071
80.598,0.092522056,0.581333223
80.703,0.0925657974,0.581608058
80.801,0.0926038595,0.581847209
80.899,0.0926393283,0.582070066
80.997,0.0926724461,0.582278152
81.102,0.0927057734,0.582487553
81.2,0.0927354054,0.582673737
81.298,0.0927641915,0.582854605
81.403,0.0927947063,0.583046335
81.501,0.0928233388,0.583226238
81.599,0.0928523808,0.583408715
81.697,0.0928818712,0.583594008
81.802,0.09291376,0.583794371
81.9,0.0929434259,0.583980768
81.998,0.0929725461,0.584163736
82.103,0.0930026296,0.584352756
82.201,0.093029267,0.584520124
82.299,0.0930542564,0.584677137
82.397,0.0930775071,0.584823225
82.502,0.0931005755,0.584968168
82.6,0.0931206291,0.585094168
