time,L_peak,L_integral,ell_m,lambda_m_2pi_ell_m,cluster_count_mprime_gt0,mean_radius_mprime_gt0,max_radius_mprime_gt0,cluster_count_mprime_gtsigma,mean_radius_mprime_gtsigma,max_radius_mprime_gtsigma
4.298,0.533333333,0.0700132638,0.0496394064,0.311893589,403.0,0.0967512647,5.75686808,2017.0,0.0711994268,0.254276809
4.403,0.533333333,0.0710055036,0.0502892051,0.315976394,409.0,0.100040785,5.69115756,1972.0,0.0720159402,0.256710135
4.501,0.533333333,0.0719278581,0.0508950927,0.319783299,415.0,0.100409211,5.66180569,1942.0,0.072664432,0.256710135
4.599,0.533333333,0.0728480251,0.0515000575,0.323584405,416.0,0.100777654,5.63439771,1913.0,0.0731897237,0.256710135
4.697,0.533333333,0.0737668185,0.0521037015,0.327377212,411.0,0.104593969,5.55068995,1887.0,0.0735883515,0.256710135
4.802,0.533333333,0.0747493923,0.0527487036,0.33142988,421.0,0.104670646,5.51878916,1848.0,0.0742510421,0.259120612
4.9,0.533333333,0.0756647379,0.0533489729,0.335201482,409.0,0.107612556,5.46456276,1813.0,0.0747683137,0.259120612
4.998,0.533333333,0.0765784261,0.053947513,0.338962221,410.0,0.112397292,5.3879136,1774.0,0.0755484629,0.268546241
5.103,0.533333333,0.0775555222,0.0545868042,0.342979006,412.0,0.114233864,5.3254732,1727.0,0.0766276138,0.251819971
5.201,0.533333333,0.0784659252,0.05518166,0.346716595,409.0,0.123799179,4.91912272,1701.0,0.0772671837,0.254276809
5.299,0.533333333,0.0793750893,0.0557748976,0.350444017,409.0,0.131706569,4.03235856,1674.0,0.077950439,0.254276809
5.397,0.533333333,0.0802829559,0.0563664165,0.35416064,405.0,0.130813176,4.14442998,1640.0,0.0786752883,0.254276809
5.502,0.533333333,0.0812538086,0.0569978004,0.358127742,406.0,0.140740199,2.8244719,1604.0,0.0795366036,0.256710135
5.6,0.533333333,0.0821583628,0.0575848455,0.361816255,393.0,0.142937699,2.94325565,1566.0,0.0804479465,0.254276809
5.698,0.533333333,0.0830622025,0.0581701102,0.365493582,392.0,0.143502476,2.94029697,1555.0,0.0807907758,0.256710135
5.803,0.533333333,0.0840307575,0.0587954337,0.369422605,393.0,0.144254931,2.9309788,1533.0,0.0812933509,0.259120612
5.901,0.533333333,0.0849357615,0.0593776137,0.37308055,387.0,0.148586466,2.85795056,1507.0,0.0819731056,0.259120612
5.999,0.64,0.0858423148,0.059958491,0.376730309,389.0,0.150345807,2.8389621,1485.0,0.0825190476,0.261508871
6.097,0.64,0.086749959,0.0605376968,0.380369567,388.0,0.151911992,2.92737066,1467.0,0.083083504,0.263875515
6.202,0.64,0.0877230739,0.06115598,0.384254355,379.0,0.155009461,2.93754695,1440.0,0.0838832046,0.266221122
6.3,0.64,0.0886316708,0.0617304975,0.387864155,385.0,0.15883306,2.25482913,1419.0,0.0845262778,0.266221122
6.398,0.64,0.0895410684,0.0623025356,0.391458376,383.0,0.161895615,2.24709574,1400.0,0.0851083392,0.263875515
6.503,0.64,0.0905180079,0.0629135458,0.395297467,376.0,0.164824395,2.10274184,1376.0,0.0858751656,0.263875515
6.601,0.64,0.0914338758,0.0634830384,0.398875694,380.0,0.169933607,2.08343524,1360.0,0.0863477879,0.266221122
6.699,0.64,0.0923531337,0.0640512791,0.402446056,376.0,0.172004767,1.96266324,1338.0,0.0871774874,0.261508871
6.797,0.64,0.0932752925,0.0646178066,0.406005653,374.0,0.173990347,1.85753316,1315.0,0.0881737613,0.263875515
6.902,0.64,0.0942668816,0.0652230862,0.409808737,373.0,0.172950887,1.97938048,1299.0,0.0887730897,0.29920671
7.0,0.64,0.0951958254,0.0657866085,0.413349452,368.0,0.172195539,2.00186706,1281.0,0.0894900364,0.307405672
7.098,0.64,0.0961279016,0.0663485494,0.416880231,361.0,0.175998384,2.01054393,1269.0,0.090109373,0.307405672
7.203,0.64,0.0971297002,0.0669488349,0.420651936,356.0,0.178739849,2.0127073,1243.0,0.0910303481,0.307405672
7.301,0.64,0.098066301,0.0675071914,0.424160193,351.0,0.182929401,2.01764343,1226.0,0.0917816259,0.307405672
7.399,0.64,0.0990034778,0.0680633502,0.427654642,342.0,0.183487446,1.73393666,1199.0,0.0931341897,0.307405672
7.497,0.64,0.0999406417,0.0686169141,0.431132786,334.0,0.184936787,1.91585774,1179.0,0.0936341069,0.311424218
7.602,0.64,0.100944018,0.069206508,0.434837314,334.0,0.183455006,1.91390974,1166.0,0.0942918732,0.309421469
7.7,0.64,0.101879647,0.0697525713,0.438268331,330.0,0.184052591,2.01764343,1141.0,0.095180416,0.309421469
7.798,0.64,0.102815056,0.0702942587,0.441671853,323.0,0.190175655,2.01949138,1125.0,0.0958643747,0.309421469
7.903,0.64,0.103818049,0.0708710143,0.445295716,309.0,0.190400239,2.03452007,1108.0,0.0966606284,0.311424218
8.001,0.842105263,0.104753748,0.0714057949,0.448655841,298.0,0.191102692,2.03696321,1094.0,0.0972869673,0.315391565
8.099,0.842105263,0.105687883,0.0719363988,0.451989724,294.0,0.19394546,2.16853204,1074.0,0.0982779329,0.317356641
8.197,0.842105263,0.106620172,0.072462538,0.455295554,285.0,0.193114074,2.27514084,1062.0,0.0990320245,0.319309623
8.302,0.842105263,0.10761687,0.0730207576,0.458802951,269.0,0.19204155,2.48664799,1042.0,0.100039715,0.319309623
8.4,0.842105263,0.10854541,0.0735371159,0.462047326,263.0,0.197844875,2.22261563,1028.0,0.100955493,0.325098184
8.498,0.842105263,0.109473217,0.0740498068,0.465268658,256.0,0.196045089,2.33900645,1011.0,0.10166973,0.325098184
8.603,0.842105263,0.110466082,0.074594521,0.468691199,249.0,0.190691476,3.06352216,1002.0,0.102181292,0.327004935
8.701,0.842105263,0.111391582,0.0750971017,0.471849006,239.0,0.191292141,2.95590218,983.0,0.103038045,0.332659618
8.799,0.842105263,0.11231632,0.0755913928,0.474954729,237.0,0.189783721,2.98957267,964.0,0.104282398,0.328900631
8.897,0.842105263,0.113238961,0.0760760974,0.478000218,233.0,0.191228974,2.99621987,951.0,0.104810878,0.334523272
9.002,0.842105263,0.114225593,0.0765858112,0.481202844,217.0,0.19014431,3.16159398,932.0,0.106283509,0.338219774
9.1,0.842105263,0.115145175,0.0770537973,0.484143287,203.0,0.180423152,4.79055287,915.0,0.107165107,0.340052957
9.198,0.842105263,0.116062669,0.0775146035,0.487038618,203.0,0.183176756,4.69591987,902.0,0.107617193,0.34368999
9.303,0.842105263,0.117044126,0.0780025423,0.490104428,192.0,0.181813782,4.81088456,885.0,0.108705573,0.345494149
9.401,0.842105263,0.117958905,0.0784533819,0.492937136,187.0,0.188316511,4.48976261,879.0,0.108822133,0.340052957
9.499,0.842105263,0.11887135,0.0788990001,0.495737038,181.0,0.186357817,4.71402258,872.0,0.109095329,0.34368999
9.597,0.842105263,0.119780313,0.0793388342,0.498500597,176.0,0.184358983,4.7947039,852.0,0.110096023,0.34187631
9.702,0.842105263,0.120750937,0.0798043,0.501425205,161.0,0.184216753,4.8624287,840.0,0.110636261,0.340052957
9.8,0.842105263,0.121653687,0.0802336996,0.504123202,159.0,0.182032339,4.8486004,819.0,0.112074496,0.34368999
9.898,0.842105263,0.122553262,0.0806583205,0.506791174,151.0,0.170377512,5.17436846,803.0,0.112767773,0.34368999
10.003,0.842105263,0.123512869,0.081106653,0.50960813,132.0,0.170058523,5.42814906,799.0,0.113237377,0.345494149
10.101,0.842105263,0.124402535,0.0815173949,0.512188898,126.0,0.155814365,5.84772876,785.0,0.113954454,0.36132643
10.199,0.842105263,0.125284793,0.0819205268,0.51472185,122.0,0.160519481,5.81403628,782.0,0.113845149,0.356127218
10.297,0.842105263,0.126159573,0.0823164826,0.517209714,112.0,0.157945081,5.90685966,766.0,0.114951967,0.359601712
10.402,0.842105263,0.127088983,0.082732998,0.519826758,115.0,0.154358774,5.91916114,764.0,0.115315514,0.356127218
10.5,0.842105263,0.127949669,0.0831151202,0.522227702,113.0,0.153883926,5.92168137,760.0,0.115168078,0.354377196
10.598,0.842105263,0.128804638,0.0834920024,0.524595723,107.0,0.149347229,5.96665495,746.0,0.116186728,0.354377196
10.703,0.842105263,0.129716068,0.0838917376,0.527107333,109.0,0.144898481,5.96759264,723.0,0.118046774,0.354377196
10.801,0.842105263,0.130564149,0.0842620908,0.529434331,112.0,0.138223199,6.00518709,715.0,0.118231407,0.357868682
10.899,0.842105263,0.131410376,0.0846297014,0.531744097,99.0,0.146749612,6.01429057,699.0,0.119243769,0.444634997
10.997,0.842105263,0.132255289,0.084994103,0.534033699,95.0,0.153282074,5.96769682,694.0,0.119546632,0.444634997
11.102,0.842105263,0.133159343,0.0853807283,0.536462938,96.0,0.150578618,5.96905097,680.0,0.120415085,0.440420352
11.2,1.23076923,0.134002038,0.0857381921,0.538708949,94.0,0.145148102,6.02327707,675.0,0.120343394,0.439006479
