time,A_m,sqrt_A_m
16.0,0.00832536149,0.0912434189
16.1,0.00819772453,0.0905412863
16.2,0.00807050136,0.0898359692
16.3,0.00794380226,0.0891280105
16.4,0.00781774417,0.0884180081
16.5,0.00769239449,0.0877062968
16.6,0.00756780223,0.086993116
16.7,0.00744401503,0.0862787055
16.8,0.00732108597,0.0855633448
16.9,0.00719903369,0.0848471195
17.0,0.00707786793,0.0841300656
17.1,0.00695765727,0.0834125726
17.2,0.00683848941,0.0826951595
17.3,0.00672039927,0.0819780414
17.4,0.00660339702,0.0812612886
17.5,0.00648748662,0.0805449354
17.6,0.00637269368,0.0798291531
17.7,0.00625908591,0.0791143849
17.8,0.00614674077,0.0784011529
17.9,0.00603573331,0.077689982
18.0,0.00592609188,0.0769811138
18.1,0.00581780418,0.0762745317
18.2,0.00571087813,0.0755703522
18.3,0.00560533499,0.0748687851
18.4,0.00550117761,0.0741699239
18.5,0.00539841591,0.0734739131
18.6,0.00529707381,0.072780999
18.7,0.00519715702,0.0720913103
18.8,0.0050986646,0.071404934
18.9,0.00500159064,0.0707219247
19.0,0.00490591764,0.0700422561
19.1,0.0048116313,0.0693659232
19.2,0.00471873767,0.0686930686
19.3,0.00462727371,0.0680240671
19.4,0.00453728943,0.0673594049
19.5,0.00444882361,0.0666995023
19.6,0.00436189297,0.0660446286
19.7,0.00427648818,0.0653948636
19.8,0.00419258433,0.0647501685
19.9,0.00411016325,0.0641105549
20.0,0.00402922314,0.063476162
20.1,0.00394976586,0.0628471627
20.2,0.00387179369,0.0622237389
20.3,0.00379531633,0.0616061387
20.4,0.00372034432,0.0609946253
20.5,0.00364688799,0.0603894692
20.6,0.00357495529,0.0597909299
20.7,0.00350454928,0.0591992337
20.8,0.00343566932,0.0586145828
20.9,0.00336831121,0.0580371537
21.0,0.00330246522,0.0574670795
21.1,0.00323811437,0.0569044319
21.2,0.00317523773,0.0563492478
21.3,0.00311381748,0.0558015903
21.4,0.00305383646,0.0552615278
21.5,0.00299527388,0.0547290954
21.6,0.00293810588,0.0542042976
21.7,0.00288230642,0.0536871159
21.8,0.00282784911,0.0531775245
