time,frame,F_P_3d_bulk
1260.0,126,0.019821311804352204
1270.0,127,0.02023569188016222
1280.0,128,0.018191407370274307
1290.0,129,0.018121083826652364
1300.0,130,0.018747223893137634
1310.0,131,0.018905503783045258
1320.0,132,0.01879511985385697
1330.0,133,0.01904637518973774
1340.0,134,0.01892796767493117
1350.0,135,0.019361402228175437
1360.0,136,0.018088661772417025
1370.0,137,0.015916697912481268
1380.0,138,0.014979604117312691
1390.0,139,0.015526537348670476
1400.0,140,0.015064972167619966
1410.0,141,0.014851355035360794
1420.0,142,0.01440082270603421
1430.0,143,0.013148549706654635
1440.0,144,0.011663728244509045
1450.0,145,0.011034870602029019
1460.0,146,0.014060324942770404
1470.0,147,0.01579387248869027
1480.0,148,0.01600274242208093
1490.0,149,0.016894910675953317
1500.0,150,0.018855451640754216
1510.0,151,0.02043078192109351
1520.0,152,0.02288338860142966
1530.0,153,0.022787135069770804
1540.0,154,0.021712312143418934
1550.0,155,0.02138234824867541
1560.0,156,0.0205491179295064
1570.0,157,0.019978776469859898
1580.0,158,0.018999814239893227
1590.0,159,0.016982841499968985
1600.0,160,0.015419877588400029
1610.0,161,0.015527669121273376
1620.0,162,0.01643459592974251
1630.0,163,0.015485130119055848
1640.0,164,0.014072331567545603
1650.0,165,0.01296185664182104
1660.0,166,0.012567320611364343
1670.0,167,0.012465192153490035
1680.0,168,0.01211691291134135
1690.0,169,0.011867874666843903
1700.0,170,0.012452942211509983
1710.0,171,0.012403176406767852
1720.0,172,0.011821827542188109
1730.0,173,0.011970472917454797
1740.0,174,0.011908057068708235
1750.0,175,0.012230409258968847
