case,Ek,k_c,ell,Pi_m,P_m_resolved,chi_m_resolved,V_m_resolved,dV_m_dt,closure_residual
Ek5e-3,0.004999999999999675,0.39269908169872414,2.5464790894703255,-7.994960881524605e-07,-5.07755032735946e-08,7.170248088799884e-07,1.1842149266033388e-05,7.156737983640074e-08,-3.987160383752319e-08
Ek5e-3,0.004999999999999675,0.43623855249158444,2.292323762511318,-1.1136510585889678e-06,-4.9954749238868124e-08,1.0366904484328038e-06,1.60521285972277e-05,8.737502892344925e-08,-6.036916800615345e-08
Ek5e-3,0.004999999999999675,0.48460534681349926,2.0635348053327416,-1.5529439965150002e-06,-2.213503556380286e-08,1.5201475657148652e-06,2.1881270631639128e-05,1.0375109464175218e-07,-9.308969940542004e-08
Ek5e-3,0.004999999999999675,0.5383346813777131,1.8575804877381985,-2.1578238283189405e-06,6.738836881581439e-08,2.2487705593426113e-06,3.0185876349753896e-05,1.2109625186886464e-07,-1.4465461407672104e-07
Ek5e-3,0.004999999999999675,0.5980211136332659,1.672181762821916,-2.961877416825482e-06,2.746666906707705e-07,3.3193430075101438e-06,4.207442340288856e-05,1.4043126278310098e-07,-2.2323016279699286e-07
Ek5e-3,0.004999999999999675,0.6643251210119365,1.5052870475178555,-3.982019351429764e-06,6.752253980431082e-07,4.8312266172804135e-06,5.879038556022497e-05,1.635355154703289e-07,-3.3751738327787054e-07
Ek5e-3,0.004999999999999675,0.7379804096317688,1.3550495202155455,-5.208909007735006e-06,1.3567422306813268e-06,6.86825346079322e-06,8.151711906282215e-05,1.925995916005105e-07,-4.952018139773988e-07
Ek5e-3,0.004999999999999675,0.8198020333337472,1.2198066842228639,-6.600512720566233e-06,2.4093740900017703e-06,9.482067141647753e-06,0.00011117397958019058,2.2928503357899895e-07,-7.014653646587465e-07
Ek5e-3,0.004999999999999675,0.9106954128951645,1.098061970929369,-8.083043700135386e-06,3.915324750223348e-06,1.2682801231419792e-05,0.0001482634870994313,2.737167850792556e-07,-9.58149566140314e-07
Ek5e-3,0.004999999999999675,1.011666355224388,0.9884681790946774,-9.561433232441294e-06,5.937485452972213e-06,1.643852387634171e-05,0.00019279160382914133,3.241302023700926e-07,-1.2637353932982922e-06
Ek5e-3,0.004999999999999675,1.1238321834073135,0.889812567004559,-1.0935753510979659e-05,8.508934686885895e-06,2.068110197609116e-05,0.0002442630928660246,3.7741312266551684e-07,-1.6138269008911296e-06
Ek5e-3,0.004999999999999675,1.2484341007682476,0.8010034325277009,-1.2115038713245093e-05,1.1628806252890822e-05,2.5315401005204737e-05,0.00030175498699099896,4.3013295370539545e-07,-2.0016889927742158e-06
