time,A_m,sqrt_A_m
16.1,0.0137543854,0.117279092
16.2,0.0135060769,0.116215648
16.3,0.0132590493,0.115147945
16.4,0.0130135227,0.114076828
16.5,0.0127696882,0.113003045
16.6,0.0125277191,0.111927294
16.7,0.0122878468,0.110850561
16.8,0.0120502781,0.109773759
16.9,0.0118151181,0.108697369
17.0,0.0115825321,0.107622173
17.1,0.0113526173,0.106548662
17.2,0.0111254599,0.105477296
17.3,0.0109011527,0.104408586
17.4,0.0106798492,0.103343356
17.5,0.010461705,0.102282477
17.6,0.0102468758,0.101226853
17.7,0.0100355401,0.100177543
17.8,0.00982783803,0.099135453
17.9,0.00962378974,0.0981009161
18.0,0.00942336451,0.0970740157
18.1,0.00922667985,0.0960556081
18.2,0.00903380336,0.0950463222
18.3,0.00884468417,0.0940461811
18.4,0.00865915942,0.0930546045
18.5,0.00847713832,0.0920713762
18.6,0.00829870431,0.0910972245
18.7,0.00812397373,0.090133089
18.8,0.00795305761,0.0891799171
18.9,0.00778601881,0.0882384203
19.0,0.00762285323,0.0873089527
19.1,0.00746357767,0.086392
19.2,0.00730822431,0.085488153
19.3,0.00715679537,0.084597845
19.4,0.00700928537,0.0837214749
19.5,0.00686568456,0.0828594265
19.6,0.00672595989,0.0820119497
19.7,0.00659008802,0.0811793571
19.8,0.0064580575,0.0803620402
19.9,0.00632984098,0.0795602978
20.0,0.0062053874,0.0787742813
20.1,0.0060846304,0.0780040409
20.2,0.0059675143,0.077249688
20.3,0.0058539889,0.0765113645
20.4,0.00574401998,0.0757893131
20.5,0.00563757076,0.0750837583
20.6,0.00553455044,0.0743945592
20.7,0.00543483479,0.073721332
20.8,0.00533832069,0.0730638125
20.9,0.00524493035,0.0724218914
21.0,0.00515458364,0.0717954291
21.1,0.00506720825,0.0711843259
21.2,0.00498272748,0.0705884373
21.3,0.00490104483,0.0700074627
21.4,0.00482205913,0.0694410478
21.5,0.00474566302,0.0688887728
21.6,0.004671751,0.0683502085
21.7,0.00460025264,0.0678251623
21.8,0.00453111092,0.067313527
21.9,0.00446425286,0.0668150646
22.0,0.00439958791,0.0663293895
22.1,0.00433702409,0.0658560862
22.2,0.00427648536,0.065394842
22.3,0.00421785004,0.064944977
22.4,0.00416100026,0.0645058157
22.5,0.0041058578,0.0640769678
22.6,0.00405235944,0.0636581451
22.7,0.00400042495,0.0632489126
22.8,0.00394997922,0.0628488601
22.9,0.00390096542,0.0624577091
23.0,0.00385332275,0.062075138
23.1,0.00380698557,0.0617007745
23.2,0.00376189689,0.0613343044
23.3,0.00371801318,0.060975513
23.4,0.00367529441,0.0606242065
23.5,0.00363369698,0.0602801541
23.6,0.00359315987,0.0599429718
23.7,0.0035536322,0.0596123494
23.8,0.00351509452,0.0592882326
23.9,0.00347753728,0.0589706476
24.0,0.00344094526,0.058659571
24.1,0.00340529785,0.05835493
24.2,0.00337057213,0.0580566287
24.3,0.00333674423,0.0577645586
24.4,0.00330378884,0.0574785946
24.5,0.00327168114,0.0571986113
24.6,0.00324040446,0.0569245506
24.7,0.0032099484,0.0566564065
24.8,0.00318030098,0.0563941573
24.9,0.00315144795,0.0561377587
25.0,0.00312337431,0.0558871569
25.1,0.00309606283,0.0556422756
25.2,0.00306949415,0.0554030157
25.3,0.00304365441,0.0551693249
25.4,0.00301853769,0.0549412203
25.5,0.00299413727,0.0547187104
25.6,0.0029704464,0.0545018018
25.7,0.00294746071,0.0542905214
25.8,0.00292517624,0.0540848985
25.9,0.0029035841,0.0538849153
26.0,0.0028826612,0.05369042
26.1,0.00286237174,0.0535011377
26.2,0.00284268842,0.053316868
26.3,0.00282359721,0.0531375311
26.4,0.00280508858,0.052963087
26.5,0.00278716113,0.0527935709
26.6,0.00276982065,0.0526290856
26.7,0.00275307492,0.0524697525
26.8,0.00273691904,0.0523155717
26.9,0.00272132261,0.0521662977
27.0,0.00270624995,0.0520216296
27.1,0.00269166854,0.0518812928
27.2,0.00267753743,0.0517449266
27.3,0.0026638286,0.0516122912
27.4,0.0026505151,0.0514831536
27.5,0.00263756328,0.0513572126
27.6,0.00262496429,0.0512344053
27.7,0.00261270921,0.0511146673
27.8,0.00260077615,0.0509978054
27.9,0.00258914541,0.0508836458
28.0,0.00257780171,0.0507720564
28.1,0.00256673398,0.0506629448
28.2,0.00255593149,0.0505562211
28.3,0.00254538076,0.0504517667
28.4,0.00253506796,0.0503494584
28.5,0.00252498019,0.050249181
28.6,0.00251510023,0.050150775
28.7,0.00250539632,0.0500539341
28.8,0.00249583103,0.0499582929
28.9,0.00248637535,0.0498635674
29.0,0.00247700323,0.049769501
29.1,0.00246770036,0.0496759536
29.2,0.00245846157,0.0495828758
29.3,0.00244926899,0.0494900898
29.4,0.00244010246,0.0493973933
29.5,0.00243095297,0.0493046952
29.6,0.00242181867,0.0492119769
29.7,0.0024127007,0.0491192498
29.8,0.00240360149,0.0490265386
29.9,0.00239452132,0.0489338464
30.0,0.00238545379,0.0488411076
30.1,0.00237638713,0.0487482013
30.2,0.00236731309,0.0486550417
30.3,0.00235823222,0.0485616332
30.4,0.00234914704,0.0484680001
30.5,0.00234005712,0.0483741369
30.6,0.00233096663,0.0482800853
30.7,0.00232188148,0.0481859054
30.8,0.00231280198,0.0480915999
30.9,0.00230373172,0.0479972053
31.0,0.00229467748,0.047902792
31.1,0.00228564404,0.0478084097
31.2,0.00227664106,0.04771416
31.3,0.00226768247,0.0476201898
31.4,0.00225878208,0.047526646
31.5,0.00224995316,0.0474336712
31.6,0.00224120804,0.0473413988
31.7,0.00223255332,0.0472499029
31.8,0.00222398858,0.0471591835
31.9,0.00221551627,0.0470692709
32.0,0.00220714351,0.0469802459
32.1,0.00219886947,0.0468921045
32.2,0.00219068503,0.0468047544
32.3,0.00218259007,0.0467181985
32.4,0.00217459483,0.0466325512
32.5,0.00216671033,0.0465479358
32.6,0.00215895146,0.0464645183
32.7,0.0021513258,0.0463823867
32.8,0.00214383081,0.0463015206
32.9,0.00213646735,0.0462219358
33.0,0.00212924381,0.04614373
33.1,0.0021221682,0.0460669968
33.2,0.00211525047,0.0459918522
33.3,0.00210850537,0.0459184644
33.4,0.00210194738,0.0458469997
33.5,0.00209557361,0.0457774356
33.6,0.00208936742,0.0457095987
33.7,0.00208333473,0.0456435618
33.8,0.00207747579,0.0455793352
33.9,0.00207178121,0.0455168234
34.0,0.00206624946,0.0454560167
34.1,0.00206088515,0.0453969729
34.2,0.0020556948,0.0453397706
34.3,0.00205068029,0.0452844376
34.4,0.00204583418,0.0452308985
34.5,0.00204114019,0.0451789795
