time,F_I,F_C,F_P,F_V,F_B,F_T,F_I_h,F_C_h,F_P_h,F_V_h,F_T_h,F_I_z,F_P_z,F_V_z,F_B_z,F_T_z
1210.0,0.0001376928923604,0.0011880787990803,0.0014009807226354,0.0001777904201418,0.0007205858706838,,0.0001179126099775,0.0011880787990803,0.0012065236046579,0.0001006000776672,,6.74304994810184e-05,0.0006102417470697,0.0001415245024029,0.0007205858706838,
1220.0,0.00082156571054,0.0029447691353288,0.0036650517245953,0.0004641738302162,0.0014056133350188,0.0001531366128218,0.000719238082833,0.0029447691353288,0.0034475947036109,0.0002897599270412,0.0001197443709982,0.0003625053365688,0.0010491332384996,0.0003546454493182,0.0014056133350188,9.069045344924e-05
1230.0,0.0014512783622453,0.0042824333710203,0.0055384895444188,0.0006437509299155,0.0017621795352389,0.0002066710365745,0.0013846423552888,0.0042824333710203,0.0052806771318365,0.0004280206057357,0.0001412506455679,0.0003966537781814,0.0014207683004558,0.0004681673972384,0.0017621795352389,0.0001430601562119
1240.0,0.0012821759063604,0.0054571840155502,0.0066686901481627,0.0008328007556538,0.0024750576228086,0.0003539161260438,0.0011867065348319,0.0054571840155502,0.0061967954919621,0.000531699857997,0.0002450676647187,0.0004357730721171,0.0020616658195074,0.0006200721167376,0.0024750576228086,0.000241783793442
1250.0,0.0017957600881248,0.0078649670720814,0.0095473986287685,0.0012559879622215,0.0036821432594926,0.0004970823593156,0.0016277726991624,0.0078649670720814,0.0088513153573994,0.0007786095059816,0.0003502127921715,0.0006934267148493,0.0029811182807034,0.0009551802368336,0.0036821432594926,0.0003338373995389
1260.0,0.0029862456641349,0.011472872286377,0.0139988604830405,0.0018734489838106,0.005008817014458,0.0006106022082044,0.0027103106646238,0.011472872286377,0.0131593636416917,0.0011671741180676,0.0004303568612206,0.0011384651355007,0.0039859246503224,0.0014204079153503,0.005008817014458,0.0004095707947556
1270.0,0.0036685204331365,0.0145253371296577,0.0175646455100324,0.0023505993748634,0.0058680657483119,0.0007028704756301,0.0033317792784486,0.0145253371296577,0.0166089373478446,0.0014871613974237,0.0004868212171757,0.0013714782489331,0.0047554298027628,0.0017618956178034,0.0058680657483119,0.0004803863552149
1280.0,0.0036039791546699,0.0155184089650435,0.0184398858288183,0.0024828267092894,0.0059671209570406,0.0008174990804919,0.0033121585291832,0.0155184089650435,0.017479091669498,0.0015781091358553,0.0005596293070369,0.0012731552179113,0.0049149450576294,0.001849491215197,0.0059671209570406,0.000564494415705
1290.0,0.0035637993770933,0.0156671291866201,0.0183808355377181,0.0025460993443694,0.0056989316341978,0.0007698513913847,0.0032187834207864,0.0156671291866201,0.0175314311758615,0.0016122668743695,0.0005532111718722,0.0013795450725453,0.0046307871221288,0.0019009968165862,0.0056989316341978,0.0005012066700454
1300.0,0.0032969521492674,0.0149626396409442,0.0174915148968535,0.0023215142535894,0.004945547996275,0.0007354327114312,0.0030304907448454,0.0149626396409442,0.0167403654737978,0.0015113903142554,0.000498549356331,0.0011542634124718,0.0041875168834435,0.0016946837599225,0.004945547996275,0.0005108425808316
1310.0,0.0023988603828625,0.0116860594535419,0.0134764415485313,0.0017139737734999,0.0038006246481448,0.0006291406419737,0.0021942521121675,0.0116860594535419,0.012848811992425,0.0011346425681306,0.0004521346099728,0.0008633635298555,0.003355043451146,0.0012342014731934,0.0038006246481448,0.0004084610515635
