case,Ek,AR,Nx_movie,t_first,t_last,nframes,Pi_min,Pi_max,inverse_k_min,inverse_k_max,inverse_length_max_2pi_over_kmin,inverse_length_min_2pi_over_kmax,spectrum_peak_k,spectrum_peak_length_2pi_over_k,max_relative_gaussian_closure_residual,mprime_reconstruction_max_abs_error
Ek1p5e-4,0.00015,4.0,256,1110.0,1200.0,10,-2.909534961612326e-11,4.386021067197196e-12,1.5707963267948966,46.621466842000935,4.0,0.1347702192312643,23.561944901923447,0.26666666666666666,0.009093816585406651,6.8833827526759706e-15
Ek2e-4,0.0002,4.0,256,510.0,600.0,10,5.764994039613418e-13,2.6428249756470978e-11,nan,nan,nan,nan,3.141592653589793,2.0,0.025021516452509357,8.104628079763643e-15
Ek3e-3,0.003,16.0,384,1520.0,1610.0,10,-1.637114554184351e-05,3.4089360861001865e-05,0.39269908169872414,4.408953494149568,16.0,1.4250967526686362,1.9634954084936207,3.2,0.06360782026724547,1.099120794378905e-14
Ek5e-3,0.005,16.0,384,1520.0,1610.0,10,-1.3738544874113886e-05,2.5927367734429727e-05,0.39269908169872414,3.5727876297478085,16.0,1.7586226661961142,1.1780972450961724,5.333333333333333,0.06914532003920713,8.104628079763643e-15
Ek7e-3,0.007,16.0,384,1520.0,1610.0,10,-6.841773633502952e-06,2.105361800563387e-05,0.39269908169872414,2.346121883193122,16.0,2.678115468846843,0.7853981633974483,8.0,0.08203605887329547,8.326672684688674e-15
Ek1e-2,0.01,16.0,384,1520.0,1610.0,10,-6.506633983999076e-06,2.1686991002016544e-05,0.39269908169872414,2.606241934322106,16.0,2.410821967229941,0.7853981633974483,8.0,0.06364152815460945,1.199040866595169e-14
Ek3e-2,0.03,16.0,384,1530.0,1620.0,10,5.619652644902433e-06,1.558632220493998e-05,nan,nan,nan,nan,0.39269908169872414,16.0,0.05507028903335112,1.0436096431476471e-14
