case,Ek,k_c,ell,Pi_m,P_m_resolved,chi_m_resolved,V_m_resolved,dV_m_dt,closure_residual
Ek7e-3,0.007000000000004278,0.39269908169872414,2.5464790894703255,-7.035230833732191e-07,3.434847327674114e-07,1.1161800418644512e-06,1.6048117823793446e-05,-1.287839212950444e-08,-5.6293833594316185e-08
Ek7e-3,0.007000000000004278,0.43623855249158444,2.292323762511318,-1.0911753070102674e-06,7.594055872913351e-07,1.9793000435957654e-06,2.8106691881796465e-05,-1.3172881728116078e-08,-1.1554626756604686e-07
Ek7e-3,0.007000000000004278,0.48460534681349926,2.0635348053327416,-1.6205858535298028e-06,1.472222389249145e-06,3.311421213224976e-06,4.6865652904367926e-05,-7.14172368225461e-09,-2.1147124676377384e-07
Ek7e-3,0.007000000000004278,0.5383346813777131,1.8575804877381985,-2.2899490244338264e-06,2.5604506730506585e-06,5.1936695865608226e-06,7.363763439154235e-05,8.022893106698127e-09,-3.512927821830354e-07
Ek7e-3,0.007000000000004278,0.5980211136332659,1.672181762821916,-3.0713630221992194e-06,4.074614266767178e-06,7.650374742680829e-06,0.00010895245467394939,3.373102025234486e-08,-5.381284739667767e-07
Ek7e-3,0.007000000000004278,0.6643251210119365,1.5052870475178555,-3.9139025568672e-06,6.032835958032586e-06,1.0648131286021944e-05,0.0001524950802795231,6.954201878060794e-08,-7.709347899027661e-07
Ek7e-3,0.007000000000004278,0.7379804096317688,1.3550495202155455,-4.752838441314446e-06,8.42508309860305e-06,1.4110087596262463e-05,0.00020326336924723502,1.1340480340802688e-07,-1.0455708597529943e-06
Ek7e-3,0.007000000000004278,0.8198020333337472,1.2198066842228639,-5.521026678698775e-06,1.1221234198131858e-05,1.7936046978429595e-05,0.0002598336996940904,1.6237887385643916e-07,-1.3561649754554021e-06
Ek7e-3,0.007000000000004278,0.9106954128951645,1.098061970929369,-6.157852621718991e-06,1.4379527412187466e-05,2.2020062611456793e-05,0.0003206302848636095,2.1341551515951086e-07,-1.6960980927098469e-06
Ek7e-3,0.007000000000004278,1.011666355224388,0.9884681790946774,-6.612469816775743e-06,1.785483162517134e-05,2.626186215401053e-05,0.0003841405831885208,2.6383784927876266e-07,-2.0583985613422075e-06
Ek7e-3,0.007000000000004278,1.1238321834073135,0.889812567004559,-6.841773633502952e-06,2.1606578765550442e-05,3.057267222892824e-05,0.00044905923657717124,3.1144361359549584e-07,-2.4357634434703367e-06
Ek7e-3,0.007000000000004278,1.2484341007682476,0.8010034325277009,-6.807597257384414e-06,2.5603980891832723e-05,3.487770410252344e-05,0.0005143591778568566,3.54439402890987e-07,-2.8205653561972908e-06
Ek7e-3,0.007000000000004278,1.3868509257632997,0.7210580325708883,-6.4780965555377e-06,2.982536469249431e-05,3.9117133927020744e-05,0.0005792940930168734,3.9144185954525674e-07,-3.2051145385339916e-06
Ek7e-3,0.007000000000004278,1.5406143496937066,0.6490917082518494,-5.834039529397636e-06,3.425165202762403e-05,4.3246369757481746e-05,0.000643347683334248,4.2156513832083684e-07,-3.582243338780906e-06
Ek7e-3,0.007000000000004278,1.7114258860777212,0.584308095451226,-4.875661327326087e-06,3.885843785527092e-05,4.723571746484636e-05,0.0007061588214567126,4.444366483351628e-07,-3.946054930584516e-06
Ek7e-3,0.007000000000004278,1.9011756992392221,0.5259903124157129,-3.6248020424358565e-06,4.3612053298670506e-05,5.106935888833505e-05,0.0007674534378456096,4.6003677641407707e-07,-4.292540323642763e-06
Ek7e-3,0.007000000000004278,2.111963520466233,0.473493026896242,-2.120810509737895e-06,4.847143151281879e-05,5.474360575402694e-05,0.000827000265537018,4.6844647233753787e-07,-4.619810203807806e-06
Ek7e-3,0.007000000000004278,2.346121883193122,0.42623531503784395,-4.1316649929243595e-07,5.339317247289846e-05,5.826452281411479e-05,0.000884590118783166,4.6968654405667675e-07,-4.927870385980573e-06
Ek7e-3,0.007000000000004278,2.606241934322106,0.38369423299917244,1.4450791540531648e-06,5.8335942292822495e-05,6.164517139473437e-05,0.0009400298835487061,4.637503882295982e-07,-5.218058644194635e-06
Ek7e-3,0.007000000000004278,2.8952021073066763,0.3453990301665922,3.401155160043652e-06,6.326239824563256e-05,6.490284606724018e-05,0.0009931439606537915,4.507734493639638e-07,-5.492376431015202e-06
Ek7e-3,0.007000000000004278,3.2161999742872145,0.31092593992748335,5.40439791168093e-06,6.813928909231526e-05,6.80566586192036e-05,0.001043779881552778,4.3120310262167504e-07,-5.752970541190936e-06
Ek7e-3,0.007000000000004278,3.5727876297478085,0.2798934903585598,7.407485588146124e-06,7.293708369926197e-05,7.112564306138442e-05,0.0010918156677444143,4.0586794279181256e-07,-6.001912893060392e-06
Ek7e-3,0.007000000000004278,3.9689109972423107,0.25195828293827266,9.367687158616538e-06,7.76297314783861e-05,7.41273378560664e-05,0.0011371653386450188,3.759245174228914e-07,-6.241218053719746e-06
