case,time,kinetic_energy,lc_w_z05_raw,lc_w_z_weighted_raw,convective_wavelength_z05_2pi_lc,convective_wavelength_z_weighted_2pi_lc,Lm_raw,MSE_integral_wavelength_2pi_Lm,mprime2_z025,mprime2_z050,mprime2_z075,mprime2_z_weighted
Ek7e-3_AR16,2.5,8.19374555e-11,0.0330718722,0.0335483262,0.207796701487961,0.21079035026030796,0.0412786466,0.2593613858173786,2.01113124e-10,3.8240343e-10,1.47875391e-10,1.54634572e-10
Ek7e-3_AR16,2.6,8.22561795e-11,0.0339380063,0.0343926056,0.2132387825391282,0.21609511418154237,0.04223045,0.26534174295558216,2.05077431e-10,3.87238526e-10,1.491194e-10,1.57111999e-10
Ek7e-3_AR16,2.7,8.25404535e-11,0.0348029649,0.0352319119,0.21867347770596685,0.22136863119392564,0.0431663109,0.271221930412026,2.09526139e-10,3.930128e-10,1.50842424e-10,1.60054118e-10
Ek7e-3_AR16,2.8,8.27937505e-11,0.0356653088,0.0360648893,0.2240917442281828,0.22660238255481827,0.0440859345,0.27700009590368163,2.14423863e-10,3.99651162e-10,1.53015313e-10,1.63426532e-10
Ek7e-3_AR16,2.9,8.3018756e-11,0.0365237462,0.0368903429,0.22948546548699625,0.23178886048609676,0.0449891399,0.2826751028023269,2.1973991e-10,4.07088889e-10,1.55614527e-10,1.67200105e-10
Ek7e-3_AR16,3.0,8.32175405e-11,0.0373771362,0.0377072388,0.23484747299629025,0.236921568802472,0.0458758519,0.2882464786124267,2.25447325e-10,4.15269603e-10,1.58621133e-10,1.7134994e-10
Ek7e-3_AR16,3.1,8.33917005e-11,0.0382244897,0.0385147005,0.24017155205747745,0.24199500029202226,0.0467460917,0.2937143565375096,2.3152215e-10,4.24143686e-10,1.62020005e-10,1.75854565e-10
Ek7e-3_AR16,3.2,8.35428455e-11,0.0390650191,0.0393120497,0.2454527540338099,0.24700489307015364,0.0475999666,0.29907941076335903,2.37942826e-10,4.33667022e-10,1.65799219e-10,1.80695299e-10
Ek7e-3_AR16,3.3,8.37027685e-11,0.0399043506,0.0401014526,0.2507264293824629,0.2519648577728786,0.0484378619,0.30434406220127386,2.44689773e-10,4.43802523e-10,1.69959081e-10,1.85859328e-10
Ek7e-3_AR16,3.4,8.39481495e-11,0.0407560494,0.040882309,0.2560778107687654,0.25687112323237576,0.0492610813,0.3095165022399391,2.51745256e-10,4.54539234e-10,1.74532646e-10,1.91351448e-10
Ek7e-3_AR16,3.5,8.425009e-11,0.041607949,0.0416507203,0.2614304538186775,0.26169919382240653,0.0500704202,0.31460172852494794,2.59092849e-10,4.65878857e-10,1.79541258e-10,1.9717508e-10
Ek7e-3_AR16,3.6,8.45908305e-11,0.0424555176,0.0424069291,0.26675588439302433,0.26645059384372644,0.0508661142,0.31960122137475894,2.66716952e-10,4.77805797e-10,1.84993596e-10,2.03323951e-10
Ek7e-3_AR16,3.7,8.49717135e-11,0.043298431,0.0431509304,0.2720520654831291,0.27112529188040896,0.0516484052,0.32451650069189775,2.74602773e-10,4.90304181e-10,1.90900025e-10,2.09792353e-10
Ek7e-3_AR16,3.8,8.539454e-11,0.0441365292,0.0438829212,0.2773179917793428,0.2757245257199596,0.0524175633,0.3293492635647159,2.82736195e-10,5.03360759e-10,1.97272887e-10,2.16576141e-10
Ek7e-3_AR16,3.9,8.58625745e-11,0.0449697751,0.0446030574,0.2825534301754904,0.28024927491096774,0.0531738884,0.334101394320487,2.91103651e-10,5.16964724e-10,2.04126493e-10,2.23672619e-10
Ek7e-3_AR16,4.0,8.64080675e-11,0.0458005392,0.0453110907,0.2877732749623427,0.2846979793385216,0.0539176775,0.33877475906524734,2.99692054e-10,5.31112081e-10,2.1147735e-10,2.31081702e-10
Ek7e-3_AR16,4.1,8.70772345e-11,0.0466316255,0.0460067725,0.29299514419150097,0.28906907700275386,0.0546492616,0.34337143753333355,3.0848885e-10,5.45821806e-10,2.19344853e-10,2.38810244e-10
Ek7e-3_AR16,4.2,8.7831864e-11,0.0474580688,0.0466913241,0.29818784059127795,0.2933702415578801,0.0553689557,0.3478934089281174,3.17481792e-10,5.61113702e-10,2.27750533e-10,2.46865642e-10
Ek7e-3_AR16,4.3,8.86631945e-11,0.0482784466,0.0473653297,0.30334242633057423,0.29760514364075685,0.0560770555,0.3523425311874942,3.26658797e-10,5.76997282e-10,2.36717618e-10,2.55252934e-10
Ek7e-3_AR16,4.4,8.95749825e-11,0.0490924207,0.0480293652,0.30845677643611896,0.30177740173780254,0.0567738579,0.3567206697891817,3.3600798e-10,5.93482254e-10,2.46271496e-10,2.6397785e-10
Ek7e-3_AR16,4.5,9.05716785e-11,0.0498996213,0.048683698,0.31352856738598556,0.3058886959727682,0.0574596466,0.36102960727285144,3.45517637e-10,6.10580056e-10,2.5643993e-10,2.73047308e-10
Ek7e-3_AR16,4.6,9.16588555e-11,0.0506999493,0.0493288578,0.31855717651650994,0.3099423545489111,0.0581346922,0.36527104386844766,3.55176219e-10,6.28303919e-10,2.67253214e-10,2.82469471e-10
Ek7e-3_AR16,4.7,9.2842695e-11,0.0514932032,0.0499652861,0.3235413377658528,0.3139411514925444,0.0587992471,0.3694465654519419,3.64972319e-10,6.46668908e-10,2.78744303e-10,2.92253807e-10
Ek7e-3_AR16,4.8,9.4129238e-11,0.0522792141,0.0505933642,0.32847998990401583,0.31788748258222566,0.0594535418,0.3735576202975474,3.74894653e-10,6.65691755e-10,2.90948963e-10,3.02411087e-10
Ek7e-3_AR16,4.9,9.55260795e-11,0.0530578221,0.0512136076,0.33337212824966833,0.3217845867999808,0.0600977853,0.3776055215909933,3.84932048e-10,6.85390963e-10,3.03905777e-10,3.1295343e-10
Ek7e-3_AR16,5.0,9.70407365e-11,0.053828974,0.0518265001,0.338217418537352,0.3256355039508613,0.060732167,0.38159145936757694,3.95073441e-10,7.05786826e-10,3.17656516e-10,3.23894403e-10
Ek7e-3_AR16,5.1,9.86824885e-11,0.0545924702,0.0524323851,0.34301460664327943,0.32944239168070183,0.0613568499,0.3855164577865033,4.0530787e-10,7.269015e-10,3.3224626e-10,3.35249087e-10
Ek7e-3_AR16,5.2,1.00459478e-10,0.0553482156,0.0530317037,0.34776309503652797,0.3332080215025413,0.0619719719,0.38938138329902616,4.15624484e-10,7.48759048e-10,3.47723626e-10,3.47034148e-10
Ek7e-3_AR16,5.3,1.02382466e-10,0.0560960778,0.0536248932,0.35246205182336293,0.3369351410533145,0.062577651,0.39318697732101193,4.26012539e-10,7.71385461e-10,3.64140877e-10,3.59267871e-10
Ek7e-3_AR16,5.4,1.04462127e-10,0.0568359236,0.0542122657,0.35711064008350146,0.34062571131515584,0.0631739784,0.3969338128789605,4.36461401e-10,7.94808833e-10,3.81554439e-10,3.71970359e-10
Ek7e-3_AR16,5.5,1.067105355e-10,0.057567655,0.0547944393,0.36170824406478347,0.3442836159249037,0.063761026,0.40062234173389555,4.46960547e-10,8.19059453e-10,4.00025227e-10,3.85163606e-10
Ek7e-3_AR16,5.6,1.091420805e-10,0.058291029,0.0553715822,0.3662533369531792,0.3479099117143267,0.0643388406,0.40425285793888943,4.57499577e-10,8.4417005e-10,4.19619299e-10,3.98871726e-10
Ek7e-3_AR16,5.7,1.117713855e-10,0.0590059805,0.0559442554,0.37074550971332515,0.3515081235503822,0.0649074476,0.4078255210868489,4.68068229e-10,8.70175823e-10,4.40408425e-10,4.13121093e-10
Ek7e-3_AR16,5.8,1.1461635e-10,0.0597122544,0.056512658,0.3751831595046496,0.3550795024152649,0.0654668452,0.4113403198680404,4.78656369e-10,8.97114615e-10,4.62471201e-10,4.27940603e-10
Ek7e-3_AR16,5.9,1.176961485e-10,0.0604097291,0.0570772956,0.37956552229181906,0.35862722508746603,0.0660170149,0.41479713804353585,4.89254014e-10,9.25027206e-10,4.85893715e-10,4.43361926e-10
Ek7e-3_AR16,6.0,1.21031018e-10,0.0610981736,0.0576385619,0.3838911466590277,0.3621537652570411,0.0665579126,0.4181956985248631,4.99851342e-10,9.53957401e-10,5.10770367e-10,4.59419711e-10
Ek7e-3_AR16,6.1,1.246429505e-10,0.0617774439,0.0581968121,0.38815912782759115,0.36566135471141115,0.0670894822,0.42153564882532635,5.10438691e-10,9.83952206e-10,5.3720439e-10,4.76151773e-10
Ek7e-3_AR16,6.2,1.28555057e-10,0.0624472451,0.0587524163,0.3923676128861624,0.3691523188574584,0.0676116457,0.4248164988564719,5.21006581e-10,1.01506212e-09,5.65308166e-10,4.9359928e-10
Ek7e-3_AR16,6.3,1.327910475e-10,0.0631073329,0.0593058571,0.3965150668525709,0.3726296899604121,0.0681243107,0.42803766805197707,5.31545714e-10,1.04734125e-09,5.95203803e-10,5.11807003e-10
Ek7e-3_AR16,6.4,1.373772205e-10,0.0637573361,0.059857436,0.40059915740843066,0.3760953624006424,0.0686273751,0.43119851489862215,5.42046999e-10,1.08084765e-09,6.27023391e-10,5.30823489e-10
