     0.1000       1.80087530E-02       1.79623113E-02       3.02144748E-02
     0.2000       1.86964829E-02       1.86507324E-02       3.04984872E-02
     0.3000       1.94342901E-02       1.93943740E-02       3.08595923E-02
     0.4000       2.02211270E-02       2.01944343E-02       3.12783433E-02
     0.5000       2.10549710E-02       2.10508711E-02       3.17386362E-02
     0.6000       2.19328456E-02       2.19618066E-02       3.22283114E-02
     0.7000       2.28509123E-02       2.29228318E-02       3.27385591E-02
     0.8000       2.38046278E-02       2.39263466E-02       3.32630750E-02
     0.9000       2.47889558E-02       2.49612014E-02       3.37973328E-02
     1.0000       2.57986075E-02       2.60130177E-02       3.43380454E-02
     1.1000       2.68282815E-02       2.70655330E-02       3.48827895E-02
     1.2000       2.78728766E-02       2.81029973E-02       3.54297508E-02
     1.3000       2.89276549E-02       2.91130724E-02       3.59775506E-02
     1.4000       2.99883464E-02       3.00891814E-02       3.65251280E-02
     1.5000       3.10511956E-02       3.10312932E-02       3.70716581E-02
     1.6000       3.21129603E-02       3.19448387E-02       3.76164947E-02
     1.7000       3.31708766E-02       3.28383638E-02       3.81591291E-02
     1.8000       3.42226046E-02       3.37209771E-02       3.86991599E-02
     1.9000       3.52661681E-02       3.46004418E-02       3.92362711E-02
     2.0000       3.62998975E-02       3.54822208E-02       3.97702148E-02
     2.1000       3.73223801E-02       3.63693371E-02       4.03007984E-02
     2.2000       3.83324211E-02       3.72627265E-02       4.08278739E-02
     2.3000       3.93290138E-02       3.81617836E-02       4.13513304E-02
     2.4000       4.03113185E-02       3.90649070E-02       4.18710872E-02
     2.5000       4.12786466E-02       3.99699518E-02       4.23870883E-02
     2.6000       4.22304500E-02       4.08745655E-02       4.28992987E-02
     2.7000       4.31663109E-02       4.17764153E-02       4.34076999E-02
     2.8000       4.40859345E-02       4.26733299E-02       4.39122877E-02
     2.9000       4.49891399E-02       4.35633783E-02       4.44130696E-02
     3.0000       4.58758519E-02       4.44449054E-02       4.49100622E-02
     3.1000       4.67460917E-02       4.53165392E-02       4.54032901E-02
     3.2000       4.75999666E-02       4.61680124E-02       4.58927842E-02
     3.3000       4.84378619E-02       4.63917459E-02       4.63785858E-02
